BIPA	GRAPHEME	FEATURES	LATEX
	ɵ̯ː	empty:vowel:−high −low +back +round +voice −nasal −spread glottis −constricted glottis	\textroundcap{\textbaro}\textlengthmark
	ø̯ː	empty:vowel:−high −low −back +round +voice −nasal −spread glottis −constricted glottis	\textroundcap{\o}\textlengthmark
	ɶ̯ː	empty:vowel:−high +low −back +round +voice −nasal −spread glottis −constricted glottis	\textroundcap{\textscoelig}\textlengthmark
	œ̯ː	empty:vowel:−high −low −back +round +voice −nasal −spread glottis −constricted glottis	\textroundcap{\oe}\textlengthmark
	u̯ː	empty:vowel:+high −low +back +round +voice −nasal −spread glottis −constricted glottis	\textroundcap{u}\textlengthmark
	ʉ̯ː	empty:vowel:+high −low +back +round +voice −nasal −spread glottis −constricted glottis	\textroundcap{\textbaru}\textlengthmark
	ʊ̯ː	empty:vowel:+high −low +back +round +voice −nasal −spread glottis −constricted glottis	\textroundcap{\textupsilon}\textlengthmark
	ʌ̯ː	empty:vowel:−high −low +back −round +voice −nasal −spread glottis −constricted glottis	\textroundcap{\textturnv}\textlengthmark
	y̯ː	empty:vowel:+high −low −back +round +voice −nasal −spread glottis −constricted glottis	\textroundcap{y}\textlengthmark
	ʏ̯ː	empty:vowel:+high −low −back +round +voice −nasal −spread glottis −constricted glottis	\textroundcap{\textipa{Y}}\textlengthmark
	æ̯ː	empty:vowel:−high +low −back −round +voice −nasal −spread glottis −constricted glottis	\textroundcap{\ae}\textlengthmark
	ãː	empty:vowel:−high +low +back −round +voice +nasal −spread glottis −constricted glottis	\textipa{\~a}\textlengthmark
	ɐ̃ː	empty:vowel:−high +low +back −round +voice +nasal −spread glottis −constricted glottis	\textipa{\~\textturna}\textlengthmark
	ɑ̃ː	empty:vowel:−high +low +back −round +voice +nasal −spread glottis −constricted glottis	\textipa{\~\textscripta}\textlengthmark
	ɒ̃ː	empty:vowel:−high +low +back +round +voice +nasal −spread glottis −constricted glottis	\textipa{\~\textturnscripta}\textlengthmark
	ɔ̃ː	empty:vowel:−high −low +back +round +voice +nasal −spread glottis −constricted glottis	\textipa{\~\textopeno}\textlengthmark
	ẽː	empty:vowel:−high −low −back −round +voice +nasal −spread glottis −constricted glottis	\textipa{\~e}\textlengthmark
	ɛ̃ː	empty:vowel:−high −low −back −round +voice +nasal −spread glottis −constricted glottis	\textipa{\~\textipa{E}}\textlengthmark
	ə̃ː	empty:vowel:−high −low +back −round +voice +nasal −spread glottis −constricted glottis	\textipa{\~\textschwa}\textlengthmark
	ɚ̃ː	empty:vowel:−high −low +back −round +voice +nasal −spread glottis −constricted glottis	\textipa{\~\textrhookschwa}\textlengthmark
	ɘ̃ː	empty:vowel:−high −low +back −round +voice +nasal −spread glottis −constricted glottis	\textipa{\~\textreve}\textlengthmark
	ɜ̃ː	empty:vowel:−high −low +back −round +voice +nasal −spread glottis −constricted glottis	\textipa{\~\textipa{3}}\textlengthmark
	ɝ̃ː	empty:vowel:−high −low +back −round +voice +nasal −spread glottis −constricted glottis	\textipa{\~\textrhookrevepsilon}\textlengthmark
	ɞ̃ː	empty:vowel:−high −low +back +round +voice +nasal −spread glottis −constricted glottis	\textipa{\~\textcloseepsilon}\textlengthmark
	ɤ̃ː	empty:vowel:−high −low +back −round +voice +nasal −spread glottis −constricted glottis	\textipa{\~\textipa{7}}\textlengthmark
	ĩː	empty:vowel:+high −low −back −round +voice +nasal −spread glottis −constricted glottis	\textipa{\~i}\textlengthmark
	ɪ̃ː	empty:vowel:+high −low −back −round +voice +nasal −spread glottis −constricted glottis	\textipa{\~\textipa{I}}\textlengthmark
	ɨ̃ː	empty:vowel:+high −low +back −round +voice +nasal −spread glottis −constricted glottis	\textipa{\~\textbari}\textlengthmark
	ɯ̃ː	empty:vowel:+high −low +back +round +voice +nasal −spread glottis −constricted glottis	\textipa{\~\textturnm}\textlengthmark
	õː	empty:vowel:−high −low +back +round +voice +nasal −spread glottis −constricted glottis	\textipa{\~o}\textlengthmark
	ɵ̃ː	empty:vowel:−high −low +back +round +voice +nasal −spread glottis −constricted glottis	\textipa{\~\textbaro}\textlengthmark
	ø̃ː	empty:vowel:−high −low −back +round +voice +nasal −spread glottis −constricted glottis	\textipa{\~\o}\textlengthmark
	ɶ̃ː	empty:vowel:−high +low −back +round +voice +nasal −spread glottis −constricted glottis	\textipa{\~\textscoelig}\textlengthmark
	œ̃ː	empty:vowel:−high −low −back +round +voice +nasal −spread glottis −constricted glottis	\textipa{\~\oe}\textlengthmark
	ũː	empty:vowel:+high −low +back +round +voice +nasal −spread glottis −constricted glottis	\textipa{\~u}\textlengthmark
	ʉ̃ː	empty:vowel:+high −low +back +round +voice +nasal −spread glottis −constricted glottis	\textipa{\~\textbaru}\textlengthmark
	ʊ̃ː	empty:vowel:+high −low +back +round +voice +nasal −spread glottis −constricted glottis	\textipa{\~\textupsilon}\textlengthmark
	ʌ̃ː	empty:vowel:−high −low +back −round +voice +nasal −spread glottis −constricted glottis	\textipa{\~\textturnv}\textlengthmark
	ỹː	empty:vowel:+high −low −back +round +voice +nasal −spread glottis −constricted glottis	\textipa{\~y}\textlengthmark
	ʏ̃ː	empty:vowel:+high −low −back +round +voice +nasal −spread glottis −constricted glottis	\textipa{\~\textipa{Y}}\textlengthmark
	æ̃ː	empty:vowel:−high +low −back −round +voice +nasal −spread glottis −constricted glottis	\textipa{\~\ae}\textlengthmark
	ã̯ː	empty:vowel:−high +low +back −round +voice +nasal −spread glottis −constricted glottis	\textipa{\~\textroundcap{a}}\textlengthmark
	ɐ̯̃ː	empty:vowel:−high +low +back −round +voice +nasal −spread glottis −constricted glottis	\textipa{\~\textroundcap{\textturna}}\textlengthmark
	ɑ̯̃ː	empty:vowel:−high +low +back −round +voice +nasal −spread glottis −constricted glottis	\textipa{\~\textroundcap{\textscripta}}\textlengthmark
	ɒ̯̃ː	empty:vowel:−high +low +back +round +voice +nasal −spread glottis −constricted glottis	\textipa{\~\textroundcap{\textturnscripta}}\textlengthmark
	ɔ̯̃ː	empty:vowel:−high −low +back +round +voice +nasal −spread glottis −constricted glottis	\textipa{\~\textroundcap{\textopeno}}\textlengthmark
	ẽ̯ː	empty:vowel:−high −low −back −round +voice +nasal −spread glottis −constricted glottis	\textipa{\~\textroundcap{e}}\textlengthmark
	ɛ̯̃ː	empty:vowel:−high −low −back −round +voice +nasal −spread glottis −constricted glottis	\textipa{\~\textroundcap{\textipa{E}}}\textlengthmark
	ə̯̃ː	empty:vowel:−high −low +back −round +voice +nasal −spread glottis −constricted glottis	\textipa{\~\textroundcap{\textschwa}}\textlengthmark
	ɚ̯̃ː	empty:vowel:−high −low +back −round +voice +nasal −spread glottis −constricted glottis	\textipa{\~\textroundcap{\textrhookschwa}}\textlengthmark
	ɘ̯̃ː	empty:vowel:−high −low +back −round +voice +nasal −spread glottis −constricted glottis	\textipa{\~\textroundcap{\textreve}}\textlengthmark
	ɜ̯̃ː	empty:vowel:−high −low +back −round +voice +nasal −spread glottis −constricted glottis	\textipa{\~\textroundcap{\textipa{3}}}\textlengthmark
	ɝ̯̃ː	empty:vowel:−high −low +back −round +voice +nasal −spread glottis −constricted glottis	\textipa{\~\textroundcap{\textrhookrevepsilon}}\textlengthmark
	ɞ̯̃ː	empty:vowel:−high −low +back +round +voice +nasal −spread glottis −constricted glottis	\textipa{\~\textroundcap{\textcloseepsilon}}\textlengthmark
	ɤ̯̃ː	empty:vowel:−high −low +back −round +voice +nasal −spread glottis −constricted glottis	\textipa{\~\textroundcap{\textipa{7}}}\textlengthmark
	ĩ̯ː	empty:vowel:+high −low −back −round +voice +nasal −spread glottis −constricted glottis	\textipa{\~\textroundcap{i}}\textlengthmark
	ɪ̯̃ː	empty:vowel:+high −low −back −round +voice +nasal −spread glottis −constricted glottis	\textipa{\~\textroundcap{\textipa{I}}}\textlengthmark
	ɨ̯̃ː	empty:vowel:+high −low +back −round +voice +nasal −spread glottis −constricted glottis	\textipa{\~\textroundcap{\textbari}}\textlengthmark
	ɯ̯̃ː	empty:vowel:+high −low +back +round +voice +nasal −spread glottis −constricted glottis	\textipa{\~\textroundcap{\textturnm}}\textlengthmark
	õ̯ː	empty:vowel:−high −low +back +round +voice +nasal −spread glottis −constricted glottis	\textipa{\~\textroundcap{o}}\textlengthmark
	ɵ̯̃ː	empty:vowel:−high −low +back +round +voice +nasal −spread glottis −constricted glottis	\textipa{\~\textroundcap{\textbaro}}\textlengthmark
	ø̯̃ː	empty:vowel:−high −low −back +round +voice +nasal −spread glottis −constricted glottis	\textipa{\~\textroundcap{\o}}\textlengthmark
	ɶ̯̃ː	empty:vowel:−high +low −back +round +voice +nasal −spread glottis −constricted glottis	\textipa{\~\textroundcap{\textscoelig}}\textlengthmark
	œ̯̃ː	empty:vowel:−high −low −back +round +voice +nasal −spread glottis −constricted glottis	\textipa{\~\textroundcap{\oe}}\textlengthmark
	ũ̯ː	empty:vowel:+high −low +back +round +voice +nasal −spread glottis −constricted glottis	\textipa{\~\textroundcap{u}}\textlengthmark
	ʉ̯̃ː	empty:vowel:+high −low +back +round +voice +nasal −spread glottis −constricted glottis	\textipa{\~\textroundcap{\textbaru}}\textlengthmark
	ʊ̯̃ː	empty:vowel:+high −low +back +round +voice +nasal −spread glottis −constricted glottis	\textipa{\~\textroundcap{\textupsilon}}\textlengthmark
	ʌ̯̃ː	empty:vowel:−high −low +back −round +voice +nasal −spread glottis −constricted glottis	\textipa{\~\textroundcap{\textturnv}}\textlengthmark
	ỹ̯ː	empty:vowel:+high −low −back +round +voice +nasal −spread glottis −constricted glottis	\textipa{\~\textroundcap{y}}\textlengthmark
	ʏ̯̃ː	empty:vowel:+high −low −back +round +voice +nasal −spread glottis −constricted glottis	\textipa{\~\textroundcap{\textipa{Y}}}\textlengthmark
	æ̯̃ː	empty:vowel:−high +low −back −round +voice +nasal −spread glottis −constricted glottis	\textipa{\~\textroundcap{\ae}}\textlengthmark
	ḁː	empty:vowel:−high +low +back −round −voice −nasal −spread glottis −constricted glottis	*a\textlengthmark
	ɐ̥ː	empty:vowel:−high +low +back −round −voice −nasal −spread glottis −constricted glottis	*\textturna\textlengthmark
	ɑ̥ː	empty:vowel:−high +low +back −round −voice −nasal −spread glottis −constricted glottis	*\textscripta\textlengthmark
	ɒ̥ː	empty:vowel:−high +low +back +round −voice −nasal −spread glottis −constricted glottis	*\textturnscripta\textlengthmark
	ɔ̥ː	empty:vowel:−high −low +back +round −voice −nasal −spread glottis −constricted glottis	*\textopeno\textlengthmark
	e̥ː	empty:vowel:−high −low −back −round −voice −nasal −spread glottis −constricted glottis	*e\textlengthmark
	ɛ̥ː	empty:vowel:−high −low −back −round −voice −nasal −spread glottis −constricted glottis	*\textipa{E}\textlengthmark
	ə̥ː	empty:vowel:−high −low +back −round −voice −nasal −spread glottis −constricted glottis	*\textschwa\textlengthmark
	ɚ̥ː	empty:vowel:−high −low +back −round −voice −nasal −spread glottis −constricted glottis	*\textrhookschwa\textlengthmark
	ɘ̥ː	empty:vowel:−high −low +back −round −voice −nasal −spread glottis −constricted glottis	*\textreve\textlengthmark
	ɜ̥ː	empty:vowel:−high −low +back −round −voice −nasal −spread glottis −constricted glottis	*\textipa{3}\textlengthmark
	ɝ̥ː	empty:vowel:−high −low +back −round −voice −nasal −spread glottis −constricted glottis	*\textrhookrevepsilon\textlengthmark
	ɞ̥ː	empty:vowel:−high −low +back +round −voice −nasal −spread glottis −constricted glottis	*\textcloseepsilon\textlengthmark
	ɤ̥ː	empty:vowel:−high −low +back −round −voice −nasal −spread glottis −constricted glottis	*\textipa{7}\textlengthmark
	i̥ː	empty:vowel:+high −low −back −round −voice −nasal −spread glottis −constricted glottis	*i\textlengthmark
	ɪ̥ː	empty:vowel:+high −low −back −round −voice −nasal −spread glottis −constricted glottis	*\textipa{I}\textlengthmark
	ɨ̥ː	empty:vowel:+high −low +back −round −voice −nasal −spread glottis −constricted glottis	*\textbari\textlengthmark
	ɯ̥ː	empty:vowel:+high −low +back +round −voice −nasal −spread glottis −constricted glottis	*\textturnm\textlengthmark
	o̥ː	empty:vowel:−high −low +back +round −voice −nasal −spread glottis −constricted glottis	*o\textlengthmark
	ɵ̥ː	empty:vowel:−high −low +back +round −voice −nasal −spread glottis −constricted glottis	*\textbaro\textlengthmark
	ø̥ː	empty:vowel:−high −low −back +round −voice −nasal −spread glottis −constricted glottis	*\o\textlengthmark
	ɶ̥ː	empty:vowel:−high +low −back +round −voice −nasal −spread glottis −constricted glottis	*\textscoelig\textlengthmark
	œ̥ː	empty:vowel:−high −low −back +round −voice −nasal −spread glottis −constricted glottis	*\oe\textlengthmark
	u̥ː	empty:vowel:+high −low +back +round −voice −nasal −spread glottis −constricted glottis	*u\textlengthmark
	ʉ̥ː	empty:vowel:+high −low +back +round −voice −nasal −spread glottis −constricted glottis	*\textbaru\textlengthmark
	ʊ̥ː	empty:vowel:+high −low +back +round −voice −nasal −spread glottis −constricted glottis	*\textupsilon\textlengthmark
	ʌ̥ː	empty:vowel:−high −low +back −round −voice −nasal −spread glottis −constricted glottis	*\textturnv\textlengthmark
	y̥ː	empty:vowel:+high −low −back +round −voice −nasal −spread glottis −constricted glottis	*y\textlengthmark
	ʏ̥ː	empty:vowel:+high −low −back +round −voice −nasal −spread glottis −constricted glottis	*\textipa{Y}\textlengthmark
	æ̥ː	empty:vowel:−high +low −back −round −voice −nasal −spread glottis −constricted glottis	*\ae\textlengthmark
	m̥ː	labial:nasal:−voice +nasal	*m\textlengthmark
	ɱ̥ː	labiodental:nasal:−voice +nasal	*\textltailm\textlengthmark
	n̥ː	alveolar:nasal:−voice +nasal	*n\textlengthmark
	ɳ̥ː	retroflex:nasal:−voice +nasal	*\:n\textlengthmark
	ɲ̥ː	palatal:nasal:−voice +nasal	*\textltailn\textlengthmark
	ŋ̥ː	velar:nasal:−voice +nasal	*\textipa{N}\textlengthmark
	ɴ̥ː	uvular:nasal:−voice +nasal	*\textscn\textlengthmark
	a̯̥ː	empty:vowel:−high +low +back −round −voice −nasal −spread glottis −constricted glottis	*\textroundcap{a}\textlengthmark
	ɐ̯̥ː	empty:vowel:−high +low +back −round −voice −nasal −spread glottis −constricted glottis	*\textroundcap{\textturna}\textlengthmark
	ɑ̯̥ː	empty:vowel:−high +low +back −round −voice −nasal −spread glottis −constricted glottis	*\textroundcap{\textscripta}\textlengthmark
	ɒ̯̥ː	empty:vowel:−high +low +back +round −voice −nasal −spread glottis −constricted glottis	*\textroundcap{\textturnscripta}\textlengthmark
	ɔ̯̥ː	empty:vowel:−high −low +back +round −voice −nasal −spread glottis −constricted glottis	*\textroundcap{\textopeno}\textlengthmark
	e̯̥ː	empty:vowel:−high −low −back −round −voice −nasal −spread glottis −constricted glottis	*\textroundcap{e}\textlengthmark
	ɛ̯̥ː	empty:vowel:−high −low −back −round −voice −nasal −spread glottis −constricted glottis	*\textroundcap{\textipa{E}}\textlengthmark
	ə̯̥ː	empty:vowel:−high −low +back −round −voice −nasal −spread glottis −constricted glottis	*\textroundcap{\textschwa}\textlengthmark
	ɚ̯̥ː	empty:vowel:−high −low +back −round −voice −nasal −spread glottis −constricted glottis	*\textroundcap{\textrhookschwa}\textlengthmark
	ɘ̯̥ː	empty:vowel:−high −low +back −round −voice −nasal −spread glottis −constricted glottis	*\textroundcap{\textreve}\textlengthmark
	ɜ̯̥ː	empty:vowel:−high −low +back −round −voice −nasal −spread glottis −constricted glottis	*\textroundcap{\textipa{3}}\textlengthmark
	ɝ̯̥ː	empty:vowel:−high −low +back −round −voice −nasal −spread glottis −constricted glottis	*\textroundcap{\textrhookrevepsilon}\textlengthmark
	ɞ̯̥ː	empty:vowel:−high −low +back +round −voice −nasal −spread glottis −constricted glottis	*\textroundcap{\textcloseepsilon}\textlengthmark
	ɤ̯̥ː	empty:vowel:−high −low +back −round −voice −nasal −spread glottis −constricted glottis	*\textroundcap{\textipa{7}}\textlengthmark
	i̯̥ː	empty:vowel:+high −low −back −round −voice −nasal −spread glottis −constricted glottis	*\textroundcap{i}\textlengthmark
	ɪ̯̥ː	empty:vowel:+high −low −back −round −voice −nasal −spread glottis −constricted glottis	*\textroundcap{\textipa{I}}\textlengthmark
	ɨ̯̥ː	empty:vowel:+high −low +back −round −voice −nasal −spread glottis −constricted glottis	*\textroundcap{\textbari}\textlengthmark
	ɯ̯̥ː	empty:vowel:+high −low +back +round −voice −nasal −spread glottis −constricted glottis	*\textroundcap{\textturnm}\textlengthmark
	o̯̥ː	empty:vowel:−high −low +back +round −voice −nasal −spread glottis −constricted glottis	*\textroundcap{o}\textlengthmark
	ɵ̯̥ː	empty:vowel:−high −low +back +round −voice −nasal −spread glottis −constricted glottis	*\textroundcap{\textbaro}\textlengthmark
	ø̯̥ː	empty:vowel:−high −low −back +round −voice −nasal −spread glottis −constricted glottis	*\textroundcap{\o}\textlengthmark
	ɶ̯̥ː	empty:vowel:−high +low −back +round −voice −nasal −spread glottis −constricted glottis	*\textroundcap{\textscoelig}\textlengthmark
	œ̯̥ː	empty:vowel:−high −low −back +round −voice −nasal −spread glottis −constricted glottis	*\textroundcap{\oe}\textlengthmark
	u̯̥ː	empty:vowel:+high −low +back +round −voice −nasal −spread glottis −constricted glottis	*\textroundcap{u}\textlengthmark
	ʉ̯̥ː	empty:vowel:+high −low +back +round −voice −nasal −spread glottis −constricted glottis	*\textroundcap{\textbaru}\textlengthmark
	ʊ̯̥ː	empty:vowel:+high −low +back +round −voice −nasal −spread glottis −constricted glottis	*\textroundcap{\textupsilon}\textlengthmark
	ʌ̯̥ː	empty:vowel:−high −low +back −round −voice −nasal −spread glottis −constricted glottis	*\textroundcap{\textturnv}\textlengthmark
	y̯̥ː	empty:vowel:+high −low −back +round −voice −nasal −spread glottis −constricted glottis	*\textroundcap{y}\textlengthmark
	ʏ̯̥ː	empty:vowel:+high −low −back +round −voice −nasal −spread glottis −constricted glottis	*\textroundcap{\textipa{Y}}\textlengthmark
	æ̯̥ː	empty:vowel:−high +low −back −round −voice −nasal −spread glottis −constricted glottis	*\textroundcap{\ae}\textlengthmark
	ḁ̃ː	empty:vowel:−high +low +back −round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~a}\textlengthmark
	ɐ̥̃ː	empty:vowel:−high +low +back −round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~\textturna}\textlengthmark
	ɑ̥̃ː	empty:vowel:−high +low +back −round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~\textscripta}\textlengthmark
	ɒ̥̃ː	empty:vowel:−high +low +back +round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~\textturnscripta}\textlengthmark
	ɔ̥̃ː	empty:vowel:−high −low +back +round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~\textopeno}\textlengthmark
	ẽ̥ː	empty:vowel:−high −low −back −round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~e}\textlengthmark
	ɛ̥̃ː	empty:vowel:−high −low −back −round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~\textipa{E}}\textlengthmark
	ə̥̃ː	empty:vowel:−high −low +back −round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~\textschwa}\textlengthmark
	ɚ̥̃ː	empty:vowel:−high −low +back −round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~\textrhookschwa}\textlengthmark
	ɘ̥̃ː	empty:vowel:−high −low +back −round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~\textreve}\textlengthmark
	ɜ̥̃ː	empty:vowel:−high −low +back −round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~\textipa{3}}\textlengthmark
	ɝ̥̃ː	empty:vowel:−high −low +back −round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~\textrhookrevepsilon}\textlengthmark
	ɞ̥̃ː	empty:vowel:−high −low +back +round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~\textcloseepsilon}\textlengthmark
	ɤ̥̃ː	empty:vowel:−high −low +back −round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~\textipa{7}}\textlengthmark
	ĩ̥ː	empty:vowel:+high −low −back −round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~i}\textlengthmark
	ɪ̥̃ː	empty:vowel:+high −low −back −round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~\textipa{I}}\textlengthmark
	ɨ̥̃ː	empty:vowel:+high −low +back −round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~\textbari}\textlengthmark
	ɯ̥̃ː	empty:vowel:+high −low +back +round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~\textturnm}\textlengthmark
	õ̥ː	empty:vowel:−high −low +back +round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~o}\textlengthmark
	ɵ̥̃ː	empty:vowel:−high −low +back +round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~\textbaro}\textlengthmark
	ø̥̃ː	empty:vowel:−high −low −back +round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~\o}\textlengthmark
	ɶ̥̃ː	empty:vowel:−high +low −back +round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~\textscoelig}\textlengthmark
	œ̥̃ː	empty:vowel:−high −low −back +round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~\oe}\textlengthmark
	ũ̥ː	empty:vowel:+high −low +back +round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~u}\textlengthmark
	ʉ̥̃ː	empty:vowel:+high −low +back +round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~\textbaru}\textlengthmark
	ʊ̥̃ː	empty:vowel:+high −low +back +round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~\textupsilon}\textlengthmark
	ʌ̥̃ː	empty:vowel:−high −low +back −round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~\textturnv}\textlengthmark
	ỹ̥ː	empty:vowel:+high −low −back +round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~y}\textlengthmark
	ʏ̥̃ː	empty:vowel:+high −low −back +round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~\textipa{Y}}\textlengthmark
	æ̥̃ː	empty:vowel:−high +low −back −round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~\ae}\textlengthmark
	ã̯̥ː	empty:vowel:−high +low +back −round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~\textroundcap{a}}\textlengthmark
	ɐ̯̥̃ː	empty:vowel:−high +low +back −round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~\textroundcap{\textturna}}\textlengthmark
	ɑ̯̥̃ː	empty:vowel:−high +low +back −round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~\textroundcap{\textscripta}}\textlengthmark
	ɒ̯̥̃ː	empty:vowel:−high +low +back +round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~\textroundcap{\textturnscripta}}\textlengthmark
	ɔ̯̥̃ː	empty:vowel:−high −low +back +round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~\textroundcap{\textopeno}}\textlengthmark
	ẽ̯̥ː	empty:vowel:−high −low −back −round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~\textroundcap{e}}\textlengthmark
	ɛ̯̥̃ː	empty:vowel:−high −low −back −round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~\textroundcap{\textipa{E}}}\textlengthmark
	ə̯̥̃ː	empty:vowel:−high −low +back −round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~\textroundcap{\textschwa}}\textlengthmark
	ɚ̯̥̃ː	empty:vowel:−high −low +back −round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~\textroundcap{\textrhookschwa}}\textlengthmark
	ɘ̯̥̃ː	empty:vowel:−high −low +back −round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~\textroundcap{\textreve}}\textlengthmark
	ɜ̯̥̃ː	empty:vowel:−high −low +back −round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~\textroundcap{\textipa{3}}}\textlengthmark
	ɝ̯̥̃ː	empty:vowel:−high −low +back −round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~\textroundcap{\textrhookrevepsilon}}\textlengthmark
	ɞ̯̥̃ː	empty:vowel:−high −low +back +round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~\textroundcap{\textcloseepsilon}}\textlengthmark
	ɤ̯̥̃ː	empty:vowel:−high −low +back −round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~\textroundcap{\textipa{7}}}\textlengthmark
	ĩ̯̥ː	empty:vowel:+high −low −back −round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~\textroundcap{i}}\textlengthmark
	ɪ̯̥̃ː	empty:vowel:+high −low −back −round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~\textroundcap{\textipa{I}}}\textlengthmark
	ɨ̯̥̃ː	empty:vowel:+high −low +back −round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~\textroundcap{\textbari}}\textlengthmark
	ɯ̯̥̃ː	empty:vowel:+high −low +back +round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~\textroundcap{\textturnm}}\textlengthmark
	õ̯̥ː	empty:vowel:−high −low +back +round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~\textroundcap{o}}\textlengthmark
	ɵ̯̥̃ː	empty:vowel:−high −low +back +round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~\textroundcap{\textbaro}}\textlengthmark
	ø̯̥̃ː	empty:vowel:−high −low −back +round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~\textroundcap{\o}}\textlengthmark
	ɶ̯̥̃ː	empty:vowel:−high +low −back +round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~\textroundcap{\textscoelig}}\textlengthmark
	œ̯̥̃ː	empty:vowel:−high −low −back +round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~\textroundcap{\oe}}\textlengthmark
	ũ̯̥ː	empty:vowel:+high −low +back +round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~\textroundcap{u}}\textlengthmark
	ʉ̯̥̃ː	empty:vowel:+high −low +back +round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~\textroundcap{\textbaru}}\textlengthmark
	ʊ̯̥̃ː	empty:vowel:+high −low +back +round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~\textroundcap{\textupsilon}}\textlengthmark
	ʌ̯̥̃ː	empty:vowel:−high −low +back −round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~\textroundcap{\textturnv}}\textlengthmark
	ỹ̯̥ː	empty:vowel:+high −low −back +round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~\textroundcap{y}}\textlengthmark
	ʏ̯̥̃ː	empty:vowel:+high −low −back +round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~\textroundcap{\textipa{Y}}}\textlengthmark
	æ̯̥̃ː	empty:vowel:−high +low −back −round −voice +nasal −spread glottis −constricted glottis	*\textipa{\~\textroundcap{\ae}}\textlengthmark
	pʰː	labial:plosive:−voice +spread glottis	p extsuperscript{h}\textlengthmark
	bʰː	labial:plosive:+voice +spread glottis	b extsuperscript{h}\textlengthmark
	ɓʰː	labial:plosive:+voice +spread glottis	\texthtb extsuperscript{h}\textlengthmark
	mʰː	labial:nasal:+voice +nasal +spread glottis	m extsuperscript{h}\textlengthmark
	ɱʰː	labiodental:nasal:+voice +nasal +spread glottis	\textltailm extsuperscript{h}\textlengthmark
	ɗʰː	dental:plosive:+voice +spread glottis	\texthtd extsuperscript{h}\textlengthmark
	tʰː	alveolar:plosive:−voice +spread glottis	t extsuperscript{h}\textlengthmark
	dʰː	alveolar:plosive:+voice +spread glottis	d extsuperscript{h}\textlengthmark
	nʰː	alveolar:nasal:+voice +nasal +spread glottis	n extsuperscript{h}\textlengthmark
	ʈʰː	retroflex:plosive:−voice +spread glottis	\textrtailt extsuperscript{h}\textlengthmark
