BIPA	GRAPHEME	FEATURES	LATEX
	t̪͡ɬ̪ʲ	dental, palatal:affricate:+voice +lateral	\t{\textsubbridge{t}͡\textsubbridge{\textbeltl}}\super j
	d͡zʲ	dental, palatal:affricate:+voice	\t{dz}\super j
	d͡z͎ʲ	dental, palatal:affricate:+voice	\t{d͡\begin{IPA}\whistle{z}\end{IPA}}\super j
	ɬ̪ʲ	dental, palatal:fricative:+voice +lateral	\textsubbridge{\textbeltl}\super j
	ɮ̪ʲ	dental, palatal:fricative:+voice +lateral	\textsubbridge{\textlyoghlig}\super j
	d̪͡ðʲ	dental, palatal:affricate:+voice	\t{\textsubbridge{d}͡ð}\super j
	l̪ʲ	dental, palatal:liquid:+voice +lateral	\textsubbridge{l}\super j
	r̪ʲ	dental, palatal:liquid:+voice −lateral	\textsubbridge{r}\super j
	ɺ̪ʲ	dental, palatal:liquid:+voice +lateral	\textsubbridge{\textturnlonglegr}\super j
	ɹ̪ʲ	dental, palatal:liquid:+voice −lateral	\textsubbridge{\textturnr}\super j
	n̪ʲ	dental, palatal:nasal:+voice +nasal	\textsubbridge{n}\super j
	t̠ʲ	alveolar, palatal:plosive:−voice	\textsubbar{t}\super j
	s͎ʲ	alveolar, palatal:fricative:−voice	\begin{IPA}\whistle{s}\end{IPA}\super j
	z͎ʲ	alveolar, palatal:fricative:+voice	\begin{IPA}\whistle{z}\end{IPA}\super j
	t͡sʲ	alveolar, palatal:affricate:−voice	\t{ts}\super j
	t͡s͎ʲ	alveolar, palatal:affricate:−voice	\t{t͡\begin{IPA}\whistle{s}\end{IPA}}\super j
	d͡ɮʲ	alveolar, palatal:affricate:+voice +lateral	\t{d͡\textlyoghlig}\super j
	t͡ɬʲ	alveolar, palatal:affricate:+voice +lateral	\t{t͡\textbeltl}\super j
	t͡ɬ̲ʲ	alveolar, palatal:affricate:+voice +lateral	\t{t͡\textsubbar{\textbeltl}}\super j
	ɬ̠ʲ	alveolar, palatal:fricative:+voice +lateral	\textsubbar{\textbeltl}\super j
	ɮ̠ʲ	alveolar, palatal:fricative:+voice +lateral	\textsubbar{\textlyoghlig}\super j
	r̠ʲ	alveolar, palatal:liquid:+voice −lateral	\textsubbar{r}\super j
	ɺ̠ʲ	alveolar, palatal:liquid:+voice +lateral	\textsubbar{\textturnlonglegr}\super j
	ɾ̪ʲ	alveolar, palatal:liquid:+voice −lateral	\textsubbridge{\textfishhookr}\super j
	ɾ̠ʲ	alveolar, palatal:liquid:+voice −lateral	\textsubbar{\textfishhookr}\super j
	ɹ̠ʲ	alveolar, palatal:liquid:+voice −lateral	\textsubbar{\textturnr}\super j
	l̠ʲ	alveolar, palatal:liquid:+voice +lateral	\textsubbar{l}\super j
	n̠ʲ	alveolar, palatal:nasal:+voice +nasal	\textipa{\=*n}\super j
	t͡ʃʲ	palatoalveolar, palatal:affricate:−voice	\t{t͡\textipa{S}}\super j
	d͡ʒʲ	palatoalveolar, palatal:affricate:+voice	\t{d͡\textyogh}\super j
