BIPA	GRAPHEME	FEATURES	SYMBOLS
fʷʰː	fʷʰː	-syl -son +cons +cont -delrel -lat -nas +strid -voi +sg -cg +ant -cor +lab +hi -lo +back +round -velaric +long	◌f ◌ʷ ◌ʰ ◌ː
fʷˀ	fʷˀ	-syl -son +cons +cont -delrel -lat -nas +strid -voi -sg +cg +ant -cor +lab +hi -lo +back +round -velaric -long	◌f ◌ʷ ◌ˀ
fʷː	fʷː	-syl -son +cons +cont -delrel -lat -nas +strid -voi -sg -cg +ant -cor +lab +hi -lo +back +round -velaric +long	◌f ◌ʷ ◌ː
fʷː	fːʷ	-syl -son +cons +cont -delrel -lat -nas +strid -voi -sg -cg +ant -cor +lab +hi -lo +back +round -velaric +long	◌f ◌ʷ ◌ː
fʷˠ	fʷˠ	-syl -son +cons +cont -delrel -lat -nas +strid -voi -sg -cg +ant -cor +lab +hi -lo +back +round -velaric -long	◌f ◌ʷ ◌ˠ
fʷˠʰ	fʷˠʰ	-syl -son +cons +cont -delrel -lat -nas +strid -voi +sg -cg +ant -cor +lab +hi -lo +back +round -velaric -long	◌f ◌ʷ ◌ˠ ◌ʰ
fʷˤ	fʷˤ	-syl -son +cons +cont -delrel -lat -nas +strid -voi -sg -cg +ant -cor +lab +hi +lo +back +round -velaric -long	◌f ◌ʷ ◌ˤ
fʷˤʰ	fʷˤʰ	-syl -son +cons +cont -delrel -lat -nas +strid -voi +sg -cg +ant -cor +lab +hi +lo +back +round -velaric -long	◌f ◌ʷ ◌ˤ ◌ʰ
fʼ	fʼ	-syl -son +cons +cont -delrel -lat -nas +strid -voi -sg +cg +ant -cor +lab -hi -lo -back -round -velaric -long	◌f ◌ʼ
fˀ	fˀ	-syl -son +cons +cont -delrel -lat -nas +strid -voi -sg +cg +ant -cor +lab -hi -lo -back -round -velaric -long	◌f ◌ˀ
fː	fː	-syl -son +cons +cont -delrel -lat -nas +strid -voi -sg -cg +ant -cor +lab -hi -lo -back -round -velaric +long	◌f ◌ː
fˠ	fˠ	-syl -son +cons +cont -delrel -lat -nas +strid -voi -sg -cg +ant -cor +lab +hi -lo +back -round -velaric -long	◌f ◌ˠ
fˠʰ	fʰˠ	-syl -son +cons +cont -delrel -lat -nas +strid -voi +sg -cg +ant -cor +lab +hi -lo +back -round -velaric -long	◌f ◌ˠ ◌ʰ
fˠː	fːˠ	-syl -son +cons +cont -delrel -lat -nas +strid -voi -sg -cg +ant -cor +lab +hi -lo +back -round -velaric +long	◌f ◌ˠ ◌ː
fˤ	fˤ	-syl -son +cons +cont -delrel -lat -nas +strid -voi -sg -cg +ant -cor +lab -hi +lo +back -round -velaric -long	◌f ◌ˤ
fˤʰ	fʰˤ	-syl -son +cons +cont -delrel -lat -nas +strid -voi +sg -cg +ant -cor +lab -hi +lo +back -round -velaric -long	◌f ◌ˤ ◌ʰ
fˤʰ	fˤʰ	-syl -son +cons +cont -delrel -lat -nas +strid -voi +sg -cg +ant -cor +lab -hi +lo +back -round -velaric -long	◌f ◌ˤ ◌ʰ
fˤː	fːˤ	-syl -son +cons +cont -delrel -lat -nas +strid -voi -sg -cg +ant -cor +lab -hi +lo +back -round -velaric +long	◌f ◌ˤ ◌ː
fˤː	fˤː	-syl -son +cons +cont -delrel -lat -nas +strid -voi -sg -cg +ant -cor +lab -hi +lo +back -round -velaric +long	◌f ◌ˤ ◌ː
f̝	f̝	-syl -son +cons +cont -delrel -lat -nas +strid -voi -sg -cg +ant -cor +lab -hi -lo -back -round -velaric -long	◌f ◌̝
f̞	f̞	-syl -son +cons +cont -delrel -lat -nas +strid -voi -sg -cg +ant -cor +lab -hi -lo -back -round -velaric -long	◌f ◌̞
f̟	f̟	-syl -son +cons +cont -delrel -lat -nas +strid -voi -sg -cg +ant -cor +lab -hi -lo -back -round -velaric -long	◌f ◌̟
f̠	f̠	-syl -son +cons +cont -delrel -lat -nas +strid -voi -sg -cg +ant -cor +lab -hi -lo -back -round -velaric -long	◌f ◌̠
f̩	f̩	+syl -son +cons +cont -delrel -lat -nas +strid -voi -sg -cg +ant -cor +lab -hi -lo -back -round -velaric -long	◌f ◌̩
f’ʲ	fʲʼ	-syl -son +cons +cont -delrel -lat -nas +strid -voi -sg +cg +ant -cor +lab +hi -lo -back -round -velaric -long	◌f ◌’ ◌ʲ
f’ʲ	fʼʲ	-syl -son +cons +cont -delrel -lat -nas +strid -voi -sg +cg +ant -cor +lab +hi -lo -back -round -velaric -long	◌f ◌’ ◌ʲ
f’ʷ	fʷʼ	-syl -son +cons +cont -delrel -lat -nas +strid -voi -sg +cg +ant -cor +lab +hi -lo +back +round -velaric -long	◌f ◌’ ◌ʷ
f’ʷ	fʼʷ	-syl -son +cons +cont -delrel -lat -nas +strid -voi -sg +cg +ant -cor +lab +hi -lo +back +round -velaric -long	◌f ◌’ ◌ʷ
f’ʷˤ	fʷˤʼ	-syl -son +cons +cont -delrel -lat -nas +strid -voi -sg +cg +ant -cor +lab +hi +lo +back +round -velaric -long	◌f ◌’ ◌ʷ ◌ˤ
f’ː	fʼː	-syl -son +cons +cont -delrel -lat -nas +strid -voi -sg +cg +ant -cor +lab -hi -lo -back -round -velaric +long	◌f ◌’ ◌ː
f’ˤ	fˤʼ	-syl -son +cons +cont -delrel -lat -nas +strid -voi -sg +cg +ant -cor +lab -hi +lo +back -round -velaric -long	◌f ◌’ ◌ˤ
g	ɡ	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg -ant -cor -lab +hi -lo +back -round -velaric -long	◌g
gb	ɡ͡b	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg -cor +lab +hi -lo -round -velaric -long	◌g ◌b
gbʰ	ɡ͡bʰ	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg -cor +lab +hi -lo -round -velaric -long	◌g ◌b ◌ʰ
gbʰː	ɡ͡bʰː	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg -cor +lab +hi -lo -round -velaric +long	◌g ◌b ◌ʰ ◌ː
gbʱ	ɡ͡b̤	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg -cor +lab +hi -lo -round -velaric -long	◌g ◌b ◌ʱ
gbʱː	ɡ͡b̤ː	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg -cor +lab +hi -lo -round -velaric +long	◌g ◌b ◌ʱ ◌ː
gbʲ	ɡ͡bʲ	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg -cor +lab +hi -lo -back -round -velaric -long	◌g ◌b ◌ʲ
gbʲʰ	ɡ͡bʰʲ	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg -cor +lab +hi -lo -back -round -velaric -long	◌g ◌b ◌ʲ ◌ʰ
gbʲʰ	ɡ͡bʲʰ	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg -cor +lab +hi -lo -back -round -velaric -long	◌g ◌b ◌ʲ ◌ʰ
gbʲʱ	ɡ͡b̤ʲ	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg -cor +lab +hi -lo -back -round -velaric -long	◌g ◌b ◌ʲ ◌ʱ
gbʲʷ	ɡ͡bʲʷ	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg -cor +lab +hi -lo +back +round -velaric -long	◌g ◌b ◌ʲ ◌ʷ
gbʲʷʰ	ɡ͡bʲʷʰ	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg -cor +lab +hi -lo +back +round -velaric -long	◌g ◌b ◌ʲ ◌ʷ ◌ʰ
gbʲː	ɡ͡bʲː	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg -cor +lab +hi -lo -back -round -velaric +long	◌g ◌b ◌ʲ ◌ː
gbʲː	ɡ͡bːʲ	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg -cor +lab +hi -lo -back -round -velaric +long	◌g ◌b ◌ʲ ◌ː
gbʷ	ɡ͡bʷ	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg -cor +lab +hi -lo +back +round -velaric -long	◌g ◌b ◌ʷ
gbʷʰ	ɡ͡bʰʷ	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg -cor +lab +hi -lo +back +round -velaric -long	◌g ◌b ◌ʷ ◌ʰ
gbʷʰ	ɡ͡bʷʰ	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg -cor +lab +hi -lo +back +round -velaric -long	◌g ◌b ◌ʷ ◌ʰ
gbʷʰː	ɡ͡bʷʰː	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg -cor +lab +hi -lo +back +round -velaric +long	◌g ◌b ◌ʷ ◌ʰ ◌ː
gbʷʱ	ɡ͡b̤ʷ	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg -cor +lab +hi -lo +back +round -velaric -long	◌g ◌b ◌ʷ ◌ʱ
gbʷˀ	ɡ͡bʷˀ	-syl -son +cons -cont -delrel -lat -nas +voi -sg +cg -cor +lab +hi -lo +back +round -velaric -long	◌g ◌b ◌ʷ ◌ˀ
gbʷː	ɡ͡bʷː	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg -cor +lab +hi -lo +back +round -velaric +long	◌g ◌b ◌ʷ ◌ː
gbʷː	ɡ͡bːʷ	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg -cor +lab +hi -lo +back +round -velaric +long	◌g ◌b ◌ʷ ◌ː
gbʷˠ	ɡ͡bʷˠ	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg -cor +lab +hi -lo +back +round -velaric -long	◌g ◌b ◌ʷ ◌ˠ
gbʷˠʰ	ɡ͡bʷˠʰ	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg -cor +lab +hi -lo +back +round -velaric -long	◌g ◌b ◌ʷ ◌ˠ ◌ʰ
gbʷˤ	ɡ͡bʷˤ	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg -cor +lab +hi +lo +back +round -velaric -long	◌g ◌b ◌ʷ ◌ˤ
gbʷˤʰ	ɡ͡bʷˤʰ	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg -cor +lab +hi +lo +back +round -velaric -long	◌g ◌b ◌ʷ ◌ˤ ◌ʰ
gbˀ	ɡ͡bˀ	-syl -son +cons -cont -delrel -lat -nas +voi -sg +cg -cor +lab +hi -lo -round -velaric -long	◌g ◌b ◌ˀ
gbː	ɡ͡bː	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg -cor +lab +hi -lo -round -velaric +long	◌g ◌b ◌ː
gbˠ	ɡ͡bˠ	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg -cor +lab +hi -lo +back -round -velaric -long	◌g ◌b ◌ˠ
gbˠʰ	ɡ͡bʰˠ	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg -cor +lab +hi -lo +back -round -velaric -long	◌g ◌b ◌ˠ ◌ʰ
gbˠʱ	ɡ͡b̤ˠ	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg -cor +lab +hi -lo +back -round -velaric -long	◌g ◌b ◌ˠ ◌ʱ
gbˠː	ɡ͡bːˠ	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg -cor +lab +hi -lo +back -round -velaric +long	◌g ◌b ◌ˠ ◌ː
gbˤ	ɡ͡bˤ	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg -cor +lab +hi +lo +back -round -velaric -long	◌g ◌b ◌ˤ
gbˤʰ	ɡ͡bʰˤ	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg -cor +lab +hi +lo +back -round -velaric -long	◌g ◌b ◌ˤ ◌ʰ
gbˤʰ	ɡ͡bˤʰ	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg -cor +lab +hi +lo +back -round -velaric -long	◌g ◌b ◌ˤ ◌ʰ
gbˤʱ	ɡ͡b̤ˤ	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg -cor +lab +hi +lo +back -round -velaric -long	◌g ◌b ◌ˤ ◌ʱ
gbˤː	ɡ͡bːˤ	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg -cor +lab +hi +lo +back -round -velaric +long	◌g ◌b ◌ˤ ◌ː
gbˤː	ɡ͡bˤː	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg -cor +lab +hi +lo +back -round -velaric +long	◌g ◌b ◌ˤ ◌ː
gb̃	ɡ͡b̃	-syl -son +cons -cont -delrel -lat +nas +voi -sg -cg -cor +lab +hi -lo -round -velaric -long	◌g ◌b ◌̃
gb̃ː	ɡ͡b̃ː	-syl -son +cons -cont -delrel -lat +nas +voi -sg -cg -cor +lab +hi -lo -round -velaric +long	◌g ◌b ◌̃ ◌ː
gb̃ˤ	ɡ͡b̃ˤ	-syl -son +cons -cont -delrel -lat +nas +voi -sg -cg -cor +lab +hi +lo +back -round -velaric -long	◌g ◌b ◌̃ ◌ˤ
gb̟	ɡ͡b̟	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg -cor +lab +hi -lo -round -velaric -long	◌g ◌b ◌̟
gb̠	ɡ͡b̠	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg -cor +lab +hi -lo -round -velaric -long	◌g ◌b ◌̠
gb̰	ɡ͡b̰	-syl -son +cons -cont -delrel -lat -nas +voi -sg +cg -cor +lab +hi -lo -round -velaric -long	◌g ◌b ◌̰
gb̰ʲ	ɡ͡b̰ʲ	-syl -son +cons -cont -delrel -lat -nas +voi -sg +cg -cor +lab +hi -lo -back -round -velaric -long	◌g ◌b ◌̰ ◌ʲ
gb̰ʷ	ɡ͡b̰ʷ	-syl -son +cons -cont -delrel -lat -nas +voi -sg +cg -cor +lab +hi -lo +back +round -velaric -long	◌g ◌b ◌̰ ◌ʷ
gb̰ː	ɡ͡b̰ː	-syl -son +cons -cont -delrel -lat -nas +voi -sg +cg -cor +lab +hi -lo -round -velaric +long	◌g ◌b ◌̰ ◌ː
gb̰ˠ	ɡ͡b̰ˠ	-syl -son +cons -cont -delrel -lat -nas +voi -sg +cg -cor +lab +hi -lo +back -round -velaric -long	◌g ◌b ◌̰ ◌ˠ
gb̰ˤ	ɡ͡b̰ˤ	-syl -son +cons -cont -delrel -lat -nas +voi -sg +cg -cor +lab +hi +lo +back -round -velaric -long	◌g ◌b ◌̰ ◌ˤ
gb̰̃	ɡ͡b̰̃	-syl -son +cons -cont -delrel -lat +nas +voi -sg +cg -cor +lab +hi -lo -round -velaric -long	◌g ◌b ◌̰ ◌̃
gbⁿ	ɡ͡bⁿ	-syl -son +cons -cont -delrel -lat +nas +voi -sg -cg -cor +lab +hi -lo -round -velaric -long	◌g ◌b ◌ⁿ
gɣ	ɡ͡ɣ	-syl -son +cons -cont +delrel -lat -nas +voi -sg -cg -ant -cor -lab +hi -lo -round -velaric -long	◌g ◌ɣ
gɣʰ	ɡʰˠ	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg -ant -cor -lab +hi -lo +back -round -velaric -long	◌g ◌ɣ ◌ʰ
gɣʰ	ɡ͡ɣʰ	-syl -son +cons -cont +delrel -lat -nas +voi +sg -cg -ant -cor -lab +hi -lo -round -velaric -long	◌g ◌ɣ ◌ʰ
gɣʰː	ɡ͡ɣʰː	-syl -son +cons -cont +delrel -lat -nas +voi +sg -cg -ant -cor -lab +hi -lo -round -velaric +long	◌g ◌ɣ ◌ʰ ◌ː
gɣʱ	ɡ̤ˠ	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg -ant -cor -lab +hi -lo +back -round -velaric -long	◌g ◌ɣ ◌ʱ
gɣʱ	ɡ͡ɣ̤	-syl -son +cons -cont +delrel -lat -nas +voi +sg -cg -ant -cor -lab +hi -lo -round -velaric -long	◌g ◌ɣ ◌ʱ
gɣʱː	ɡ͡ɣ̤ː	-syl -son +cons -cont +delrel -lat -nas +voi +sg -cg -ant -cor -lab +hi -lo -round -velaric +long	◌g ◌ɣ ◌ʱ ◌ː
gɣʲ	ɡ͡ɣʲ	-syl -son +cons -cont +delrel -lat -nas +voi -sg -cg -ant -cor -lab +hi -lo -back -round -velaric -long	◌g ◌ɣ ◌ʲ
gɣʲʰ	ɡ͡ɣʰʲ	-syl -son +cons -cont +delrel -lat -nas +voi +sg -cg -ant -cor -lab +hi -lo -back -round -velaric -long	◌g ◌ɣ ◌ʲ ◌ʰ
gɣʲʰ	ɡ͡ɣʲʰ	-syl -son +cons -cont +delrel -lat -nas +voi +sg -cg -ant -cor -lab +hi -lo -back -round -velaric -long	◌g ◌ɣ ◌ʲ ◌ʰ
gɣʲʱ	ɡ͡ɣ̤ʲ	-syl -son +cons -cont +delrel -lat -nas +voi +sg -cg -ant -cor -lab +hi -lo -back -round -velaric -long	◌g ◌ɣ ◌ʲ ◌ʱ
gɣʲʷ	ɡ͡ɣʲʷ	-syl -son +cons -cont +delrel -lat -nas +voi -sg -cg -ant -cor -lab +hi -lo +back +round -velaric -long	◌g ◌ɣ ◌ʲ ◌ʷ
gɣʲʷʰ	ɡ͡ɣʲʷʰ	-syl -son +cons -cont +delrel -lat -nas +voi +sg -cg -ant -cor -lab +hi -lo +back +round -velaric -long	◌g ◌ɣ ◌ʲ ◌ʷ ◌ʰ
gɣʲː	ɡ͡ɣʲː	-syl -son +cons -cont +delrel -lat -nas +voi -sg -cg -ant -cor -lab +hi -lo -back -round -velaric +long	◌g ◌ɣ ◌ʲ ◌ː
gɣʲː	ɡ͡ɣːʲ	-syl -son +cons -cont +delrel -lat -nas +voi -sg -cg -ant -cor -lab +hi -lo -back -round -velaric +long	◌g ◌ɣ ◌ʲ ◌ː
gɣʷ	ɡ͡ɣʷ	-syl -son +cons -cont +delrel -lat -nas +voi -sg -cg -ant -cor -lab +hi -lo +back +round -velaric -long	◌g ◌ɣ ◌ʷ
gɣʷʰ	ɡ͡ɣʰʷ	-syl -son +cons -cont +delrel -lat -nas +voi +sg -cg -ant -cor -lab +hi -lo +back +round -velaric -long	◌g ◌ɣ ◌ʷ ◌ʰ
gɣʷʰ	ɡ͡ɣʷʰ	-syl -son +cons -cont +delrel -lat -nas +voi +sg -cg -ant -cor -lab +hi -lo +back +round -velaric -long	◌g ◌ɣ ◌ʷ ◌ʰ
gɣʷʰː	ɡ͡ɣʷʰː	-syl -son +cons -cont +delrel -lat -nas +voi +sg -cg -ant -cor -lab +hi -lo +back +round -velaric +long	◌g ◌ɣ ◌ʷ ◌ʰ ◌ː
gɣʷʱ	ɡ͡ɣ̤ʷ	-syl -son +cons -cont +delrel -lat -nas +voi +sg -cg -ant -cor -lab +hi -lo +back +round -velaric -long	◌g ◌ɣ ◌ʷ ◌ʱ
gɣʷˀ	ɡ͡ɣʷˀ	-syl -son +cons -cont +delrel -lat -nas +voi -sg +cg -ant -cor -lab +hi -lo +back +round -velaric -long	◌g ◌ɣ ◌ʷ ◌ˀ
gɣʷː	ɡ͡ɣʷː	-syl -son +cons -cont +delrel -lat -nas +voi -sg -cg -ant -cor -lab +hi -lo +back +round -velaric +long	◌g ◌ɣ ◌ʷ ◌ː
gɣʷː	ɡ͡ɣːʷ	-syl -son +cons -cont +delrel -lat -nas +voi -sg -cg -ant -cor -lab +hi -lo +back +round -velaric +long	◌g ◌ɣ ◌ʷ ◌ː
gɣʷˠ	ɡ͡ɣʷˠ	-syl -son +cons -cont +delrel -lat -nas +voi -sg -cg -ant -cor -lab +hi -lo +back +round -velaric -long	◌g ◌ɣ ◌ʷ ◌ˠ
gɣʷˠʰ	ɡ͡ɣʷˠʰ	-syl -son +cons -cont +delrel -lat -nas +voi +sg -cg -ant -cor -lab +hi -lo +back +round -velaric -long	◌g ◌ɣ ◌ʷ ◌ˠ ◌ʰ
gɣʷˤ	ɡ͡ɣʷˤ	-syl -son +cons -cont +delrel -lat -nas +voi -sg -cg -ant -cor -lab +hi +lo +back +round -velaric -long	◌g ◌ɣ ◌ʷ ◌ˤ
gɣʷˤʰ	ɡ͡ɣʷˤʰ	-syl -son +cons -cont +delrel -lat -nas +voi +sg -cg -ant -cor -lab +hi +lo +back +round -velaric -long	◌g ◌ɣ ◌ʷ ◌ˤ ◌ʰ
gɣˀ	ɡ͡ɣˀ	-syl -son +cons -cont +delrel -lat -nas +voi -sg +cg -ant -cor -lab +hi -lo -round -velaric -long	◌g ◌ɣ ◌ˀ
gɣː	ɡːˠ	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg -ant -cor -lab +hi -lo +back -round -velaric +long	◌g ◌ɣ ◌ː
gɣː	ɡ͡ɣː	-syl -son +cons -cont +delrel -lat -nas +voi -sg -cg -ant -cor -lab +hi -lo -round -velaric +long	◌g ◌ɣ ◌ː
gɣˠ	ɡ͡ɣˠ	-syl -son +cons -cont +delrel -lat -nas +voi -sg -cg -ant -cor -lab +hi -lo +back -round -velaric -long	◌g ◌ɣ ◌ˠ
gɣˠʰ	ɡ͡ɣʰˠ	-syl -son +cons -cont +delrel -lat -nas +voi +sg -cg -ant -cor -lab +hi -lo +back -round -velaric -long	◌g ◌ɣ ◌ˠ ◌ʰ
gɣˠʱ	ɡ͡ɣ̤ˠ	-syl -son +cons -cont +delrel -lat -nas +voi +sg -cg -ant -cor -lab +hi -lo +back -round -velaric -long	◌g ◌ɣ ◌ˠ ◌ʱ
gɣˠː	ɡ͡ɣːˠ	-syl -son +cons -cont +delrel -lat -nas +voi -sg -cg -ant -cor -lab +hi -lo +back -round -velaric +long	◌g ◌ɣ ◌ˠ ◌ː
gɣˤ	ɡ͡ɣˤ	-syl -son +cons -cont +delrel -lat -nas +voi -sg -cg -ant -cor -lab +hi +lo +back -round -velaric -long	◌g ◌ɣ ◌ˤ
gɣˤʰ	ɡ͡ɣʰˤ	-syl -son +cons -cont +delrel -lat -nas +voi +sg -cg -ant -cor -lab +hi +lo +back -round -velaric -long	◌g ◌ɣ ◌ˤ ◌ʰ
gɣˤʰ	ɡ͡ɣˤʰ	-syl -son +cons -cont +delrel -lat -nas +voi +sg -cg -ant -cor -lab +hi +lo +back -round -velaric -long	◌g ◌ɣ ◌ˤ ◌ʰ
gɣˤʱ	ɡ͡ɣ̤ˤ	-syl -son +cons -cont +delrel -lat -nas +voi +sg -cg -ant -cor -lab +hi +lo +back -round -velaric -long	◌g ◌ɣ ◌ˤ ◌ʱ
gɣˤː	ɡ͡ɣːˤ	-syl -son +cons -cont +delrel -lat -nas +voi -sg -cg -ant -cor -lab +hi +lo +back -round -velaric +long	◌g ◌ɣ ◌ˤ ◌ː
gɣˤː	ɡ͡ɣˤː	-syl -son +cons -cont +delrel -lat -nas +voi -sg -cg -ant -cor -lab +hi +lo +back -round -velaric +long	◌g ◌ɣ ◌ˤ ◌ː
gɣ̃	ɡ͡ɣ̃	-syl -son +cons -cont +delrel -lat +nas +voi -sg -cg -ant -cor -lab +hi -lo -round -velaric -long	◌g ◌ɣ ◌̃
gɣ̃ː	ɡ͡ɣ̃ː	-syl -son +cons -cont +delrel -lat +nas +voi -sg -cg -ant -cor -lab +hi -lo -round -velaric +long	◌g ◌ɣ ◌̃ ◌ː
gɣ̃ˤ	ɡ͡ɣ̃ˤ	-syl -son +cons -cont +delrel -lat +nas +voi -sg -cg -ant -cor -lab +hi +lo +back -round -velaric -long	◌g ◌ɣ ◌̃ ◌ˤ
gɣ̟	ɡ͡ɣ̟	-syl -son +cons -cont +delrel -lat -nas +voi -sg -cg -ant -cor -lab +hi -lo -round -velaric -long	◌g ◌ɣ ◌̟
gɣ̠	ɡ͡ɣ̠	-syl -son +cons -cont +delrel -lat -nas +voi -sg -cg -ant -cor -lab +hi -lo -round -velaric -long	◌g ◌ɣ ◌̠
gɣ̰	ɡ͡ɣ̰	-syl -son +cons -cont +delrel -lat -nas +voi -sg +cg -ant -cor -lab +hi -lo -round -velaric -long	◌g ◌ɣ ◌̰
gɣ̰ʲ	ɡ͡ɣ̰ʲ	-syl -son +cons -cont +delrel -lat -nas +voi -sg +cg -ant -cor -lab +hi -lo -back -round -velaric -long	◌g ◌ɣ ◌̰ ◌ʲ
gɣ̰ʷ	ɡ͡ɣ̰ʷ	-syl -son +cons -cont +delrel -lat -nas +voi -sg +cg -ant -cor -lab +hi -lo +back +round -velaric -long	◌g ◌ɣ ◌̰ ◌ʷ
gɣ̰ː	ɡ͡ɣ̰ː	-syl -son +cons -cont +delrel -lat -nas +voi -sg +cg -ant -cor -lab +hi -lo -round -velaric +long	◌g ◌ɣ ◌̰ ◌ː
gɣ̰ˠ	ɡ͡ɣ̰ˠ	-syl -son +cons -cont +delrel -lat -nas +voi -sg +cg -ant -cor -lab +hi -lo +back -round -velaric -long	◌g ◌ɣ ◌̰ ◌ˠ
gɣ̰ˤ	ɡ͡ɣ̰ˤ	-syl -son +cons -cont +delrel -lat -nas +voi -sg +cg -ant -cor -lab +hi +lo +back -round -velaric -long	◌g ◌ɣ ◌̰ ◌ˤ
gɣ̰̃	ɡ͡ɣ̰̃	-syl -son +cons -cont +delrel -lat +nas +voi -sg +cg -ant -cor -lab +hi -lo -round -velaric -long	◌g ◌ɣ ◌̰ ◌̃
gɣᶣ	ɡ͡ɣᶣ	-syl -son +cons -cont +delrel -lat -nas +voi -sg -cg -ant -cor -lab +hi -lo -back +round -velaric -long	◌g ◌ɣ ◌ᶣ
gɣᶣʰ	ɡ͡ɣʰᶣ	-syl -son +cons -cont +delrel -lat -nas +voi +sg -cg -ant -cor -lab +hi -lo -back +round -velaric -long	◌g ◌ɣ ◌ᶣ ◌ʰ
gʰ	ɡʰ	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg -ant -cor -lab +hi -lo +back -round -velaric -long	◌g ◌ʰ
gʰː	ɡʰː	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg -ant -cor -lab +hi -lo +back -round -velaric +long	◌g ◌ʰ ◌ː
gʱ	ɡ̤	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg -ant -cor -lab +hi -lo +back -round -velaric -long	◌g ◌ʱ
gʱː	ɡ̤ː	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg -ant -cor -lab +hi -lo +back -round -velaric +long	◌g ◌ʱ ◌ː
gʲ	ɡʲ	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg -ant -cor -lab +hi -lo -back -round -velaric -long	◌g ◌ʲ
gʲʰ	ɡʰʲ	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg -ant -cor -lab +hi -lo -back -round -velaric -long	◌g ◌ʲ ◌ʰ
gʲʰ	ɡʲʰ	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg -ant -cor -lab +hi -lo -back -round -velaric -long	◌g ◌ʲ ◌ʰ
gʲʱ	ɡ̤ʲ	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg -ant -cor -lab +hi -lo -back -round -velaric -long	◌g ◌ʲ ◌ʱ
gʲʷ	ɡʲʷ	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg -ant -cor -lab +hi -lo +back +round -velaric -long	◌g ◌ʲ ◌ʷ
gʲʷʰ	ɡʲʷʰ	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg -ant -cor -lab +hi -lo +back +round -velaric -long	◌g ◌ʲ ◌ʷ ◌ʰ
gʲː	ɡʲː	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg -ant -cor -lab +hi -lo -back -round -velaric +long	◌g ◌ʲ ◌ː
gʲː	ɡːʲ	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg -ant -cor -lab +hi -lo -back -round -velaric +long	◌g ◌ʲ ◌ː
gʷ	ɡʷ	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg -ant -cor -lab +hi -lo +back +round -velaric -long	◌g ◌ʷ
gʷʰ	ɡʰʷ	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg -ant -cor -lab +hi -lo +back +round -velaric -long	◌g ◌ʷ ◌ʰ
