BIPA	GRAPHEME	COLUMN	COUNT	NOTE	SYMBOLS
<NA>	ǂˣ	245	17		
<NA>	ǂˣˀ	266	13		
<NA>	ȷ˜	433	6		
<NA>	ɗ̪	561	1		
<NA>	ɟ́	24	2		
<NA>	ɠ̌	88	2		
<NA>	ɡ!kˣˀ	216	3		
<NA>	ɡ!ˣ	254	3		
<NA>	ɡ/kˣˀ	169	3		
<NA>	ɡ/ˣ	164	5		
<NA>	ɡ^	575	2		
<NA>	ɡǁkˣˀ	204	3		
<NA>	ɡǁˣ	209	7		
<NA>	ɡǂkˣˀ	282	3		
<NA>	ɡǂˣ	267	2		
<NA>	ɡʘkˣˀ	256	1		
<NA>	ɡʘˣ	228	1		
<NA>	ɡ́	17	0		
<NA>	ɡ̣̌	64	4		
<NA>	ɨ̅	149	1		
<NA>	ɹ́	717	1		
<NA>	ɾ̌	708	1		
<NA>	ɾ̣̤	736	6		
<NA>	ʎᵚ	455	1		
<NA>	ʘkˣˀ	206	1		
<NA>	ʘˣ	220	3		
<NA>	ʘˣˀ	268	1		
<NA>	ʯʷ	320	32		
<NA>	ʯˀʷ	353	1		
<NA>	ˀn˜	517	3		
<NA>	ᴳqʰ	563	1		
<NA>	ᴺG	585	2		
<NA>	ᵇpʰ	621	1		
<NA>	ᵈčˀ	92	1		
<NA>	ᵈtʰ	668	2		
<NA>	ᵈtˢʰ	48	2		
<NA>	ᵈtˢˀ	96	2		
<NA>	ᵈtˢˣ	108	1		
<NA>	ᵈt̪ˀ	105	1		
<NA>	ᵈt̪ˣ	568	1		
<NA>	ᵈzˣ	382	1		
<NA>	ᵈžʰ	311	1		
<NA>	ᵈžˣ	366	1		
<NA>	ᵑ!ᶢ	193	2		
<NA>	ᵑ/	190	2		
<NA>	ᵑ/ᶢ	257	3		
<NA>	ᵑǁᶢ	287	2		
<NA>	ᶡčʰ	13	1		
<NA>	ᶡčˀ	39	1		
<NA>	ᶢkʰ	572	2		
<NA>	ⁿd̪ᶻ	76	2		
<NA>	ⁿ̃čʰ	23	1		
<NA>	ⁿ̃ž	329	4		
<NA>	ⁿ̃ɡ̌	81	44		
<NA>	ⁿ̃ɡ̣̌	37	1		
<NA>	ⁿ̯d̯	704	1		
ǃ	!	173	29		◌ǃ
ǃʰ	!ʰ	262	26		◌ǃ ◌ʰ
ǃʱ	!ʱ	178	2		◌ǃ ◌ʱ
ǃˀ	!ˀ	255	24		◌ǃ ◌ˀ
ǃˀʰ	!ˀʰ	231	1		◌ǃ ◌ˀ ◌ʰ
+	+	184	0	This sound is not described in the source. @lingulist	
ǀ	/	187	34		◌ǀ
ǀʰ	/ʰ	175	29		◌ǀ ◌ʰ
ǀʱ	/ʱ	240	2		◌ǀ ◌ʱ
ǀˀ	/ˀ	180	28		◌ǀ ◌ˀ
ǀˀʰ	/ˀʰ	242	1		◌ǀ ◌ˀ ◌ʰ
gǃ	G!	222	1		◌g ◌ǃ
gǃʰ	G!ʰ	159	1		◌g ◌ǃ ◌ʰ
gǀ	G/	229	1		◌g ◌ǀ
gǀʰ	G/ʰ	218	1		◌g ◌ǀ ◌ʰ
gǁ	Gǁ	241	1		◌g ◌ǁ
gǁʰ	Gǁʰ	279	1		◌g ◌ǁ ◌ʰ
gǂ	Gǂ	202	1		◌g ◌ǂ
gǂʰ	Gǂʰ	290	1		◌g ◌ǂ ◌ʰ
gʘ	Gʘ	167	1		◌g ◌ʘ
gʘʰ	Gʘʰ	160	1		◌g ◌ʘ ◌ʰ
n	N	481	1		
n	N	537	14		◌n
r	R	724	1		◌r
a	a	154	1876		◌a
aː	aː	151	1		◌a ◌ː
a̤	a̤	147	4		◌a ◌̤
a̰	a̰	155	1		◌a ◌̰
b	b	641	1347		◌b
b	b	618	171		◌b
bd	bd	669	1		◌b ◌d
bʷ	bʷ	612	7		◌b ◌ʷ
bʷ	bʷ	635	1		◌b ◌ʷ
bˀ	bˀ	591	2		◌b ◌ˀ
bˡ	bˡ	117	1		◌b ◌ˡ
bʱ	b̤	652	47		◌b ◌ʱ
b̰	b̰	637	1		◌b ◌̰
bβ	bᵝ	77	1		◌b ◌β
c	c	642	305		◌c
cʰ	cʰ	685	34		◌c ◌ʰ
cʲ	cʲ	476	130		◌c ◌ʲ
cʲʷ	cʲʷ	469	1		◌c ◌ʲ ◌ʷ
cʲː	cʲː	473	4		◌c ◌ʲ ◌ː
c̠ʲ	cʲ̱	484	1		◌c ◌̠ ◌ʲ
cʷ	cʷ	485	234		◌c ◌ʷ
cʼ	cʹ	74	4		◌c ◌ʼ
cʼˀ	cʹˀ	22	0		◌c ◌’ ◌ˀ
cˀ	cˀ	626	13		◌c ◌ˀ
cː	cː	681	2		◌c ◌ː
cː	cːː	480	1		◌c ◌ː
tʃ	č	47	969		◌t ◌ʃ
tʃʰ	čʰ	40	159		◌t ◌ʃ ◌ʰ
tʃʷʰ	čʰʷ	16	1		◌t ◌ʃ ◌ʷ ◌ʰ
tʃʲ	čʲ	80	0		◌t ◌ʃ ◌ʲ
tʃʷ	čʷ	33	1		◌t ◌ʃ ◌ʷ
tʃˀ	čˀ	86	185		◌t ◌ʃ ◌ˀ
tʃː	čː	101	1		◌t ◌ʃ ◌ː
ʈʂ	c̣	475	1		◌ʈ ◌ʂ
ʈʂː	c̣ː	478	1		◌ʈ ◌ʂ ◌ː
ʈʂ	č̣	29	26	Sound not found in source description. @lingulist	◌ʈ ◌ʂ
ʈʂʰ	č̣ʰ	73	4		◌ʈ ◌ʂ ◌ʰ
ʈʂˀ	č̣ˀ	32	7		◌ʈ ◌ʂ ◌ˀ
cʱ	c̤	483	1		◌c ◌ʱ
c̥	c̥	470	5		◌c ◌̥
ç	ç	324	30		◌c ◌̧
çː	çː	391	9		◌c ◌̧ ◌ː
cⁿ	cᴺ	468	1		◌c ◌ⁿ
d	d	643	1310		◌d
dʲ	dʲ	574	8		◌d ◌ʲ
dʳ	dʳ	44	3		◌d ◌ʳ
dˀ	dˀ	570	5		◌d ◌ˀ
dˡ	dˡ	52	16		◌d ◌ˡ
ɖ	ḍ	653	161		◌ɖ
ɖˀ	ḍˀ	586	1		◌ɖ ◌ˀ
ɖː	ḍː	673	1		◌ɖ ◌ː
ɖ̃	ḍ̰	632	1		◌ɖ ◌̃
ɖˢ	ḍᶻ	69	6		◌ɖ ◌ˢ
dʱ	d̤	631	49		◌d ◌ʱ
d̪	d̪	589	38		◌d ◌̪
d̪ʱ	d̪̤	675	1		◌d ◌̪ ◌ʱ
d̰	d̰	603	1		◌d ◌̰
dˠ	dᵞ	15	1		◌d ◌ˠ
dð	dᶞ	116	2		◌d ◌ð
dz	dᶻ	78	225		◌d ◌z
dzʱ	dᶻʱ	109	1		◌d ◌z ◌ʱ
dzˀ	dᶻˀ	54	1		◌d ◌z ◌ˀ
dˢˠ	dᶻᵞ	63	1		◌d ◌ˢ ◌ˠ
e	e	400	1444		◌e
e̤	e̤	404	2		◌e ◌̤
ḛ	ḛ	414	1		◌e ◌̰
f	f	337	740		◌f
fˢ	fs	322	0		◌f ◌ˢ
fʰ	fʰ	362	2		◌f ◌ʰ
fʷ	fʷ	333	6		◌f ◌ʷ
fˀ	fˀ	388	4		◌f ◌ˀ
h	h	338	1248		◌h
hʲ	hʲ	387	1		◌h ◌ʲ
hʷ	hʷ	372	21		◌h ◌ʷ
h̃	h˜	367	11		◌h ◌̃
i	i	401	1866		◌i
i̤	i̤	402	5		◌i ◌̤
i̠	i̱	399	2		◌i ◌̠
j	j	418	1855		◌j
jˀ	jˀ	426	7		◌j ◌ˀ
jʱ	j̤	431	2		◌j ◌ʱ
j̊	j̥	419	28		◌j ◌̊
k	k	648	2032		◌k
kp	kp	580	172		◌k ◌p
