BIPA	URL	FEATURES	GRAPHEME	SYMBOLS
ɔ	https://en.wikipedia.org/wiki/Open-mid_back_rounded_vowel	Open-mid_back_rounded_vowel	ɔ	◌ɔ
ɕ	https://en.wikipedia.org/wiki/Voiceless_alveolo-palatal_fricative	Voiceless_alveolo-palatal_fricative	ɕ	◌ɕ
ɖ	https://en.wikipedia.org/wiki/Voiced_retroflex_stop	Voiced_retroflex_stop	ɖ	◌ɖ
ɖʐ	https://en.wikipedia.org/wiki/Voiced_retroflex_sibilant_affricate	Voiced_retroflex_sibilant_affricate	ɖʐ	◌ɖ ◌ʐ
ɘ	https://en.wikipedia.org/wiki/Close-mid_central_unrounded_vowel	Close-mid_central_unrounded_vowel	ɘ	◌ɘ
ə	https://en.wikipedia.org/wiki/Mid_central_vowel#Mid_central_unrounded_vowel	Mid_central_vowel#Mid_central_unrounded_vowel	ə	◌ə
ɛ	https://en.wikipedia.org/wiki/Open-mid_front_unrounded_vowel	Open-mid_front_unrounded_vowel	ɛ	◌ɛ
ɜ	https://en.wikipedia.org/wiki/Open-mid_central_unrounded_vowel	Open-mid_central_unrounded_vowel	ɜ	◌ɜ
ɞ	https://en.wikipedia.org/wiki/Open-mid_central_rounded_vowel	Open-mid_central_rounded_vowel	ɞ	◌ɞ
ɞ̞	https://en.wikipedia.org/wiki/Near-open_central_rounded_vowel	Near-open_central_rounded_vowel	ɞ̞	◌ɞ ◌̞
ɟ	https://en.wikipedia.org/wiki/Voiced_palatal_stop#Palatal_or_alveolo-palatal	Voiced_palatal_stop#Palatal_or_alveolo-palatal	ɟ	◌ɟ
ɟʝ	https://en.wikipedia.org/wiki/Voiced_palatal_affricate	Voiced_palatal_affricate	ɟʝ	◌ɟ ◌ʝ
g	https://en.wikipedia.org/wiki/Voiced_velar_stop	Voiced_velar_stop	ɡ	◌g
gɣ	https://en.wikipedia.org/wiki/Voiced_velar_affricate	Voiced_velar_affricate	ɡɣ	◌g ◌ɣ
ɢ	https://en.wikipedia.org/wiki/Voiced_uvular_stop	Voiced_uvular_stop	ɢ	◌ɢ
ɣ	https://en.wikipedia.org/wiki/Voiced_velar_fricative	Voiced_velar_fricative	ɣ	◌ɣ
ɤ	https://en.wikipedia.org/wiki/Close-mid_back_unrounded_vowel	Close-mid_back_unrounded_vowel	ɤ	◌ɤ
ɤ̞	https://en.wikipedia.org/wiki/Mid_back_unrounded_vowel	Mid_back_unrounded_vowel	ɤ̞	◌ɤ ◌̞
ɦ	https://en.wikipedia.org/wiki/Voiced_glottal_fricative	Voiced_glottal_fricative	ɦ	◌ɦ
ɨ	https://en.wikipedia.org/wiki/Close_central_unrounded_vowel	Close_central_unrounded_vowel	ɨ	◌ɨ
ɪ	https://en.wikipedia.org/wiki/Near-close_near-front_unrounded_vowel	Near-close_near-front_unrounded_vowel	ɪ	◌ɪ
ɪ̈	https://en.wikipedia.org/wiki/Near-close_central_unrounded_vowel	Near-close_central_unrounded_vowel	ɪ̈	◌ɪ ◌̈
ɬ	https://en.wikipedia.org/wiki/Voiceless_alveolar_lateral_fricative	Voiceless_alveolar_lateral_fricative	ɬ	◌ɬ
ɭ	https://en.wikipedia.org/wiki/Retroflex_lateral_approximant	Retroflex_lateral_approximant	ɭ	◌ɭ
