SOURCE	TARGET
ɂ	ʔ
υ	ʋ
ε	ɛ
	ᵑ
ɡ	g
ḷ	l̩
1	¹
2	²
3	³
4	⁴
5	⁵
_	_
ʻ	ʼ
	ᵐ
:	ː
'	ˈ
ʚ	ɞ
ɞ	ɞ
ɷ	ʊ
ε	ɛ
ɚ	ə˞
’	ʼ
ǝ	ə
#	_
◦	+
’	ʼ
ˁ	ˤ
◌͡◌	◌
◌͜◌	◌
˥	⁵
˦	⁴
˧	³
˨	²
˩	¹
₁	¹
₂	²
₃	³
₄	⁴
₅	⁵
₀	⁰
