GRAPHEME	ROUNDEDNESS	HEIGHT	CENTRALITY	ALIAS	EXTRA	NOTE
i	unrounded	high	front			i ɪ y ʏ
e	unrounded	mid	front			e ø
E	unrounded	low	front			a æ ɛ œ
3	unrounded	high	central			ɨ ə ɜ ʉ ɵ ʚ
a	unrounded	nearly-open	central			ɐ
u	unrounded	high	back			ɯ u
o	unrounded	mid	back			ɤ ʌ ɑ o ɔ
