BIPA	GRAPHEME	URL	FEATURES	SYMBOLS
qʰ	qʰ	http://apics-online.info/parameters/166	voiceless aspirated uvular plosive	◌q ◌ʰ
qʷʰ	qʰʷ	http://apics-online.info/parameters/167	labialized voiceless aspirated uvular plosive	◌q ◌ʷ ◌ʰ
qʷ	qʷ	http://apics-online.info/parameters/154	labialized voiceless uvular plosive	◌q ◌ʷ
qʼ	qʼ	http://apics-online.info/parameters/174	voiceless uvular ejective plosive	◌q ◌ʼ
qʼʷ	qʼʷ	http://apics-online.info/parameters/175	labialized voiceless uvular ejective plosive	◌q ◌ʼ ◌ʷ
r	r	http://apics-online.info/parameters/183	voiced dental/alveolar trill	◌r
s	s	http://apics-online.info/parameters/193	voiceless dental/alveolar sibilant fricative	◌s
t	t	http://apics-online.info/parameters/133	voiceless dental/alveolar plosive	◌t
tɬ	tɬ	http://apics-online.info/parameters/213	voiceless lateral affricate	◌t ◌ɬ
tɬʼ	tɬʼ	http://apics-online.info/parameters/214	voiceless lateral ejective affricate	◌t ◌ɬ ◌ʼ
tʰ	tʰ	http://apics-online.info/parameters/158	voiceless aspirated dental/alveolar plosive	◌t ◌ʰ
tʼ	tʼ	http://apics-online.info/parameters/169	voiceless dental/alveolar ejective plosive	◌t ◌ʼ
tː	tː	http://apics-online.info/parameters/225	geminate voiceless dental/alveolar plosive	◌t ◌ː
t̪	t̪	http://apics-online.info/parameters/135	voiceless interdental plosive	◌t ◌̪
ts	t͡s	http://apics-online.info/parameters/137	voiceless dental/alveolar sibilant affricate	◌t ◌s
tsʰ	t͡sʰ	http://apics-online.info/parameters/160	voiceless aspirated dental/alveolar sibilant affricate	◌t ◌s ◌ʰ
tsʼ	t͡sʼ	http://apics-online.info/parameters/170	voiceless dental/alveolar sibilant ejective affricate	◌t ◌s ◌ʼ
tʃ	t͡ʃ	http://apics-online.info/parameters/139	voiceless palato-alveolar sibilant affricate	◌t ◌ʃ
tʃʰ	t͡ʃʰ	http://apics-online.info/parameters/161	voiceless aspirated palato-alveolar sibilant affricate	◌t ◌ʃ ◌ʰ
tʃʼ	t͡ʃʼ	http://apics-online.info/parameters/171	voiceless palato-alveolar sibilant ejective affricate	◌t ◌ʃ ◌ʼ
u	u	http://apics-online.info/parameters/257	high back rounded vowel	◌u
ui	ui	http://apics-online.info/parameters/299	diphthong going from high back rounded vowel to high front unrounded vowel	◌u ◌i
uə	uə	http://apics-online.info/parameters/307	diphthong with high back rounded vowel and nonsyllabic mid central unrounded vowel	◌u ◌ə
uː	uː	http://apics-online.info/parameters/279	long high back rounded vowel	◌u ◌ː
ũ	ũ	http://apics-online.info/parameters/289	nasalized high back rounded vowel	◌u ◌̃
v	v	http://apics-online.info/parameters/190	voiced labio-dental fricative	◌v
w	w	http://apics-online.info/parameters/221	voiced labial-velar glide	◌w
x	x	http://apics-online.info/parameters/199	voiceless velar fricative	◌x
xʷ	xʷ	http://apics-online.info/parameters/200	labialized voiceless velar fricative	◌x ◌ʷ
y	y	http://apics-online.info/parameters/261	high front rounded vowel	◌y
yː	yː	http://apics-online.info/parameters/284	long high front rounded vowel	◌y ◌ː
z	z	http://apics-online.info/parameters/194	voiced dental/alveolar sibilant fricative	◌z
æ	æ	http://apics-online.info/parameters/255	raised low front unrounded vowel	◌æ
æː	æː	http://apics-online.info/parameters/277	long raised low front unrounded vowel	◌æ ◌ː
