BIPA	GRAPHEME	ID	SYMBOLS
ts	ts	51	◌t ◌s
tsʰ	tsʰ	80	◌t ◌s ◌ʰ
tsʲ	tsʲ	52	◌t ◌s ◌ʲ
tsʲʰ	tsʲʰ	81	◌t ◌s ◌ʲ ◌ʰ
tsʼ	tsʼ	106	◌t ◌s ◌ʼ
tɕ	tɕ	59	◌t ◌ɕ
tʃ	tʃ	54	◌t ◌ʃ
tʃʰ	tʃʰ	82	◌t ◌ʃ ◌ʰ
tʃʲ	tʃʲ	55	◌t ◌ʃ ◌ʲ
tʃʼ	tʃʼ	108	◌t ◌ʃ ◌ʼ
tʰ	tʰ	72	◌t ◌ʰ
tʲ	tʲ	19	◌t ◌ʲ
tʲʰ	tʲʰ	73	◌t ◌ʲ ◌ʰ
tʼʲ	tʲʼ	89	◌t ◌’ ◌ʲ
tʷ	tʷ	20	◌t ◌ʷ
tʼ	tʼ	88	◌t ◌ʼ
tː	tː	18	◌t ◌ː
t̪	t̪	12	◌t ◌̪
t̪ʰ	t̪ʰ	70	◌t ◌̪ ◌ʰ
t̪ʼ	t̪ʼ	87	◌t ◌̪ ◌ʼ
t̰	t̰	90	◌t ◌̰
t̺	t̺	21	◌t ◌̺
t̰	t◌̰	91	◌t ◌̰
u	u	269	◌u
uː	uː	273	◌u ◌ː
ũ	ũ	270	◌u ◌̃
ũː	ũː	274	◌u ◌̃ ◌ː
ṵ	ṵ	271	◌u ◌̰
ṵ̃	ṵ̃	272	◌u ◌̰ ◌̃
v	v	164	◌v
w	w	211	◌w
wʰ	wʰ	210	◌w ◌ʰ
wʲ	wʲ	215	◌w ◌ʲ
wʼ	wʼ	213	◌w ◌’
wː	wː	216	◌w ◌ː
w̃	w̃	212	◌w ◌̃
w̰	w̰	214	◌w ◌̰
x	x	183	◌x
xˡ	xl	185	◌x ◌ˡ
xʲ	xʲ	184	◌x ◌ʲ
xʷ	xʷ	186	◌x ◌ʷ
y	y	251	◌y
ỹ	ỹ	252	◌y ◌̃
z	z	174	◌z
æ	æ	331	◌æ
æː	æː	333	◌æ ◌ː
æ̃	æ̃	332	◌æ ◌̃
æ̃ː	æ̃ː	334	◌æ ◌̃ ◌ː
ð	ð	168	◌ð
ɹ̪	ð̞	198	◌ɹ ◌̪
ø	ø	291	◌ø
øː	øː	292	◌ø ◌ː
ø̃	ø̃	293	◌ø ◌̃
ŋ	ŋ	154	◌ŋ
ⁿk	ŋk	121	◌ⁿ ◌k
ⁿg	ŋɡ	122	◌ⁿ ◌g
ⁿgʷ	ŋɡʷ	123	◌ⁿ ◌g ◌ʷ
ŋʷ	ŋʷ	155	◌ŋ ◌ʷ
ŋ̊	ŋ̥	156	◌ŋ ◌̊
œ	œ	320	◌œ
œ̃	œ̃	321	◌œ ◌̃
ɐ̃	ɐ̃	335	◌ɐ ◌̃
ɑ	ɑ	346	◌ɑ
ɑː	ɑː	349	◌ɑ ◌ː
ɑ̃	ɑ̃	347	◌ɑ ◌̃
ɑ̰	ɑ̰	348	◌ɑ ◌̰
ɒ	ɒ	350	◌ɒ
ɒː	ɒː	352	◌ɒ ◌ː
ɒ̃	ɒ̃	351	◌ɒ ◌̃
ɒ̃ː	ɒ̃ː	353	◌ɒ ◌̃ ◌ː
ɓ	ɓ	63	◌ɓ
ɓ̥	ɓ̥	62	◌ɓ ◌̥
ɔ	ɔ	327	◌ɔ
ɔː	ɔː	329	◌ɔ ◌ː
ɔ̃	ɔ̃	328	◌ɔ ◌̃
ɔ̃ː	ɔ̃ː	330	◌ɔ ◌̃ ◌ː
ɕ	ɕ	180	◌ɕ
ɖ	ɖ	27	◌ɖ
ɖʐ	ɖʐ	58	◌ɖ ◌ʐ
ɗ	ɗ	65	◌ɗ
ɗ̥	ɗ̥	64	◌ɗ ◌̥
ɘ	ɘ	294	◌ɘ
ə	ə	310	◌ə
əː	əː	314	◌ə ◌ː
ə̃	ə̃	311	◌ə ◌̃
ə̃ː	ə̃ː	315	◌ə ◌̃ ◌ː
ə̰	ə̰	312	◌ə ◌̰
ə̰̃	ə̰̃	313	◌ə ◌̰ ◌̃
ɛ	ɛ	316	◌ɛ
ɛː	ɛː	318	◌ɛ ◌ː
ɛ̃	ɛ̃	317	◌ɛ ◌̃
ɛ̃ː	ɛ̃ː	319	◌ɛ ◌̃ ◌ː
ɜ	ɜ	322	◌ɜ
ɟ	ɟ	31	◌ɟ
ɟʝ	ɟʝ	61	◌ɟ ◌ʝ
ɟ̰	ɟ̰	97	◌ɟ ◌̰
ɠ	ɠ	67	◌ɠ
g	ɡ	43	◌g
gʷ	ɡʷ	45	◌g ◌ʷ
gː	ɡː	44	◌g ◌ː
g̰	ɡ̰	104	◌g ◌̰
ɢ	ɢ	48	◌ɢ
ɣ	ɣ	187	◌ɣ
ɣʷ	ɣʷ	188	◌ɣ ◌ʷ
ɤ	ɤ	297	◌ɤ
ɤː	ɤː	299	◌ɤ ◌ː
ɤ̃	ɤ̃	298	◌ɤ ◌̃
ɨ	ɨ	253	◌ɨ
ɨi	ɨi	259	◌ɨ ◌i
ɨː	ɨː	256	◌ɨ ◌ː
ɨ̃	ɨ̃	254	◌ɨ ◌̃
ɨ̃ː	ɨ̃ː	257	◌ɨ ◌̃ ◌ː
ɨ̘	ɨ̘	258	◌ɨ ◌̘
ɨ̰	ɨ̰	255	◌ɨ ◌̰
ɪ	ɪ	276	◌ɪ
ɪː	ɪː	278	◌ɪ ◌ː
ɪ̃	ɪ̃	277	◌ɪ ◌̃
ɬ	ɬ	221	◌ɬ
ɭ	ɭ	229	◌ɭ
ɭʲ	ɭʲ	230	◌ɭ ◌ʲ
ɮ	ɮ	228	◌ɮ
ɯ	ɯ	263	◌ɯ
ɯi	ɯi	268	◌ɯ ◌i
ɯː	ɯː	266	◌ɯ ◌ː
ɯ̃	ɯ̃	264	◌ɯ ◌̃
ɯ̃ː	ɯ̃ː	267	◌ɯ ◌̃ ◌ː
ɯ̰	ɯ̰	265	◌ɯ ◌̰
ɰ	ɰ	208	◌ɰ
ɱ	ɱ	140	◌ɱ
ɲ	ɲ	150	◌ɲ
ɲʰ	ɲʰ	149	◌ɲ ◌ʰ
ɲː	ɲː	152	◌ɲ ◌ː
ɲ̊	ɲ̥	153	◌ɲ ◌̊
ɲ̰	ɲ̰	151	◌ɲ ◌̰
ⁿɖʐ	ɳɖʐ	127	◌ⁿ ◌ɖ ◌ʐ
ⁿʈʂ	ɳʈʂ	126	◌ⁿ ◌ʈ ◌ʂ
ɵ	ɵ	295	◌ɵ
ɵː	ɵː	296	◌ɵ ◌ː
ɸ	ɸ	158	◌ɸ
ɸʲ	ɸʲ	159	◌ɸ ◌ʲ
ɹ	ɹ	199	◌ɹ
ɺ	ɺ	227	◌ɺ
ɺ̥	ɺ̥	222	◌ɺ ◌̥
ɻ	ɻ	200	◌ɻ
ɽ	ɽ	239	◌ɽ
ɽʰ	ɽʰ	238	◌ɽ ◌ʰ
ɾ	ɾ	234	◌ɾ
ɾʲ	ɾʲ	236	◌ɾ ◌ʲ
ɾ̃	ɾ̃	235	◌ɾ ◌̃
ʀ	ʀ	242	◌ʀ
ʁ	ʁ	191	◌ʁ
ʂ	ʂ	175	◌ʂ
ʃ	ʃ	177	◌ʃ
ʄ	ʄ	66	◌ʄ
ʈ	ʈ	26	◌ʈ
ʈʂ	ʈʂ	57	◌ʈ ◌ʂ
ʈʂʰ	ʈʂʰ	83	◌ʈ ◌ʂ ◌ʰ
ʈʂʼ	ʈʂʼ	109	◌ʈ ◌ʂ ◌’
ʈʰ	ʈʰ	75	◌ʈ ◌ʰ
ʈʼ	ʈʼ	94	◌ʈ ◌’
ʉ	ʉ	260	◌ʉ
ʉː	ʉː	262	◌ʉ ◌ː
ʉ̃	ʉ̃	261	◌ʉ ◌̃
ʊ	ʊ	280	◌ʊ
