BIPA	ID	GRAPHEME	FEATURES	SYMBOLS
d̠ʒ̫	6026	d̠ʒ̫	pulmonic affricate sibilant voiced palato-alveolar retracted whistled	◌d ◌̠ ◌ʒ ◌̫
d̠ʲ	1978	d̠ʲ	pulmonic stop voiced palatalized retracted	◌d ◌̠ ◌ʲ
dʱ	1996	d̤	pulmonic stop breathy voiced alveolar	◌d ◌ʱ
dzʱ	2126	d̤z̤	pulmonic affricate sibilant breathy voiced alveolar	◌d ◌z ◌ʱ
dʒʱ	4319	d̤ʒ̤	pulmonic affricate sibilant breathy voiced palato-alveolar	◌d ◌ʒ ◌ʱ
d̪	5878	d̪	pulmonic stop voiced dental	◌d ◌̪
d̪ɮ	1958	d̪l̪	pulmonic approximant lateral pre-stopped voiced dental	◌d ◌̪ ◌ɮ
dz̪	4155	d̪z̪	pulmonic affricate sibilant voiced dental	◌d ◌z ◌̪
dz̪ʲ	5962	d̪z̪ʲ	pulmonic affricate sibilant voiced palatalized dental alveolar	◌d ◌z ◌̪ ◌ʲ
d̪ʲ	1938	d̪ʲ	pulmonic stop voiced palatalized dental	◌d ◌̪ ◌ʲ
d̪ˠ	1979	d̪ˠ	pulmonic stop voiced velarized dental	◌d ◌̪ ◌ˠ
d̪ˤ	5514	d̪ˤ	pulmonic stop voiced pharyngealized  dental	◌d ◌̪ ◌ˤ
d̪ʱ	4321	d̪̤	pulmonic stop breathy voiced dental	◌d ◌̪ ◌ʱ
d̪ʲʱ	5948	d̪̤ʲ	pulmonic stop voiced breathy voiced palatalized dental	◌d ◌̪ ◌ʲ ◌ʱ
d̰	3419	d̰	pulmonic stop voiced laryngealized alveolar	◌d ◌̰
e	184	e	higher mid front unrounded	◌e
e	226	e'	unspecified mid front unrounded	◌e
ea	1580	ea	diphtong higher mid low front central unrounded lowering backing	◌e ◌a
e̥ː	1489	ee̥	voiceless diphtong higher mid front unrounded	◌e ◌̥ ◌ː
ei	2381	ei	diphtong high higher mid front unrounded rising	◌e ◌i
eu	1502	eu	diphtong high higher mid front back unrounded rounded rising backing rounding	◌e ◌u
eɪ	1507	eɪ	diphtong lowered high higher mid front unrounded rising	◌e ◌ɪ
eʊ	5954	eʊ	diphtong lowered high higher mid front back unrounded rounded rising backing rounding	◌e ◌ʊ
eˀ	5982	eˀ	laryngealized higher mid front unrounded	◌e ◌ˀ
eː	5506	eː	long higher mid front unrounded	◌e ◌ː
eː	1640	eː'	long unspecified mid front unrounded	◌e ◌ː
ẽ	5869	ẽ	nasalized higher mid front unrounded	◌e ◌̃
ẽ	1641	ẽ'	nasalized unspecified mid front unrounded	◌e ◌̃
ẽĩ	2434	ẽĩ	nasalized diphtong high higher mid front unrounded rising	◌e ◌̃ ◌i ◌̃
ẽˀ	5983	ẽˀ	nasalized laryngealized higher mid front unrounded	◌e ◌̃ ◌ˀ
ẽː	1612	ẽː	nasalized long higher mid front unrounded	◌e ◌̃ ◌ː
ẽː	1643	ẽː'	nasalized long unspecified mid front unrounded	◌e ◌̃ ◌ː
ḛ̃	1688	ḛ̃	nasalized laryngealized higher mid front unrounded	◌e ◌̰ ◌̃
ĕ	1782	ĕ	overshort higher mid front unrounded	◌e ◌̆
ḛ	1650	ḛ	laryngealized higher mid front unrounded	◌e ◌̰
f	48	f	pulmonic fricative voiceless labio-dental	◌f
fʲ	1937	fʲ	pulmonic fricative voiceless palatalized labio-dental	◌f ◌ʲ
fʷ	2038	fʷ	pulmonic fricative voiceless labialized labio-dental	◌f ◌ʷ
fː	2789	fː	pulmonic fricative voiceless long labio-dental	◌f ◌ː
fˠ	1974	fˠ	pulmonic fricative voiceless velarized labio-dental	◌f ◌ˠ
fˤ	5959	fˤ	pulmonic fricative voiceless pharyngealized  labio-dental	◌f ◌ˤ
h	58	h	pulmonic fricative voiceless glottal	◌h
hʲ	2199	hʲ	pulmonic fricative voiceless palatalized glottal	◌h ◌ʲ
hʷ	4298	hʷ	pulmonic fricative voiceless labialized glottal	◌h ◌ʷ
h̃	1840	h̃	pulmonic fricative nasalized voiceless glottal	◌h ◌̃
i	180	i	high front unrounded	◌i
ia	4960	ia	diphtong high low front central unrounded lowering backing	◌i ◌a
ie	2877	ie	diphtong high higher mid front unrounded lowering	◌i ◌e
i̥ː	1487	ii̥	voiceless diphtong high front unrounded	◌i ◌̥ ◌ː
io	1541	io	diphtong high higher mid front back unrounded rounded lowering backing rounding	◌i ◌o
iu	2378	iu	diphtong high front back unrounded rounded backing rounding	◌i ◌u
iə	3417	iə	diphtong high higher mid front central unrounded lowering backing	◌i ◌ə
