BIPA	ID	GRAPHEME	FEATURES	SYMBOLS
p̰	3260	p̰	pulmonic stop voiceless laryngealized bilabial	◌p ◌̰
q	13	q	pulmonic stop voiceless uvular	◌q
qʰ	5814	qʰ	pulmonic stop aspirated voiceless uvular	◌q ◌ʰ
qʼʲ	1907	qʲʼ	ejective stop palatalized uvular	◌q ◌’ ◌ʲ
qʷ	3850	qʷ	pulmonic stop voiceless labialized uvular	◌q ◌ʷ
qʷʰ	3852	qʷʰ	pulmonic stop aspirated voiceless labialized uvular	◌q ◌ʷ ◌ʰ
qʼʷ	1876	qʷʼ	ejective stop labialized uvular	◌q ◌ʼ ◌ʷ
qʼ	1814	qʼ	ejective stop uvular	◌q ◌ʼ
r	42	r	pulmonic trill voiced alveolar	◌r
rʼ	236	r'	pulmonic trill voiced unspecified coronal place	◌r ◌’
r	5784	rr	pulmonic unspecified rhotic voiced alveolar	◌r
r	1841	rr'	pulmonic unspecified rhotic voiced unspecified coronal place	◌r
rʲ	2077	rrʲ'	pulmonic unspecified rhotic voiced palatalized unspecified coronal place	◌r ◌ʲ
rʲ	3087	rʲ	pulmonic trill voiced palatalized alveolar	◌r ◌ʲ
rˠ	5951	rˠ	pulmonic trill voiced velarized alveolar	◌r ◌ˠ
rˤ	6010	rˤ	pulmonic trill voiced pharyngealized  alveolar	◌r ◌ˤ
r̝	125	r̝	pulmonic fricative trill voiced alveolar	◌r ◌̝
r̠	1837	r̠	pulmonic trill voiced retracted	◌r ◌̠
ṛ	45	ṛ	pulmonic trill voiced retroflex	◌r ◌̣
r̥	2005	r̥	pulmonic trill voiceless alveolar	◌r ◌̥
r̪	44	r̪	pulmonic trill voiced dental	◌r ◌̪
r̪ʲ	1942	r̪ʲ	pulmonic trill voiced palatalized dental	◌r ◌̪ ◌ʲ
r̰	4714	r̰	pulmonic trill voiced laryngealized alveolar	◌r ◌̰
s	77	s	pulmonic fricative sibilant voiceless alveolar	◌s
sʼ	235	s'	pulmonic fricative sibilant voiceless unspecified coronal place	◌s ◌ʼ
sʰ	4195	sʰ	pulmonic fricative sibilant aspirated voiceless alveolar	◌s ◌ʰ
sʲ	3088	sʲ	pulmonic fricative sibilant voiceless palatalized alveolar	◌s ◌ʲ
sʷ	1930	sʷ	pulmonic fricative sibilant voiceless labialized alveolar	◌s ◌ʷ
sʼ	1916	sʼ	ejective fricative sibilant alveolar	◌s ◌ʼ
sˠ	1973	sˠ	pulmonic fricative sibilant voiceless velarized alveolar	◌s ◌ˠ
sˤ	1967	sˤ	pulmonic fricative sibilant voiceless pharyngealized  alveolar	◌s ◌ˤ
sʼˤ	2278	sˤ'	pulmonic fricative sibilant voiceless pharyngealized  unspecified coronal place	◌s ◌’ ◌ˤ
s̪	5824	s̪	pulmonic fricative sibilant voiceless dental	◌s ◌̪
s̪ʲ	1936	s̪ʲ	pulmonic fricative sibilant voiceless palatalized dental	◌s ◌̪ ◌ʲ
s̪ˤ	5509	s̪ˤ	pulmonic fricative sibilant voiceless pharyngealized  dental	◌s ◌̪ ◌ˤ
s̫	6019	s̫	pulmonic fricative sibilant voiceless alveolar whistled	◌s ◌̫
s̪̰	5893	s̰̪	pulmonic fricative sibilant voiceless laryngealized dental	◌s ◌̪ ◌̰
t	5	t	pulmonic stop voiceless alveolar	◌t
tʼ	227	t'	pulmonic stop voiceless unspecified coronal place	◌t ◌ʼ
tp	1946	tp	pulmonic stop voiceless bilabial alveolar	◌t ◌p
tpʲ	2187	tpʲ	pulmonic stop voiceless palatalized bilabial alveolar	◌t ◌p ◌ʲ
tʳ	164	tr	pulmonic stop trilled release voiceless alveolar	◌t ◌ʳ
ts	5796	ts	pulmonic affricate sibilant voiceless alveolar	◌t ◌s
tsʼ	233	ts'	pulmonic affricate sibilant voiceless unspecified coronal place	◌t ◌s ◌ʼ
tsʰ	5474	tsʰ	pulmonic affricate sibilant aspirated voiceless alveolar	◌t ◌s ◌ʰ
tsʼʰ	1888	tsʰ'	pulmonic affricate sibilant aspirated voiceless unspecified coronal place	◌t ◌s ◌’ ◌ʰ
tsʼʲ	1887	tsʲ'	pulmonic affricate sibilant voiceless palatalized unspecified coronal place	◌t ◌s ◌’ ◌ʲ
tsʼʲʰ	5255	tsʲʰ'	pulmonic affricate sibilant aspirated voiceless palatalized unspecified coronal place	◌t ◌s ◌’ ◌ʲ ◌ʰ
tsʷ	1899	tsʷ	pulmonic affricate sibilant voiceless labialized alveolar	◌t ◌s ◌ʷ
tsʷʰ	3031	tsʷʰ	pulmonic affricate sibilant aspirated voiceless labialized alveolar	◌t ◌s ◌ʷ ◌ʰ
tsʼʷ	1897	tsʷʼ	ejective affricate sibilant labialized alveolar	◌t ◌s ◌’ ◌ʷ
tsʼ	1808	tsʼ	ejective affricate sibilant alveolar	◌t ◌s ◌ʼ
tsʼ	2049	tsʼ'	ejective affricate sibilant unspecified coronal place	◌t ◌s ◌ʼ
ts̫	6023	ts̫	pulmonic affricate sibilant voiceless alveolar whistled	◌t ◌s ◌̫
ts̫ʰ	6029	ts̫ʰ	pulmonic affricate sibilant aspirated voiceless alveolar whistled	◌t ◌s ◌̫ ◌ʰ
ts̫ʼ	6027	ts̫ʼ	ejective affricate sibilant alveolar whistled	◌t ◌s ◌̫ ◌’
tʶ	1829	tx	pulmonic affricate voiceless alveolar velar	◌t ◌ʶ
tɕ	1987	tç	pulmonic affricate voiceless alveolar palatal	◌t ◌ɕ
tɕʰ	1988	tçʰ	pulmonic affricate aspirated voiceless alveolar palatal	◌t ◌ɕ ◌ʰ
tɕ	144	tɕ	pulmonic affricate sibilant voiceless palatalized palato-alveolar	◌t ◌ɕ
tɬ	5790	tɬ	pulmonic affricate lateral voiceless alveolar	◌t ◌ɬ
tɬʼ	5938	tɬ'	pulmonic affricate lateral voiceless unspecified coronal place	◌t ◌ɬ ◌ʼ
tɬʰ	5477	tɬʰ	pulmonic affricate lateral aspirated voiceless alveolar	◌t ◌ɬ ◌ʰ
tɬʼʰ	2045	tɬʰ'	pulmonic affricate lateral aspirated voiceless unspecified coronal place	◌t ◌ɬ ◌’ ◌ʰ
tɬʼ	1828	tɬʼ	ejective affricate lateral alveolar	◌t ◌ɬ ◌ʼ
tʰ	5362	tʰ	pulmonic stop aspirated voiceless alveolar	◌t ◌ʰ
tʼʰ	1889	tʰ'	pulmonic stop aspirated voiceless unspecified coronal place	◌t ◌’ ◌ʰ
tʲʰ	5989	tʰʲ	pulmonic stop aspirated voiceless palatalized alveolar	◌t ◌ʲ ◌ʰ
tʲ	3089	tʲ	pulmonic stop voiceless palatalized alveolar	◌t ◌ʲ
tʼʲ	1881	tʲ'	pulmonic stop voiceless palatalized unspecified coronal place	◌t ◌’ ◌ʲ
tʲʰ	5928	tʲʰ	pulmonic stop aspirated voiceless palatalized alveolar	◌t ◌ʲ ◌ʰ
tʼʲʰ	2109	tʲʰ'	pulmonic stop aspirated voiceless palatalized unspecified coronal place	◌t ◌’ ◌ʲ ◌ʰ
tʷ	1904	tʷ	pulmonic stop voiceless labialized alveolar	◌t ◌ʷ
tʼʷ	1901	tʷʼ	ejective stop labialized alveolar	◌t ◌’ ◌ʷ
tʼ	1812	tʼ	ejective stop alveolar	◌t ◌ʼ
tʼ	1960	tʼ'	ejective stop unspecified coronal place	◌t ◌ʼ
tˤ	2232	tˤ	pulmonic stop voiceless pharyngealized  alveolar	◌t ◌ˤ
tʼˤ	2276	tˤ'	pulmonic stop voiceless pharyngealized  unspecified coronal place	◌t ◌’ ◌ˤ
t̠	3823	t̠	pulmonic stop voiceless palato-alveolar	◌t ◌̠
t̠ⁿ	2170	t̠n̠	pulmonic stop voiceless palato-alveolar nasal release	◌t ◌̠ ◌ⁿ
t̠p	2188	t̠p	pulmonic stop voiceless bilabial retracted	◌t ◌̠ ◌p
t̠pⁿ	2189	t̠pn̠m	pulmonic stop voiceless bilabial palato-alveolar nasal release	◌t ◌̠ ◌p ◌ⁿ
t̠pʲ	2186	t̠pʲ	pulmonic stop voiceless palatalized bilabial retracted	◌t ◌̠ ◌p ◌ʲ
tɕ	5323	t̠ɕ	pulmonic affricate sibilant voiceless palatalized palato-alveolar	◌t ◌ɕ
tɕʰ	5324	t̠ɕʰ	pulmonic affricate sibilant aspirated voiceless palatalized palato-alveolar	◌t ◌ɕ ◌ʰ
tʃ	138	t̠ʃ	pulmonic affricate sibilant voiceless palato-alveolar	◌t ◌ʃ
tʃʰ	5832	t̠ʃʰ	pulmonic affricate sibilant aspirated voiceless palato-alveolar	◌t ◌ʃ ◌ʰ
tʃʲ	5963	t̠ʃʲ	pulmonic affricate sibilant voiceless palatalized palato-alveolar retracted	◌t ◌ʃ ◌ʲ
tʃʷʰ	3052	t̠ʃʷʰ	pulmonic affricate sibilant aspirated voiceless labialized palato-alveolar	◌t ◌ʃ ◌ʷ ◌ʰ
tʃʼ	1809	t̠ʃʼ	ejective affricate sibilant palato-alveolar	◌t ◌ʃ ◌ʼ
tʃː	3049	t̠ʃː	pulmonic affricate sibilant voiceless long palato-alveolar	◌t ◌ʃ ◌ː
t̠ʃ̫	6025	t̠ʃ̫	pulmonic affricate sibilant voiceless palato-alveolar retracted whistled	◌t ◌̠ ◌ʃ ◌̫
t̠ʃ̫ʰ	6030	t̠ʃ̫ʰ	pulmonic affricate sibilant aspirated voiceless palato-alveolar retracted whistled	◌t ◌̠ ◌ʃ ◌̫ ◌ʰ
t̠ʃ̫ʼ	6028	t̠ʃ̫ʼ	ejective affricate sibilant palato-alveolar retracted whistled	◌t ◌̠ ◌ʃ ◌̫ ◌’
t̠ʲ	1981	t̠ʲ	pulmonic stop voiceless palatalized retracted	◌t ◌̠ ◌ʲ
tʃ̰	3262	t̠̰ʃ̰	pulmonic affricate sibilant voiceless laryngealized palato-alveolar	◌t ◌ʃ ◌̰
t̪	5127	t̪	pulmonic stop voiceless dental	◌t ◌̪
ts̪	5829	t̪s̪	pulmonic affricate sibilant voiceless dental	◌t ◌s ◌̪
ts̪ʰ	5830	t̪s̪ʰ	pulmonic affricate sibilant aspirated voiceless dental	◌t ◌s ◌̪ ◌ʰ
ts̪ʲ	5961	t̪s̪ʲ	pulmonic affricate sibilant voiceless palatalized dental alveolar	◌t ◌s ◌̪ ◌ʲ
ts̪ʼ	1848	t̪s̪ʼ	ejective affricate sibilant dental	◌t ◌s ◌̪ ◌ʼ
t̪ʰ	5828	t̪ʰ	pulmonic stop aspirated voiceless dental	◌t ◌̪ ◌ʰ
t̪ʲ	1940	t̪ʲ	pulmonic stop voiceless palatalized dental	◌t ◌̪ ◌ʲ
t̪ʷ	5926	t̪ʷ	pulmonic stop voiceless labialized dental	◌t ◌̪ ◌ʷ
t̪ʷʰ	5927	t̪ʷʰ	pulmonic stop aspirated voiceless labialized dental	◌t ◌̪ ◌ʷ ◌ʰ
t̪ʼ	1836	t̪ʼ	ejective stop dental	◌t ◌̪ ◌ʼ
t̪ˠ	1982	t̪ˠ	pulmonic stop voiceless velarized dental	◌t ◌̪ ◌ˠ
t̪ˤ	5507	t̪ˤ	pulmonic stop voiceless pharyngealized  dental	◌t ◌̪ ◌ˤ
t̪̰	2764	t̪̰	pulmonic stop voiceless laryngealized dental	◌t ◌̪ ◌̰
t̰	3259	t̰	pulmonic stop voiceless laryngealized alveolar	◌t ◌̰
ts̰	3264	t̰s̰	pulmonic affricate sibilant voiceless laryngealized alveolar	◌t ◌s ◌̰
tɬ̰	4716	t̰ɬ̰	pulmonic affricate lateral voiceless laryngealized alveolar	◌t ◌ɬ ◌̰
u	189	u	high back rounded	◌u
ua	4961	ua	diphtong high low central back unrounded rounded lowering fronting unrounding	◌u ◌a
ue	1576	ue	diphtong high higher mid front back unrounded rounded lowering fronting unrounding	◌u ◌e
ui	2384	ui	diphtong high front back unrounded rounded fronting unrounding	◌u ◌i
uo	1483	uo	diphtong high higher mid back rounded lowering	◌u ◌o
uː	1592	uu	diphtong high back rounded	◌u ◌ː
u̥ː	1493	uu̥	voiceless diphtong high back rounded	◌u ◌̥ ◌ː
uə	4977	uə	diphtong high higher mid central back unrounded rounded lowering fronting unrounding	◌u ◌ə
uɨ	1570	uɨ	diphtong high central back unrounded rounded fronting unrounding	◌u ◌ɨ
uʌ	1510	uʌ	diphtong high lower mid back unrounded rounded lowering unrounding	◌u ◌ʌ
uː	5502	uː	long high back rounded	◌u ◌ː
uː̠	6014	uː̠	long high back rounded retracted	◌u ◌ː ◌̠
uˤ	1729	uˤ	pharyngealized  high back rounded	◌u ◌ˤ
ũ	5876	ũ	nasalized high back rounded	◌u ◌̃
ũĩ	1577	ũĩ	nasalized diphtong high front back unrounded rounded fronting unrounding	◌u ◌̃ ◌i ◌̃
ũː	5473	ũː	nasalized long high back rounded	◌u ◌̃ ◌ː
ṵ̃	1692	ṵ̃	nasalized laryngealized high back rounded	◌u ◌̰ ◌̃
ŭ	3077	ŭ	overshort high back rounded	◌u ◌̆
u̝	1726	u̝	supra high back rounded	◌u ◌̝
ṳ	3402	ṳ	breathy voiced high back rounded	◌u ◌̤
u̥	4003	u̥	voiceless high back rounded	◌u ◌̥
ṵ	1657	ṵ	laryngealized high back rounded	◌u ◌̰
ṵː	1683	ṵː	laryngealized long high back rounded	◌u ◌̰ ◌ː
v	49	v	pulmonic fricative voiced labio-dental	◌v
vʲ	1935	vʲ	pulmonic fricative voiced palatalized labio-dental	◌v ◌ʲ
vʷ	1962	vʷ	pulmonic fricative voiced labialized labio-dental	◌v ◌ʷ
ṽ	2213	ṽ	pulmonic fricative nasalized voiced labio-dental	◌v ◌̃
vʱ	4032	v̤	pulmonic fricative breathy voiced labio-dental	◌v ◌ʱ
w	70	w	pulmonic approximant voiced bilabial velar	◌w
wʲ	2229	wʲ	pulmonic approximant voiced palatalized bilabial velar	◌w ◌ʲ
wˀ	5929	wˀ	pulmonic approximant voiced laryngealized bilabial velar	◌w ◌ˀ
w̃	2235	w̃	pulmonic approximant nasalized voiced bilabial velar	◌w ◌̃
wʱ	6008	w̤	pulmonic approximant voiced breathy voiced bilabial velar	◌w ◌ʱ
w̰	4975	w̰	pulmonic approximant voiced laryngealized bilabial velar	◌w ◌̰
x	52	x	pulmonic fricative voiceless velar	◌x
xʲ	4180	xʲ	pulmonic fricative voiceless palatalized velar	◌x ◌ʲ
xʷ	5495	xʷ	pulmonic fricative voiceless labialized velar	◌x ◌ʷ
xʼʷ	5258	xʷʼ	ejective fricative labialized velar	◌x ◌’ ◌ʷ
xʼ	2012	xʼ	ejective fricative velar	◌x ◌ʼ
xː	3056	xː	pulmonic fricative voiceless long velar	◌x ◌ː
y	181	y	high front rounded	◌y
y̥ː	1488	yy̥	voiceless diphtong high front rounded	◌y ◌̥ ◌ː
yø	1481	yø	diphtong high higher mid front rounded lowering	◌y ◌ø
yː	1646	yː	long high front rounded	◌y ◌ː
y̰	5997	y̰	laryngealized high front rounded	◌y ◌̰
z	78	z	pulmonic fricative sibilant voiced alveolar	◌z
zʼ	241	z'	pulmonic fricative sibilant voiced unspecified coronal place	◌z ◌’
z̰ʼ	5945	z'̰	pulmonic fricative sibilant voiced laryngealized unspecified coronal place	◌z ◌̰ ◌’
zʷ	1931	zʷ	pulmonic fricative sibilant voiced labialized alveolar	◌z ◌ʷ
zˤ	1968	zˤ	pulmonic fricative sibilant voiced pharyngealized  alveolar	◌z ◌ˤ
zʼˤ	2280	zˤ'	pulmonic fricative sibilant voiced pharyngealized  unspecified coronal place	◌z ◌’ ◌ˤ
z̪	5516	z̪	pulmonic fricative sibilant voiced dental	◌z ◌̪
z̪ʲ	1941	z̪ʲ	pulmonic fricative sibilant voiced palatalized dental	◌z ◌̪ ◌ʲ
z̪ˤ	5517	z̪ˤ	pulmonic fricative sibilant voiced pharyngealized  dental	◌z ◌̪ ◌ˤ
z̫	6020	z̫	pulmonic fricative sibilant voiced alveolar whistled	◌z ◌̫
æ	196	æ	raised low front unrounded	◌æ
æi	4691	æi	diphtong high raised low front unrounded rising	◌æ ◌i
æʉ	4702	æʉ	diphtong high raised low front central unrounded rounded rising backing rounding	◌æ ◌ʉ
æː	5505	æː	long raised low front unrounded	◌æ ◌ː
æ̃	5355	æ̃	nasalized raised low front unrounded	◌æ ◌̃
æ̃ː	1768	æ̃ː	nasalized long raised low front unrounded	◌æ ◌̃ ◌ː
æ̤	1660	æ̤	breathy voiced raised low front unrounded	◌æ ◌̤
ç	50	ç	pulmonic fricative voiceless palatal	◌c ◌̧
ð	62	ð	pulmonic fricative voiced dental	◌ð
ɹ̪	2091	ð̞	pulmonic approximant voiced dental	◌ɹ ◌̪
ɹ̪ʲ	1868	ð̞ʲ	pulmonic approximant voiced palatalized dental	◌ɹ ◌̪ ◌ʲ
ð̠	4161	ð̠	pulmonic fricative voiced alveolar	◌ð ◌̠
ø	185	ø	higher mid front rounded	◌ø
øi	1593	øi	diphtong high higher mid front unrounded rounded rising unrounding	◌ø ◌i
øy	1559	øy	long diphtong high higher mid front rounded rising	◌ø ◌y
ø̥ː	1490	øø̥	voiceless diphtong higher mid front rounded	◌ø ◌̥ ◌ː
øː	1645	øː	long higher mid front rounded	◌ø ◌ː
ø̃	1680	ø̃	nasalized higher mid front rounded	◌ø ◌̃
ø̃ː	1776	ø̃ː	nasalized long higher mid front rounded	◌ø ◌̃ ◌ː
ø̆	1637	ø̆	overshort higher mid front rounded	◌ø ◌̆
ø̰	6000	ø̰	laryngealized higher mid front rounded	◌ø ◌̰
ħ	56	ħ	pulmonic fricative voiceless pharyngeal	◌ħ
ħʷ	1895	ħʷ	pulmonic fricative voiceless labialized pharyngeal	◌ħ ◌ʷ
ŋ	33	ŋ	pulmonic nasal voiced velar	◌ŋ
ⁿk	5817	ŋk	pulmonic stop prenasalized voiceless velar	◌ⁿ ◌k
ⁿkʰ	5816	ŋkʰ	pulmonic stop prenasalized aspirated voiceless velar	◌ⁿ ◌k ◌ʰ
ⁿkʲ	2253	ŋkʲ	pulmonic stop prenasalized voiceless palatalized velar	◌ⁿ ◌k ◌ʲ
ⁿkʷ	2172	ŋkʷ	pulmonic stop prenasalized voiceless labialized velar	◌ⁿ ◌k ◌ʷ
ŋm	3975	ŋm	pulmonic nasal voiced bilabial velar	◌ŋ ◌m
ⁿkp	2180	ŋmkp	pulmonic stop prenasalized voiceless bilabial velar	◌ⁿ ◌k ◌p
ⁿgb	1854	ŋmɡb	pulmonic stop prenasalized voiced bilabial velar	◌ⁿ ◌g ◌b
ŋmʷ	6015	ŋmʷ	pulmonic nasal voiced labialized velar	◌ŋ ◌m ◌ʷ
ŋǀ	1341	ŋǀ	click nasal voiced dental velar	◌ŋ ◌ǀ
ŋǁ	1339	ŋǁ	click nasal lateral voiced alveolar velar	◌ŋ ◌ǁ
ŋǂ	1340	ŋǂ	click nasal voiced palatal velar	◌ŋ ◌ǂ
ŋǃ	1338	ŋǃ	click nasal voiced palato-alveolar velar	◌ŋ ◌ǃ
ⁿg	1822	ŋɡ	pulmonic stop prenasalized voiced velar	◌ⁿ ◌g
ⁿgʷ	1857	ŋɡʷ	pulmonic stop prenasalized voiced labialized velar	◌ⁿ ◌g ◌ʷ
ŋʲ	2251	ŋʲ	pulmonic nasal voiced palatalized velar	◌ŋ ◌ʲ
ŋʷ	4027	ŋʷ	pulmonic nasal voiced labialized velar	◌ŋ ◌ʷ
ŋˀ	5992	ŋˀ	pulmonic nasal voiced laryngealized velar	◌ŋ ◌ˀ
ŋ̊	3972	ŋ̥	pulmonic nasal voiceless velar	◌ŋ ◌̊
ⁿǀʰ	1406	ŋ̥ǀh̃	click fricative nasal nasalized voiceless dental velar glottal	◌ⁿ ◌ǀ ◌ʰ
ⁿǀ	1404	ŋ̥ǀx	click fricative nasal voiceless dental velar	◌ⁿ ◌ǀ
ⁿǀˀ	1405	ŋ̥ǀʔ	click stop nasal voiceless dental velar glottal	◌ⁿ ◌ǀ ◌ˀ
ⁿǁʰ	1412	ŋ̥ǁh̃	click fricative nasal lateral nasalized voiceless alveolar velar glottal	◌ⁿ ◌ǁ ◌ʰ
ⁿǁ	1410	ŋ̥ǁx	click fricative nasal lateral voiceless alveolar velar	◌ⁿ ◌ǁ
ⁿǁˀ	1411	ŋ̥ǁʔ	click stop nasal lateral voiceless alveolar velar glottal	◌ⁿ ◌ǁ ◌ˀ
ⁿǂʰ	1409	ŋ̥ǂh̃	click fricative nasal nasalized voiceless palatal velar glottal	◌ⁿ ◌ǂ ◌ʰ
ⁿǂ	1407	ŋ̥ǂx	click fricative nasal voiceless palatal velar	◌ⁿ ◌ǂ
ⁿǂˀ	1408	ŋ̥ǂʔ	click stop nasal voiceless palatal velar glottal	◌ⁿ ◌ǂ ◌ˀ
ⁿǃʰ	1415	ŋ̥ǃh̃	click fricative nasal nasalized voiceless palato-alveolar velar glottal	◌ⁿ ◌ǃ ◌ʰ
ⁿǃ	1413	ŋ̥ǃx	click fricative nasal voiceless palato-alveolar velar	◌ⁿ ◌ǃ
ⁿǃˀ	1414	ŋ̥ǃʔ	click stop nasal voiceless palato-alveolar velar glottal	◌ⁿ ◌ǃ ◌ˀ
œ	195	œ	lower mid front rounded	◌œ
œy	1560	œy	diphtong high lower mid front rounded rising	◌œ ◌y
œː	1647	œː	long lower mid front rounded	◌œ ◌ː
œ̃	1791	œ̃	nasalized lower mid front rounded	◌œ ◌̃
b̪	18	ȸ	pulmonic stop voiced labio-dental	◌b ◌̪
bv	149	ȸv	pulmonic affricate sibilant voiced labio-dental	◌b ◌v
pf	148	ȹf	pulmonic affricate sibilant voiceless labio-dental	◌p ◌f
ɐ	204	ɐ	raised low central unrounded	◌ɐ
ɐː	1737	ɐː	long raised low central unrounded	◌ɐ ◌ː
ɐ̃	1694	ɐ̃	nasalized raised low central unrounded	◌ɐ ◌̃
ɑ	206	ɑ	low back unrounded	◌ɑ
ɑu	1561	ɑu	diphtong high low back unrounded rounded rising rounding	◌ɑ ◌u
ɑ̥ː	1491	ɑɑ̥	voiceless diphtong low back unrounded	◌ɑ ◌̥ ◌ː
ɑː	5034	ɑː	long low back unrounded	◌ɑ ◌ː
ɑˤ	6017	ɑˤ	pharyngealized  low back unrounded	◌ɑ ◌ˤ
ɑ̃	5033	ɑ̃	nasalized low back unrounded	◌ɑ ◌̃
ɑ̃ː	5032	ɑ̃ː	nasalized long low back unrounded	◌ɑ ◌̃ ◌ː
ɑ̰	5999	ɑ̰	laryngealized low back unrounded	◌ɑ ◌̰
ɒ	198	ɒ	low back rounded	◌ɒ
ɒː	1803	ɒː	long low back rounded	◌ɒ ◌ː
ɒ̃	1716	ɒ̃	nasalized low back rounded	◌ɒ ◌̃
ɒ̝	208	ɒ̝	raised low back rounded	◌ɒ ◌̝
ɓ	107	ɓ	implosive stop voiced bilabial	◌ɓ
ɓʲ	2152	ɓʲ	implosive stop voiced palatalized bilabial	◌ɓ ◌ʲ
ɔ	205	ɔ	lower mid back rounded	◌ɔ
ɔa	1516	ɔa	diphtong lower mid low central back unrounded rounded lowering fronting unrounding	◌ɔ ◌a
ɔi	1497	ɔi	diphtong high lower mid front back unrounded rounded rising fronting unrounding	◌ɔ ◌i
ɔu	1495	ɔu	diphtong high lower mid back rounded rising	◌ɔ ◌u
ɔy	4701	ɔy	diphtong high lower mid front back rounded rising fronting	◌ɔ ◌y
ɔ̥ː	1492	ɔɔ̥	voiceless diphtong lower mid back rounded	◌ɔ ◌̥ ◌ː
ɔɪ	1473	ɔɪ	diphtong lowered high lower mid front back unrounded rounded rising fronting unrounding	◌ɔ ◌ɪ
ɔː	5304	ɔː	long lower mid back rounded	◌ɔ ◌ː
ɔ̃	5871	ɔ̃	nasalized lower mid back rounded	◌ɔ ◌̃
ɔ̃ː	5303	ɔ̃ː	nasalized long lower mid back rounded	◌ɔ ◌̃ ◌ː
ɔ̆	1638	ɔ̆	overshort lower mid back rounded	◌ɔ ◌̆
ɔ̤	3398	ɔ̤	breathy voiced lower mid back rounded	◌ɔ ◌̤
ɕ	83	ɕ	pulmonic fricative sibilant voiceless palatalized palato-alveolar	◌ɕ
ɖ	8	ɖ	pulmonic stop voiced retroflex	◌ɖ
ɖʐ	141	ɖʐ	pulmonic affricate sibilant voiced retroflex	◌ɖ ◌ʐ
ɖː	2233	ɖː	pulmonic stop voiced long retroflex	◌ɖ ◌ː
ɖʱ	4323	ɖ̤	pulmonic stop breathy voiced retroflex	◌ɖ ◌ʱ
ɖ̰	5942	ɖ̰	pulmonic stop voiced laryngealized retroflex	◌ɖ ◌̰
ɗ	109	ɗ	implosive stop voiced alveolar	◌ɗ
ɗʼ	1863	ɗ'	implosive stop voiced unspecified coronal place	◌ɗ ◌’
ɗ	1816	ɗ̪	implosive stop voiced dental	◌ɗ
ɗʲ	2165	ɗ̪ʲ	implosive stop voiced palatalized dental	◌ɗ ◌ʲ
ə	209	ə	higher mid central unrounded	◌ə
ə	243	ə'	unspecified mid central unrounded	◌ə
əa	1591	əa	diphtong higher mid low central unrounded lowering	◌ə ◌a
əi	1545	əi	diphtong high higher mid front central unrounded rising fronting	◌ə ◌i
əu	5801	əu	diphtong high higher mid central back unrounded rounded rising backing rounding	◌ə ◌u
əɨ	1571	əɨ	diphtong high higher mid central unrounded rising	◌ə ◌ɨ
əɯ	1525	əɯ	diphtong high higher mid central back unrounded rising backing	◌ə ◌ɯ
əː	4986	əː	long higher mid central unrounded	◌ə ◌ː
əː	5498	əː'	long unspecified mid central unrounded	◌ə ◌ː
ə˞	1728	ə˞'	unspecified mid central unrounded rhotacized	◌ə ◌˞
ə̃	5873	ə̃	nasalized higher mid central unrounded	◌ə ◌̃
ə̃	1717	ə̃'	nasalized unspecified mid central unrounded	◌ə ◌̃
ə̃ː	1767	ə̃ː	nasalized long higher mid central unrounded	◌ə ◌̃ ◌ː
ə̆	2321	ə̆	overshort higher mid central unrounded	◌ə ◌̆
ɛ	194	ɛ	lower mid front unrounded	◌ɛ
ɛi	1486	ɛi	diphtong high lower mid front unrounded rising	◌ɛ ◌i
ɛu	1484	ɛu	diphtong high lower mid front back unrounded rounded rising backing rounding	◌ɛ ◌u
ɛə	1504	ɛə	diphtong higher mid lower mid front central unrounded rising backing	◌ɛ ◌ə
ɛʉ	5921	ɛʉ	diphtong high lower mid front central unrounded rounded rising backing rounding	◌ɛ ◌ʉ
ɛː	5306	ɛː	long lower mid front unrounded	◌ɛ ◌ː
ɛ̃	5872	ɛ̃	nasalized lower mid front unrounded	◌ɛ ◌̃
ɛ̃ː	5305	ɛ̃ː	nasalized long lower mid front unrounded	◌ɛ ◌̃ ◌ː
ɛ̆	1783	ɛ̆	overshort lower mid front unrounded	◌ɛ ◌̆
ɛ̤	3399	ɛ̤	breathy voiced lower mid front unrounded	◌ɛ ◌̤
ɜ	201	ɜ	lower mid central unrounded	◌ɜ
ɜi	1517	ɜi	diphtong high lower mid front central unrounded rising fronting	◌ɜ ◌i
ɜː	1804	ɜː	long lower mid central unrounded	◌ɜ ◌ː
ɜ̃	5307	ɜ̃	nasalized lower mid central unrounded	◌ɜ ◌̃
ɟ	10	ɟ	pulmonic stop voiced palatal	◌ɟ
dʑʲ	5877	ɟʑ	pulmonic affricate voiced palatalized palato-alveolar	◌d ◌ʑ ◌ʲ
ɟʝ	3186	ɟʝ	pulmonic affricate voiced palatal	◌ɟ ◌ʝ
ɟʱ	5993	ɟ̤	pulmonic stop voiced breathy voiced palatal	◌ɟ ◌ʱ
ɟ̰	4700	ɟ̰	pulmonic stop voiced laryngealized palatal	◌ɟ ◌̰
ɠ	111	ɠ	implosive stop voiced velar	◌ɠ
ɠɓ	136	ɠɓ	implosive stop voiced bilabial velar	◌ɠ ◌ɓ
g	173	ɡ	pulmonic stop voiced velar	◌g
gb	130	ɡb	pulmonic stop voiced bilabial velar	◌g ◌b
gǀ	1367	ɡǀ	click stop voiced dental velar	◌g ◌ǀ
