BIPA	GRAPHEME	URL	SYMBOLS
<NA>	◌̻	https://chridd.nfshost.com/diachronica/search?q=%cc%bb	
<NA>	◌̼	https://chridd.nfshost.com/diachronica/search?q=%cc%bc	
<NA>	◌͜	https://chridd.nfshost.com/diachronica/search?q=%cd%9c	
<NA>	◌͡	https://chridd.nfshost.com/diachronica/search?q=%cd%a1	
<NA>	◌͡ʰ	https://chridd.nfshost.com/diachronica/search?q=%cd%a1%ca%b0	
+	+	https://chridd.nfshost.com/diachronica/search?q=%2b	
¹	1	https://chridd.nfshost.com/diachronica/search?q=1	◌¹
²	2	https://chridd.nfshost.com/diachronica/search?q=2	◌²
³	3	https://chridd.nfshost.com/diachronica/search?q=3	◌³
⁴	4	https://chridd.nfshost.com/diachronica/search?q=4	◌⁴
⁵	5	https://chridd.nfshost.com/diachronica/search?q=5	◌⁵
a	a	https://chridd.nfshost.com/diachronica/search?q=a	◌a
aː	aː	https://chridd.nfshost.com/diachronica/search?q=a%cb%90	◌a ◌ː
ã	ã	https://chridd.nfshost.com/diachronica/search?q=a%cc%83	◌a ◌̃
ãː	ãː	https://chridd.nfshost.com/diachronica/search?q=a%cc%83%cb%90	◌a ◌̃ ◌ː
ā	ā	https://chridd.nfshost.com/diachronica/search?q=a%cc%84	◌a ◌̄
ă	ă	https://chridd.nfshost.com/diachronica/search?q=a%cc%86	◌a ◌̆
ḁ	å	https://chridd.nfshost.com/diachronica/search?q=a%cc%8a	◌a ◌̥
a̯	a̯	https://chridd.nfshost.com/diachronica/search?q=a%cc%af	◌a ◌̯
a̰	a̰	https://chridd.nfshost.com/diachronica/search?q=a%cc%b0	◌a ◌̰
b	b	https://chridd.nfshost.com/diachronica/search?q=b	◌b
bʰ	bʰ	https://chridd.nfshost.com/diachronica/search?q=b%ca%b0	◌b ◌ʰ
bʱ	bʱ	https://chridd.nfshost.com/diachronica/search?q=b%ca%b1	◌b ◌ʱ
bʲ	bʲ	https://chridd.nfshost.com/diachronica/search?q=b%ca%b2	◌b ◌ʲ
bʷ	bʷ	https://chridd.nfshost.com/diachronica/search?q=b%ca%b7	◌b ◌ʷ
bʲʷ	bʷʲ	https://chridd.nfshost.com/diachronica/search?q=b%ca%b7%ca%b2	◌b ◌ʲ ◌ʷ
bʼ	bʼ	https://chridd.nfshost.com/diachronica/search?q=b%ca%bc	◌b ◌’
bː	bː	https://chridd.nfshost.com/diachronica/search?q=b%cb%90	◌b ◌ː
bˤ	bˤ	https://chridd.nfshost.com/diachronica/search?q=b%cb%a4	◌b ◌ˤ
b̚	b̚	https://chridd.nfshost.com/diachronica/search?q=b%cc%9a	◌b ◌̚
c	c	https://chridd.nfshost.com/diachronica/search?q=c	◌c
cʰ	cʰ	https://chridd.nfshost.com/diachronica/search?q=c%ca%b0	◌c ◌ʰ
cʰː	cʰː	https://chridd.nfshost.com/diachronica/search?q=c%ca%b0%cb%90	◌c ◌ʰ ◌ː
cʷ	cʷ	https://chridd.nfshost.com/diachronica/search?q=c%ca%b7	◌c ◌ʷ
cʷː	cʷː	https://chridd.nfshost.com/diachronica/search?q=c%ca%b7%cb%90	◌c ◌ʷ ◌ː
cː	cː	https://chridd.nfshost.com/diachronica/search?q=c%cb%90	◌c ◌ː
c̚	c̚	https://chridd.nfshost.com/diachronica/search?q=c%cc%9a	◌c ◌̚
d	d	https://chridd.nfshost.com/diachronica/search?q=d	◌d
dʰ	dʰ	https://chridd.nfshost.com/diachronica/search?q=d%ca%b0	◌d ◌ʰ
dʱ	dʱ	https://chridd.nfshost.com/diachronica/search?q=d%ca%b1	◌d ◌ʱ
dʱː	dʱː	https://chridd.nfshost.com/diachronica/search?q=d%ca%b1%cb%90	◌d ◌ʱ ◌ː
dʲ	dʲ	https://chridd.nfshost.com/diachronica/search?q=d%ca%b2	◌d ◌ʲ
dʷ	dʷ	https://chridd.nfshost.com/diachronica/search?q=d%ca%b7	◌d ◌ʷ
dʼ	dʼ	https://chridd.nfshost.com/diachronica/search?q=d%ca%bc	◌d ◌’
dː	dː	https://chridd.nfshost.com/diachronica/search?q=d%cb%90	◌d ◌ː
dˤ	dˤ	https://chridd.nfshost.com/diachronica/search?q=d%cb%a4	◌d ◌ˤ
d̪	d̪	https://chridd.nfshost.com/diachronica/search?q=d%cc%aa	◌d ◌̪
dz	d͜z	https://chridd.nfshost.com/diachronica/search?q=d%cd%9cz	◌d ◌z
e	e	https://chridd.nfshost.com/diachronica/search?q=e	◌e
eː	eː	https://chridd.nfshost.com/diachronica/search?q=e%cb%90	◌e ◌ː
eːi̯	eːʲ	https://chridd.nfshost.com/diachronica/search?q=e%cb%90%ca%b2	◌e ◌ː ◌i ◌̯
è	è	https://chridd.nfshost.com/diachronica/search?q=e%cc%80	◌e ◌̀
é	é	https://chridd.nfshost.com/diachronica/search?q=e%cc%81	◌e ◌́
ê	ê	https://chridd.nfshost.com/diachronica/search?q=e%cc%82	◌e ◌̂
ẽ	ẽ	https://chridd.nfshost.com/diachronica/search?q=e%cc%83	◌e ◌̃
ẽː	ẽː	https://chridd.nfshost.com/diachronica/search?q=e%cc%83%cb%90	◌e ◌̃ ◌ː
ē	ē	https://chridd.nfshost.com/diachronica/search?q=e%cc%84	◌e ◌̄
ë	ë	https://chridd.nfshost.com/diachronica/search?q=e%cc%88	◌e ◌̈
e̯	e̯	https://chridd.nfshost.com/diachronica/search?q=e%cc%af	◌e ◌̯
ḛ	ḛ	https://chridd.nfshost.com/diachronica/search?q=e%cc%b0	◌e ◌̰
f	f	https://chridd.nfshost.com/diachronica/search?q=f	◌f
fʲ	fʲ	https://chridd.nfshost.com/diachronica/search?q=f%ca%b2	◌f ◌ʲ
fʼ	fʼ	https://chridd.nfshost.com/diachronica/search?q=f%ca%bc	◌f ◌ʼ
fː	fː	https://chridd.nfshost.com/diachronica/search?q=f%cb%90	◌f ◌ː
f̩	f̩	https://chridd.nfshost.com/diachronica/search?q=f%cc%a9	◌f ◌̩
h	h	https://chridd.nfshost.com/diachronica/search?q=h	◌h
hʷ	hʷ	https://chridd.nfshost.com/diachronica/search?q=h%ca%b7	◌h ◌ʷ
hː	hː	https://chridd.nfshost.com/diachronica/search?q=h%cb%90	◌h ◌ː
h̃	h̃	https://chridd.nfshost.com/diachronica/search?q=h%cc%83	◌h ◌̃
h̃ʷ	h̃ʷ	https://chridd.nfshost.com/diachronica/search?q=h%cc%83%ca%b7	◌h ◌̃ ◌ʷ
i	i	https://chridd.nfshost.com/diachronica/search?q=i	◌i
iː	iː	https://chridd.nfshost.com/diachronica/search?q=i%cb%90	◌i ◌ː
í	í	https://chridd.nfshost.com/diachronica/search?q=i%cc%81	◌i ◌́
î	î	https://chridd.nfshost.com/diachronica/search?q=i%cc%82	◌i ◌̂
ĩ	ĩ	https://chridd.nfshost.com/diachronica/search?q=i%cc%83	◌i ◌̃
ĭ	ĭ	https://chridd.nfshost.com/diachronica/search?q=i%cc%86	◌i ◌̆
i̯	i̯	https://chridd.nfshost.com/diachronica/search?q=i%cc%af	◌i ◌̯
ḭ	ḭ	https://chridd.nfshost.com/diachronica/search?q=i%cc%b0	◌i ◌̰
j	j	https://chridd.nfshost.com/diachronica/search?q=j	◌j
jʰ	jʰ	https://chridd.nfshost.com/diachronica/search?q=j%ca%b0	◌j ◌ʰ
jˀ	jˀ	https://chridd.nfshost.com/diachronica/search?q=j%cb%80	◌j ◌ˀ
jː	jː	https://chridd.nfshost.com/diachronica/search?q=j%cb%90	◌j ◌ː
j̃	j̃	https://chridd.nfshost.com/diachronica/search?q=j%cc%83	◌j ◌̃
j̊	j̊	https://chridd.nfshost.com/diachronica/search?q=j%cc%8a	◌j ◌̊
k	k	https://chridd.nfshost.com/diachronica/search?q=k	◌k
kʰ	kʰ	https://chridd.nfshost.com/diachronica/search?q=k%ca%b0	◌k ◌ʰ
kʷʰ	kʰʷ	https://chridd.nfshost.com/diachronica/search?q=k%ca%b0%ca%b7	◌k ◌ʷ ◌ʰ
kʲ	kʲ	https://chridd.nfshost.com/diachronica/search?q=k%ca%b2	◌k ◌ʲ
kʲʷː	kʲʷː	https://chridd.nfshost.com/diachronica/search?q=k%ca%b2%ca%b7%cb%90	◌k ◌ʲ ◌ʷ ◌ː
kʼʲ	kʲʼ	https://chridd.nfshost.com/diachronica/search?q=k%ca%b2%ca%bc	◌k ◌’ ◌ʲ
kʲː	kʲː	https://chridd.nfshost.com/diachronica/search?q=k%ca%b2%cb%90	◌k ◌ʲ ◌ː
kʷ	kʷ	https://chridd.nfshost.com/diachronica/search?q=k%ca%b7	◌k ◌ʷ
kʷʰ	kʷʰ	https://chridd.nfshost.com/diachronica/search?q=k%ca%b7%ca%b0	◌k ◌ʷ ◌ʰ
kʼʲʷ	kʷʲʼ	https://chridd.nfshost.com/diachronica/search?q=k%ca%b7%ca%b2%ca%bc	◌k ◌’ ◌ʲ ◌ʷ
kʼʷ	kʷʼ	https://chridd.nfshost.com/diachronica/search?q=k%ca%b7%ca%bc	◌k ◌ʼ ◌ʷ
kʷː	kʷː	https://chridd.nfshost.com/diachronica/search?q=k%ca%b7%cb%90	◌k ◌ʷ ◌ː
kʼ	kʼ	https://chridd.nfshost.com/diachronica/search?q=k%ca%bc	◌k ◌ʼ
kː	kː	https://chridd.nfshost.com/diachronica/search?q=k%cb%90	◌k ◌ː
kʼː	kːʼ	https://chridd.nfshost.com/diachronica/search?q=k%cb%90%ca%bc	◌k ◌’ ◌ː
kˑ	kˑ	https://chridd.nfshost.com/diachronica/search?q=k%cb%91	◌k ◌ˑ
kˤ	kˤ	https://chridd.nfshost.com/diachronica/search?q=k%cb%a4	◌k ◌ˤ
kʲ	ḱ	https://chridd.nfshost.com/diachronica/search?q=k%cc%81	◌k ◌ʲ
kʲː	ḱː	https://chridd.nfshost.com/diachronica/search?q=k%cc%81%cb%90	◌k ◌ʲ ◌ː
kp	k͜p	https://chridd.nfshost.com/diachronica/search?q=k%cd%9cp	◌k ◌p
l	l	https://chridd.nfshost.com/diachronica/search?q=l	◌l
lʰ	lʰ	https://chridd.nfshost.com/diachronica/search?q=l%ca%b0	◌l ◌ʰ
lʲ	lʲ	https://chridd.nfshost.com/diachronica/search?q=l%ca%b2	◌l ◌ʲ
lʼ	lʼ	https://chridd.nfshost.com/diachronica/search?q=l%ca%bc	◌l ◌’
lː	lː	https://chridd.nfshost.com/diachronica/search?q=l%cb%90	◌l ◌ː
lʲː	lːʲ	https://chridd.nfshost.com/diachronica/search?q=l%cb%90%ca%b2	◌l ◌ʲ ◌ː
l̃	l̃	https://chridd.nfshost.com/diachronica/search?q=l%cc%83	◌l ◌̃
l̥	l̥	https://chridd.nfshost.com/diachronica/search?q=l%cc%a5	◌l ◌̥
l̩	l̩	https://chridd.nfshost.com/diachronica/search?q=l%cc%a9	◌l ◌̩
l̩ː	l̩ː	https://chridd.nfshost.com/diachronica/search?q=l%cc%a9%cb%90	◌l ◌̩ ◌ː
m	m	https://chridd.nfshost.com/diachronica/search?q=m	◌m
mʲ	mʲ	https://chridd.nfshost.com/diachronica/search?q=m%ca%b2	◌m ◌ʲ
mʷ	mʷ	https://chridd.nfshost.com/diachronica/search?q=m%ca%b7	◌m ◌ʷ
mˀ	mˀ	https://chridd.nfshost.com/diachronica/search?q=m%cb%80	◌m ◌ˀ
mː	mː	https://chridd.nfshost.com/diachronica/search?q=m%cb%90	◌m ◌ː
mˤ	mˤ	https://chridd.nfshost.com/diachronica/search?q=m%cb%a4	◌m ◌ˤ
m̥	m̥	https://chridd.nfshost.com/diachronica/search?q=m%cc%a5	◌m ◌̥
m̩	m̩	https://chridd.nfshost.com/diachronica/search?q=m%cc%a9	◌m ◌̩
n	n	https://chridd.nfshost.com/diachronica/search?q=n	◌n
nʲ	nʲ	https://chridd.nfshost.com/diachronica/search?q=n%ca%b2	◌n ◌ʲ
nˀ	nˀ	https://chridd.nfshost.com/diachronica/search?q=n%cb%80	◌n ◌ˀ
nː	nː	https://chridd.nfshost.com/diachronica/search?q=n%cb%90	◌n ◌ː
n̥	n̥	https://chridd.nfshost.com/diachronica/search?q=n%cc%a5	◌n ◌̥
n̩	n̩	https://chridd.nfshost.com/diachronica/search?q=n%cc%a9	◌n ◌̩
n̩ː	n̩ː	https://chridd.nfshost.com/diachronica/search?q=n%cc%a9%cb%90	◌n ◌̩ ◌ː
n̪	n̪	https://chridd.nfshost.com/diachronica/search?q=n%cc%aa	◌n ◌̪
n̼	n̼	https://chridd.nfshost.com/diachronica/search?q=n%cc%bc	◌n ◌̼
o	o	https://chridd.nfshost.com/diachronica/search?q=o	◌o
oː	oː	https://chridd.nfshost.com/diachronica/search?q=o%cb%90	◌o ◌ː
oːu̯	oːʷ	https://chridd.nfshost.com/diachronica/search?q=o%cb%90%ca%b7	◌o ◌ː ◌u ◌̯
ò	ò	https://chridd.nfshost.com/diachronica/search?q=o%cc%80	◌o ◌̀
ó	ó	https://chridd.nfshost.com/diachronica/search?q=o%cc%81	◌o ◌́
ô	ô	https://chridd.nfshost.com/diachronica/search?q=o%cc%82	◌o ◌̂
õ	õ	https://chridd.nfshost.com/diachronica/search?q=o%cc%83	◌o ◌̃
õː	õː	https://chridd.nfshost.com/diachronica/search?q=o%cc%83%cb%90	◌o ◌̃ ◌ː
ŏ	ŏ	https://chridd.nfshost.com/diachronica/search?q=o%cc%86	◌o ◌̆
o̯	o̯	https://chridd.nfshost.com/diachronica/search?q=o%cc%af	◌o ◌̯
o̰	o̰	https://chridd.nfshost.com/diachronica/search?q=o%cc%b0	◌o ◌̰
p	p	https://chridd.nfshost.com/diachronica/search?q=p	◌p
pʰ	pʰ	https://chridd.nfshost.com/diachronica/search?q=p%ca%b0	◌p ◌ʰ
pʲ	pʲ	https://chridd.nfshost.com/diachronica/search?q=p%ca%b2	◌p ◌ʲ
pʼʲ	pʲʼ	https://chridd.nfshost.com/diachronica/search?q=p%ca%b2%ca%bc	◌p ◌’ ◌ʲ
pʲː	pʲː	https://chridd.nfshost.com/diachronica/search?q=p%ca%b2%cb%90	◌p ◌ʲ ◌ː
pʷ	pʷ	https://chridd.nfshost.com/diachronica/search?q=p%ca%b7	◌p ◌ʷ
pʲʷ	pʷʲ	https://chridd.nfshost.com/diachronica/search?q=p%ca%b7%ca%b2	◌p ◌ʲ ◌ʷ
pʼʲʷ	pʷʲʼ	https://chridd.nfshost.com/diachronica/search?q=p%ca%b7%ca%b2%ca%bc	◌p ◌’ ◌ʲ ◌ʷ
pʼʷ	pʷʼ	https://chridd.nfshost.com/diachronica/search?q=p%ca%b7%ca%bc	◌p ◌’ ◌ʷ
pʼ	pʼ	https://chridd.nfshost.com/diachronica/search?q=p%ca%bc	◌p ◌ʼ
pː	pː	https://chridd.nfshost.com/diachronica/search?q=p%cb%90	◌p ◌ː
pˑ	pˑ	https://chridd.nfshost.com/diachronica/search?q=p%cb%91	◌p ◌ˑ
pˤ	pˤ	https://chridd.nfshost.com/diachronica/search?q=p%cb%a4	◌p ◌ˤ
pʼˤ	pˤʼ	https://chridd.nfshost.com/diachronica/search?q=p%cb%a4%ca%bc	◌p ◌’ ◌ˤ
pˤː	pˤː	https://chridd.nfshost.com/diachronica/search?q=p%cb%a4%cb%90	◌p ◌ˤ ◌ː
q	q	https://chridd.nfshost.com/diachronica/search?q=q	◌q
qʰ	qʰ	https://chridd.nfshost.com/diachronica/search?q=q%ca%b0	◌q ◌ʰ
qʲ	qʲ	https://chridd.nfshost.com/diachronica/search?q=q%ca%b2	◌q ◌ʲ
qʲʷ	qʲʷ	https://chridd.nfshost.com/diachronica/search?q=q%ca%b2%ca%b7	◌q ◌ʲ ◌ʷ
qʼʲʷ	qʲʷʼ	https://chridd.nfshost.com/diachronica/search?q=q%ca%b2%ca%b7%ca%bc	◌q ◌’ ◌ʲ ◌ʷ
qʲʷː	qʲʷː	https://chridd.nfshost.com/diachronica/search?q=q%ca%b2%ca%b7%cb%90	◌q ◌ʲ ◌ʷ ◌ː
qʼʲ	qʲʼ	https://chridd.nfshost.com/diachronica/search?q=q%ca%b2%ca%bc	◌q ◌’ ◌ʲ
qʲː	qʲː	https://chridd.nfshost.com/diachronica/search?q=q%ca%b2%cb%90	◌q ◌ʲ ◌ː
qʼʲː	qʲːʼ	https://chridd.nfshost.com/diachronica/search?q=q%ca%b2%cb%90%ca%bc	◌q ◌’ ◌ʲ ◌ː
qʷ	qʷ	https://chridd.nfshost.com/diachronica/search?q=q%ca%b7	◌q ◌ʷ
qʲʷ	qʷʲ	https://chridd.nfshost.com/diachronica/search?q=q%ca%b7%ca%b2	◌q ◌ʲ ◌ʷ
qʼʲʷ	qʷʲʼ	https://chridd.nfshost.com/diachronica/search?q=q%ca%b7%ca%b2%ca%bc	◌q ◌’ ◌ʲ ◌ʷ
qʼʷ	qʷʼ	https://chridd.nfshost.com/diachronica/search?q=q%ca%b7%ca%bc	◌q ◌ʼ ◌ʷ
qʷː	qʷː	https://chridd.nfshost.com/diachronica/search?q=q%ca%b7%cb%90	◌q ◌ʷ ◌ː
qʼ	qʼ	https://chridd.nfshost.com/diachronica/search?q=q%ca%bc	◌q ◌ʼ
qʼʷ	qʼʷ	https://chridd.nfshost.com/diachronica/search?q=q%ca%bc%ca%b7	◌q ◌ʼ ◌ʷ
qʼː	qʼː	https://chridd.nfshost.com/diachronica/search?q=q%ca%bc%cb%90	◌q ◌’ ◌ː
qː	qː	https://chridd.nfshost.com/diachronica/search?q=q%cb%90	◌q ◌ː
qʼː	qːʼ	https://chridd.nfshost.com/diachronica/search?q=q%cb%90%ca%bc	◌q ◌’ ◌ː
qˤ	qˤ	https://chridd.nfshost.com/diachronica/search?q=q%cb%a4	◌q ◌ˤ
qʲˤ	qˤʲ	https://chridd.nfshost.com/diachronica/search?q=q%cb%a4%ca%b2	◌q ◌ʲ ◌ˤ
qʲʷˤ	qˤʲʷ	https://chridd.nfshost.com/diachronica/search?q=q%cb%a4%ca%b2%ca%b7	◌q ◌ʲ ◌ʷ ◌ˤ
qʲʷˤː	qˤʲʷː	https://chridd.nfshost.com/diachronica/search?q=q%cb%a4%ca%b2%ca%b7%cb%90	◌q ◌ʲ ◌ʷ ◌ˤ ◌ː
qʼʲˤ	qˤʲʼ	https://chridd.nfshost.com/diachronica/search?q=q%cb%a4%ca%b2%ca%bc	◌q ◌’ ◌ʲ ◌ˤ
qʲˤː	qˤʲː	https://chridd.nfshost.com/diachronica/search?q=q%cb%a4%ca%b2%cb%90	◌q ◌ʲ ◌ˤ ◌ː
qʷˤ	qˤʷ	https://chridd.nfshost.com/diachronica/search?q=q%cb%a4%ca%b7	◌q ◌ʷ ◌ˤ
qʲʷˤ	qˤʷʲ	https://chridd.nfshost.com/diachronica/search?q=q%cb%a4%ca%b7%ca%b2	◌q ◌ʲ ◌ʷ ◌ˤ
qʼʲʷˤ	qˤʷʲʼ	https://chridd.nfshost.com/diachronica/search?q=q%cb%a4%ca%b7%ca%b2%ca%bc	◌q ◌’ ◌ʲ ◌ʷ ◌ˤ
qʼʷˤ	qˤʷʼ	https://chridd.nfshost.com/diachronica/search?q=q%cb%a4%ca%b7%ca%bc	◌q ◌’ ◌ʷ ◌ˤ
qʷˤː	qˤʷː	https://chridd.nfshost.com/diachronica/search?q=q%cb%a4%ca%b7%cb%90	◌q ◌ʷ ◌ˤ ◌ː
qʼˤ	qˤʼ	https://chridd.nfshost.com/diachronica/search?q=q%cb%a4%ca%bc	◌q ◌’ ◌ˤ
qˤː	qˤː	https://chridd.nfshost.com/diachronica/search?q=q%cb%a4%cb%90	◌q ◌ˤ ◌ː
q	q͜	https://chridd.nfshost.com/diachronica/search?q=q%cd%9c	◌q
q	q͡	https://chridd.nfshost.com/diachronica/search?q=q%cd%a1	◌q
qχ	q͡χ	https://chridd.nfshost.com/diachronica/search?q=q%cd%a1%cf%87	◌q ◌χ
r	r	https://chridd.nfshost.com/diachronica/search?q=r	◌r
rʰ	rʰ	https://chridd.nfshost.com/diachronica/search?q=r%ca%b0	◌r ◌ʰ
rʲ	rʲ	https://chridd.nfshost.com/diachronica/search?q=r%ca%b2	◌r ◌ʲ
rː	rː	https://chridd.nfshost.com/diachronica/search?q=r%cb%90	◌r ◌ː
rʲː	rːʲ	https://chridd.nfshost.com/diachronica/search?q=r%cb%90%ca%b2	◌r ◌ʲ ◌ː
r̝	r̝	https://chridd.nfshost.com/diachronica/search?q=r%cc%9d	◌r ◌̝
r̝̥	r̝̊	https://chridd.nfshost.com/diachronica/search?q=r%cc%9d%cc%8a	◌r ◌̝ ◌̥
r̥	r̥	https://chridd.nfshost.com/diachronica/search?q=r%cc%a5	◌r ◌̥
r̩	r̩	https://chridd.nfshost.com/diachronica/search?q=r%cc%a9	◌r ◌̩
r̩ː	r̩ː	https://chridd.nfshost.com/diachronica/search?q=r%cc%a9%cb%90	◌r ◌̩ ◌ː
s	s	https://chridd.nfshost.com/diachronica/search?q=s	◌s
sʰ	sʰ	https://chridd.nfshost.com/diachronica/search?q=s%ca%b0	◌s ◌ʰ
sʲ	sʲ	https://chridd.nfshost.com/diachronica/search?q=s%ca%b2	◌s ◌ʲ
sʲʷ	sʲʷ	https://chridd.nfshost.com/diachronica/search?q=s%ca%b2%ca%b7	◌s ◌ʲ ◌ʷ
sʲʷː	sʲʷː	https://chridd.nfshost.com/diachronica/search?q=s%ca%b2%ca%b7%cb%90	◌s ◌ʲ ◌ʷ ◌ː
