BIPA	TYPE	GRAPHEME	GRAPHEME_IN_CLDF	SYMBOLS
ɢ	Consonant	ɢ	ɢ	◌ɢ
ɣ	Consonant	ɣ	ɣ	◌ɣ
ɣ̞	Consonant	ɣ̞	ɣ̞/	◌ɣ ◌̞
ɤ	Vowel	ɤ	ɤ	◌ɤ
ɤː	Vowel	ɤː	ɤː	◌ɤ ◌ː
ɦ	Consonant	ɦ	ɦ	◌ɦ
ɦ	Consonant	ɦ	ɦ/	◌ɦ
ɨ	Vowel	ɨ	ɨ	◌ɨ
ɨa	Diphtong	ɨa	ɨa	◌ɨ ◌a
ɨi	Diphtong	ɨi	ɨi	◌ɨ ◌i
ɨo	Diphtong	ɨo	ɨo	◌ɨ ◌o
ɨu	Diphtong	ɨu	ɨu	◌ɨ ◌u
ɨə	Diphtong	ɨə	ɨə	◌ɨ ◌ə
ɨə̰	Diphtong	ɨə̰	ɨə̰	◌ɨ ◌ə ◌̰
ɨː	Vowel	ɨː	ɨː	◌ɨ ◌ː
ɨ̰	Vowel	ɨ̰	ɨ̰	◌ɨ ◌̰
ɪ	Vowel	ɪ	/ɪ	◌ɪ
ɪ	Vowel	ɪ	ɪ	◌ɪ
ɪa	Vowel_sequence	ɪa	ɪa	◌ɪ ◌a
ɪe	Diphtong	ɪe	ɪe	◌ɪ ◌e
ɪː	Vowel_sequence	ɪɪ	ɪɪ	◌ɪ ◌ː
ɪː	Vowel	ɪː	ɪː	◌ɪ ◌ː
ɬ	Consonant	ɬ	ɬ	◌ɬ
ɬ	Consonant	ɬ	ɬ/	◌ɬ
ɬʲ	Consonant	ɬʲ	ɬʲ	◌ɬ ◌ʲ
ɬʼ	Consonant	ɬ’	ɬ’	◌ɬ ◌ʼ
ɬː	Consonant	ɬː	ɬː	◌ɬ ◌ː
ɬ̪	Consonant	ɬ̪	ɬ̪	◌ɬ ◌̪
ɭ	Consonant	ɭ	ɭ	◌ɭ
ɮ	Consonant	ɮ	ɮ	◌ɮ
ɯ	Vowel	ɯ	ɯ	◌ɯ
ɯ	Vowel	ɯ	ɯ/	◌ɯ
ɯa	Diphtong	ɯa	ɯa/	◌ɯ ◌a
ɯː	Vowel	ɯː	ɯː	◌ɯ ◌ː
ɯ̥	Vowel	ɯ̥	ɯ̥	◌ɯ ◌̥
ɰ	Consonant	ɰ	ɰ	◌ɰ
ɰ	Consonant	ɰ	ɰ/	◌ɰ
ɰ̟	Consonant	ɰ̟	ɰ̟	◌ɰ ◌̟
ɰʼ	Consonant	ɰ’	ɰ’	◌ɰ ◌’
ɲ	Consonant	ɲ	ɲ	◌ɲ
ɲʰ	Consonant	ɲʰ	ɲʰ	◌ɲ ◌ʰ
ɲː	Geminate	ɲː	ɲː	◌ɲ ◌ː
ɲː	Consonant	ɲː	ɲː	◌ɲ ◌ː
ɳ	Consonant	ɳ	ɳ	◌ɳ
ɴ	Consonant	ɴ	ɴ	◌ɴ
ɴː	Geminate	ɴː	/ɴː/,	◌ɴ ◌ː
ɵ	Vowel	ɵ	ɵ	◌ɵ
ɸ	Consonant	ɸ	ɸ	◌ɸ
ɹ	Consonant	ɹ	ɹ	◌ɹ
ɹ̪	Consonant	ð̞	ð̞	◌ɹ ◌̪
ɹ̪ʼ	Consonant	ð̞’	ð̞’	◌ɹ ◌̪ ◌’
ɺ	Consonant	ɺ	ɺ	◌ɺ
ɻ	Consonant	ɻ	ɻ	◌ɻ
ɽ	Consonant	ɽ	ɽ/	◌ɽ
ɽ	Consonant	ɽ	ɽ	◌ɽ
ɾ	Consonant	ɾ	ɾ/	◌ɾ
ɾ	Consonant	ɾ	ɾ	◌ɾ
ɾˀ	Consonant	ɾ\textsuperscript{ʔ}	ɾ\textsuperscript{ʔ}	◌ɾ ◌ˀ
ɾˀ	Geminate	ɾ\textsuperscript{ʔ}ː	ɾ\textsuperscript{ʔ}ː	◌ɾ ◌ˀ
ɾ̪	Consonant	ɾ̪	ɾ̪	◌ɾ ◌̪
ʁ	Consonant	ʁ	ʁ	◌ʁ
ʁʷ	Consonant	ʁʷ	ʁʷ	◌ʁ ◌ʷ
ʁʷː	Geminate	ʁʷː	ʁʷː	◌ʁ ◌ʷ ◌ː
ʁː	Geminate	ʁː	ʁː	◌ʁ ◌ː
ʂ	Consonant	ʂ	ʂ	◌ʂ
ʃ	Consonant	ʃ	ʃ	◌ʃ
ʃː	Geminate	ʃː	ʃː	◌ʃ ◌ː
ʄ	Consonant	ʄ	ʄ	◌ʄ
ʈ	Consonant	ʈ	ʈ	◌ʈ
ʈʂ	Consonant	t͡ʂ	t͡ʂ	◌ʈ ◌ʂ
ʈʂ	Consonant	ʈ͡ʂ	ʈ͡ʂ	◌ʈ ◌ʂ
ʈʂʰ	Consonant	t͡ʂʰ	t͡ʂʰ	◌ʈ ◌ʂ ◌ʰ
ʈʂʰ	Consonant	ʈ͡ʂʰ	ʈ͡ʂʰ	◌ʈ ◌ʂ ◌ʰ
ʈʂʼ	Consonant	ʈ͡ʂ’	ʈ͡ʂ’	◌ʈ ◌ʂ ◌’
ʈʰ	Consonant	ʈʰ	ʈʰ	◌ʈ ◌ʰ
ʈⁿ	Consonant	ʈ\textsuperscript{ɳ}	ʈ\textsuperscript{ɳ}	◌ʈ ◌ⁿ
ʉ	Vowel	ʉ	ʉ	◌ʉ
ʉː	Vowel_sequence	ʉʉ	ʉʉ	◌ʉ ◌ː
ʊ	Vowel	ʊ	ʊ	◌ʊ
ʊ	Vowel	ʊ/	ʊ/	◌ʊ
ʊa	Vowel_sequence	ʊa	ʊa	◌ʊ ◌a
ʊː	Vowel_sequence	ʊʊ	ʊʊ	◌ʊ ◌ː
ʊː	Vowel	ʊː	ʊː	◌ʊ ◌ː
ʋ	Consonant	ʋ	ʋ	◌ʋ
ʌ	Vowel	ʌ	ʌ	◌ʌ
ʌi	Diphtong	ʌi	/ʌi	◌ʌ ◌i
ʌu	Diphtong	ʌu	ʌu/	◌ʌ ◌u
ʌː	Vowel	ʌː	ʌː	◌ʌ ◌ː
ʎ	Consonant	ʎ	ʎ	◌ʎ
ʏ	Vowel	ʏ	ʏ	◌ʏ
ʐ	Consonant	ʐ	ʐ	◌ʐ
ʑ	Consonant	ʑ	ʑ	◌ʑ
ʒ	Consonant	ʒ	ʒ	◌ʒ
ʒː	Geminate	ʒː	ʒː	◌ʒ ◌ː
ʒː	Consonant	ʒː	ʒː	◌ʒ ◌ː
ʒˤː	Geminate	ʒːˤ	ʒːˤ	◌ʒ ◌ˤ ◌ː
ʔ	Consonant	ʔ	ʔ	◌ʔ
ʔʷ	Consonant	ʔw	ʔw/	◌ʔ ◌ʷ
ʔʷ	Consonant	ʔʷ	ʔʷ	◌ʔ ◌ʷ
ʔː	Geminate	ʔː	ʔː	◌ʔ ◌ː
ʕ	Consonant	ʕ	ʕ	◌ʕ
ʜ	Consonant	ʜ	ʜ	◌ʜ
ʜː	Geminate	ʜː	ʜː	◌ʜ ◌ː
ʝ	Consonant	ʝ	ʝ	◌ʝ
ʟ	Consonant	ʟ	ʟ	◌ʟ
ʢ	Consonant	ʢ	ʢ	◌ʢ
ʢʷ	Consonant	ʢʷ	ʢʷ	◌ʢ ◌ʷ
ʢː	Geminate	ʢː	ʢː	◌ʢ ◌ː
ʢʼ	Consonant	ʢ’	ʢ’	◌ʢ ◌’
ʢʼʷ	Consonant	ʢ’ʷ	ʢ’ʷ/	◌ʢ ◌’ ◌ʷ
β	Consonant	β	β	◌β
β̞	Consonant	β̞	β̞	◌β ◌̞
θ	Consonant	θ	θ	◌θ
χ	Consonant	χ	χ	◌χ
χʷ	Consonant	χʷ	χʷ	◌χ ◌ʷ
χʷː	Geminate	χʷː	χʷː	◌χ ◌ʷ ◌ː
χː	Geminate	χː	χː	◌χ ◌ː
χː	Consonant	χː	χː	◌χ ◌ː
ⁿb	Consonant	\textsuperscript{m}b	/\textsuperscript{m}b	◌ⁿ ◌b
ⁿb	Consonant	ᵐb	\textsuperscript{m}b	◌ⁿ ◌b
ⁿd	Consonant	ⁿd	\textsuperscript{n}d	◌ⁿ ◌d
ⁿdz	Consonant	ⁿd͡z	\textsuperscript{n}d͡z	◌ⁿ ◌d ◌z
ⁿdʑ	Consonant	\textsuperscript{ɲ}d͡ʑ	\textsuperscript{ɲ}d͡ʑ	◌ⁿ ◌d ◌ʑ
ⁿdʒ	Consonant	\textsuperscript{ɲ}d͡ʒ	\textsuperscript{ɲ}d͡ʒ	◌ⁿ ◌d ◌ʒ
ⁿdʲ	Consonant	ⁿdʲ	\textsuperscript{n}dʲ	◌ⁿ ◌d ◌ʲ
ⁿdʷ	Consonant	ⁿdʷ	\textsuperscript{n}dʷ	◌ⁿ ◌d ◌ʷ
ⁿd̪	Consonant	\textsuperscript{n̪}d̪	\textsuperscript{n̪}d̪	◌ⁿ ◌d ◌̪
ⁿd̪	Consonant	ⁿd̪	\textsuperscript{n}d̪	◌ⁿ ◌d ◌̪
ⁿg	Consonant	ᵑɡ	\textsuperscript{ŋ}ɡ	◌ⁿ ◌g
ⁿgb	Consonant	\textsuperscript{ŋ͡m}ɡ͡b	\textsuperscript{ŋ͡m}ɡ͡b	◌ⁿ ◌g ◌b
ⁿgʷ	Consonant	ᵑɡʷ	\textsuperscript{ŋ}ɡʷ	◌ⁿ ◌g ◌ʷ
ⁿk	Consonant	ᵑk	\textsuperscript{ŋ}k	◌ⁿ ◌k
ⁿkʰ	Consonant	ᵑkʰ	\textsuperscript{ŋ}kʰ	◌ⁿ ◌k ◌ʰ
ⁿp	Consonant	ᵐp	\textsuperscript{m}p	◌ⁿ ◌p
ⁿpʰ	Consonant	ᵐpʰ	\textsuperscript{m}pʰ	◌ⁿ ◌p ◌ʰ
ⁿs	Consonant	ⁿs	\textsuperscript{n}s	◌ⁿ ◌s
ⁿts	Consonant	ⁿt͡s	\textsuperscript{n}t͡s	◌ⁿ ◌t ◌s
ⁿtʰ	Consonant	ⁿtʰ	\textsuperscript{n}tʰ	◌ⁿ ◌t ◌ʰ
ⁿt̪	Consonant	ⁿt̪	\textsuperscript{n}t̪	◌ⁿ ◌t ◌̪
ⁿv	Consonant	\textsuperscript{ɱ}v	\textsuperscript{ɱ}v	◌ⁿ ◌v
ⁿɖʐ	Consonant	\textsuperscript{ɳ}ɖ͡ʐ	\textsuperscript{ɳ}ɖ͡ʐ	◌ⁿ ◌ɖ ◌ʐ
ⁿɟ	Consonant	\textsuperscript{ɲ}ɟ	\textsuperscript{ɲ}ɟ	◌ⁿ ◌ɟ
ⁿɢ	Consonant	\textsuperscript{ɴ}ɢ	\textsuperscript{ɴ}ɢ	◌ⁿ ◌ɢ
