BIPA_GRAPHEME	CLTS_NAME	GENERATED	EXPLICIT	GRAPHEME	SYMBOLS	URL	LATEX	FEATURES	SOUND	IMAGE	COUNT	NOTE
æ̃	nasalized unrounded near-open front vowel		+	æ̃	◌æ ◌̃		\textipa{\~\ae}	empty:vowel:−high +low −back −round +voice +nasal −spread glottis −constricted glottis				
æ̃ː	long nasalized unrounded near-open front vowel		+	æ̃ː	◌æ ◌̃ ◌ː		\textipa{\~\ae}\textlengthmark	empty:vowel:−high +low −back −round +voice +nasal −spread glottis −constricted glottis				
æ̥̃	nasalized devoiced unrounded near-open front vowel	+	+	æ̥̃	◌æ ◌̥ ◌̃		*\textipa{\~\ae}	empty:vowel:−high +low −back −round −voice +nasal −spread glottis −constricted glottis				
æ̥̃ː	long nasalized devoiced unrounded near-open front vowel	+	+	æ̥̃ː	◌æ ◌̥ ◌̃ ◌ː		*\textipa{\~\ae}\textlengthmark	empty:vowel:−high +low −back −round −voice +nasal −spread glottis −constricted glottis				
æ̥	devoiced unrounded near-open front vowel	+	+	æ̥	◌æ ◌̥		*\ae	empty:vowel:−high +low −back −round −voice −nasal −spread glottis −constricted glottis				
æ̥ː	long devoiced unrounded near-open front vowel	+	+	æ̥ː	◌æ ◌̥ ◌ː		*\ae\textlengthmark	empty:vowel:−high +low −back −round −voice −nasal −spread glottis −constricted glottis				
æ̯	non-syllabic unrounded near-open front vowel	+	+	æ̯	◌æ ◌̯		\textroundcap{\ae}	empty:vowel:−high +low −back −round +voice −nasal −spread glottis −constricted glottis				
æ̯ː	long non-syllabic unrounded near-open front vowel	+	+	æ̯ː	◌æ ◌̯ ◌ː		\textroundcap{\ae}\textlengthmark	empty:vowel:−high +low −back −round +voice −nasal −spread glottis −constricted glottis				
æ̯̃	non-syllabic nasalized unrounded near-open front vowel	+	+	æ̯̃	◌æ ◌̯ ◌̃		\textipa{\~\textroundcap{\ae}}	empty:vowel:−high +low −back −round +voice +nasal −spread glottis −constricted glottis				
æ̯̃ː	long non-syllabic nasalized unrounded near-open front vowel	+	+	æ̯̃ː	◌æ ◌̯ ◌̃ ◌ː		\textipa{\~\textroundcap{\ae}}\textlengthmark	empty:vowel:−high +low −back −round +voice +nasal −spread glottis −constricted glottis				
æ̥̯̃	non-syllabic nasalized devoiced unrounded near-open front vowel	+	+	æ̯̥̃	◌æ ◌̥ ◌̯ ◌̃		*\textipa{\~\textroundcap{\ae}}	empty:vowel:−high +low −back −round −voice +nasal −spread glottis −constricted glottis				
æ̥̯̃ː	long non-syllabic nasalized devoiced unrounded near-open front vowel	+	+	æ̯̥̃ː	◌æ ◌̥ ◌̯ ◌̃ ◌ː		*\textipa{\~\textroundcap{\ae}}\textlengthmark	empty:vowel:−high +low −back −round −voice +nasal −spread glottis −constricted glottis				
æ̥̯	non-syllabic devoiced unrounded near-open front vowel	+	+	æ̯̥	◌æ ◌̥ ◌̯		*\textroundcap{\ae}	empty:vowel:−high +low −back −round −voice −nasal −spread glottis −constricted glottis				
æ̥̯ː	long non-syllabic devoiced unrounded near-open front vowel	+	+	æ̯̥ː	◌æ ◌̥ ◌̯ ◌ː		*\textroundcap{\ae}\textlengthmark	empty:vowel:−high +low −back −round −voice −nasal −spread glottis −constricted glottis				
ç	voiceless palatal sibilant fricative consonant		+	ç	◌c ◌̧		\c{c}	palatal:fricative:−voice				
çʲ	palatalized voiceless palatal sibilant fricative consonant	+	+	çʲ	◌c ◌̧ ◌ʲ		\c{c}\super j	palatal:fricative:−voice				
çʲː	palatalized long voiceless palatal sibilant fricative consonant	+	+	çʲː	◌c ◌̧ ◌ʲ ◌ː		\c{c}\super j\textlengthmark	palatal:fricative:−voice				
çʷ	labialized voiceless palatal sibilant fricative consonant	+	+	çʷ	◌c ◌̧ ◌ʷ		\c{c}\super w	palatal, labial:fricative:−voice				
çʷː	labialized long voiceless palatal sibilant fricative consonant	+	+	çʷː	◌c ◌̧ ◌ʷ ◌ː		\c{c}\super w\textlengthmark	palatal, labial:fricative:−voice				
çː	long voiceless palatal sibilant fricative consonant	+	+	çː	◌c ◌̧ ◌ː		\c{c}\textlengthmark	palatal:fricative:−voice				
ç̩	syllabic voiceless palatal sibilant fricative consonant	+	+	ç̩	◌c ◌̧ ◌̩		\textipa{\s{\c{c}}}	palatal:fricative:−voice +syllabic				
ç̩ʲ	syllabic palatalized voiceless palatal sibilant fricative consonant	+	+	ç̩ʲ	◌c ◌̧ ◌̩ ◌ʲ		\textipa{\s{\c{c}}}\super j	palatal:fricative:−voice +syllabic				
ç̩ʲː	syllabic palatalized long voiceless palatal sibilant fricative consonant	+	+	ç̩ʲː	◌c ◌̧ ◌̩ ◌ʲ ◌ː		\textipa{\s{\c{c}}}\super j\textlengthmark	palatal:fricative:−voice +syllabic				
ç̩ʷ	syllabic labialized voiceless palatal sibilant fricative consonant	+	+	ç̩ʷ	◌c ◌̧ ◌̩ ◌ʷ		\textipa{\s{\c{c}}}\super w	palatal, labial:fricative:−voice +syllabic				
ç̩ʷː	syllabic labialized long voiceless palatal sibilant fricative consonant	+	+	ç̩ʷː	◌c ◌̧ ◌̩ ◌ʷ ◌ː		\textipa{\s{\c{c}}}\super w\textlengthmark	palatal, labial:fricative:−voice +syllabic				
ç̩ː	syllabic long voiceless palatal sibilant fricative consonant	+	+	ç̩ː	◌c ◌̧ ◌̩ ◌ː		\textipa{\s{\c{c}}}\textlengthmark	palatal:fricative:−voice +syllabic				
ð	voiced dental fricative consonant		+	ð	◌ð		\textipa{D}	dental:fricative:+voice				
ðʲ	palatalized voiced dental fricative consonant	+	+	ðʲ	◌ð ◌ʲ		\textipa{D}\super j	dental, palatal:fricative:+voice				
ðʲː	palatalized long voiced dental fricative consonant	+	+	ðʲː	◌ð ◌ʲ ◌ː		\textipa{D}\super j\textlengthmark	dental, palatal:fricative:+voice				
ðʷ	labialized voiced dental fricative consonant	+	+	ðʷ	◌ð ◌ʷ		\textipa{D}\super w	dental, labial:fricative:+voice				
ðʷː	labialized long voiced dental fricative consonant	+	+	ðʷː	◌ð ◌ʷ ◌ː		\textipa{D}\super w\textlengthmark	dental, labial:fricative:+voice				
ðː	long voiced dental fricative consonant		+	ðː	◌ð ◌ː		\textipa{D}\textlengthmark	dental:fricative:+voice				
