BIPA_GRAPHEME	CLTS_NAME	GENERATED	EXPLICIT	GRAPHEME	SYMBOLS	URL	LATEX	FEATURES	SOUND	IMAGE	COUNT	NOTE
ɖʐ̥	devoiced voiced retroflex sibilant affricate consonant	+	+	ɖ̥ʐ̥	◌ɖ ◌ʐ ◌̥	http://eurasianphonology.info/search_exact?dialects=True&query=%C9%96%CC%A5%CA%90%CC%A5					1	
ɖʐ̻	voiced laminal retroflex sibilant affricate consonant	+	+	ɖ̻ʐ̻	◌ɖ ◌ʐ ◌̻	http://eurasianphonology.info/search_exact?dialects=True&query=%C9%96%CC%BB%CA%90%CC%BB					1	
ɖʰ	aspirated voiced retroflex stop consonant	+	+	ɖʰ	◌ɖ ◌ʰ	http://eurasianphonology.info/search_exact?dialects=True&query=%C9%96%CA%B0					19	
ɖʱ	breathy voiced retroflex stop consonant		+	ɖʱ	◌ɖ ◌ʱ	http://eurasianphonology.info/search_exact?dialects=True&query=%C9%96%CA%B1					3	
ɖʱ	breathy voiced retroflex stop consonant		+	ɖ̤ʱ	◌ɖ ◌ʱ	http://eurasianphonology.info/search_exact?dialects=True&query=%C9%96%CC%A4%CA%B1					3	
ɖʲ	palatalized voiced retroflex stop consonant	+	+	ɖʲ	◌ɖ ◌ʲ	http://eurasianphonology.info/search_exact?dialects=True&query=%C9%96%CA%B2					1	
ɖʳ	with-trilled-release voiced retroflex stop consonant	+	+	ɖɽ	◌ɖ ◌ʳ	http://eurasianphonology.info/search_exact?dialects=True&query=%C9%96%C9%BD					1	
ɖː	long voiced retroflex stop consonant	+	+	ɖː	◌ɖ ◌ː	http://eurasianphonology.info/search_exact?dialects=True&query=%C9%96%CB%90					1	
ɗ	voiced dental implosive consonant		+	ɗ	◌ɗ	http://eurasianphonology.info/search_exact?dialects=True&query=%C9%97					4	
ɘ	unrounded close-mid central vowel		+	ɘ	◌ɘ	http://eurasianphonology.info/search_exact?dialects=True&query=%C9%98					5	
ɘi	from unrounded close-mid central to unrounded close front diphthong	+	+	ɘi	◌ɘ ◌i	http://eurasianphonology.info/search_exact?dialects=True&query=%C9%98i					1	
ɘy	from unrounded close-mid central to rounded close front diphthong	+	+	ɘy	◌ɘ ◌y	http://eurasianphonology.info/search_exact?dialects=True&query=%C9%98y					1	
ɘː	long unrounded close-mid central vowel		+	ɘː	◌ɘ ◌ː	http://eurasianphonology.info/search_exact?dialects=True&query=%C9%98%CB%90					3	
ɘ˞	rhotacized unrounded close-mid central vowel	+	+	ɘ˞	◌ɘ ◌˞	http://eurasianphonology.info/search_exact?dialects=True&query=%C9%98%CB%9E					1	
