BIPA_GRAPHEME	CLTS_NAME	GENERATED	EXPLICIT	GRAPHEME	URL	LATEX	FEATURES	SOUND	IMAGE	COUNT	NOTE
ˀt	pre-glottalized voiceless alveolar stop consonant	+	+	ʔt						1	
ⁿb	pre-nasalized voiced bilabial stop consonant		+	mb						14	
ⁿbʷ	pre-nasalized labialized voiced bilabial stop consonant	+	+	mbʷ						1	
ⁿc	pre-nasalized voiceless palatal stop consonant	+	+	ɲc						1	
ⁿd	pre-nasalized voiced alveolar stop consonant		+	nd						15	
ⁿdz	pre-nasalized voiced alveolar sibilant affricate consonant	+	+	ndz						1	
ⁿdʑ	pre-nasalized voiced alveolo-palatal sibilant affricate consonant	+	+	ndʑ						1	
ⁿdʒ	pre-nasalized voiced post-alveolar affricate consonant		+	nd̠ʒ						1	
ⁿg	pre-nasalized voiced velar stop consonant		+	ŋɡ						13	
ⁿgʷ	pre-nasalized labialized voiced velar stop consonant	+	+	ŋɡʷ						2	
ⁿk	pre-nasalized voiceless velar stop consonant		+	ŋk						3	
ⁿkʰ	pre-nasalized aspirated voiceless velar stop consonant	+	+	ŋkʰ						1	
ⁿm	pre-nasalized voiced bilabial nasal consonant	+	+	ŋm						3	
ⁿp	pre-nasalized voiceless bilabial stop consonant		+	mp						3	
ⁿpʰ	pre-nasalized aspirated voiceless bilabial stop consonant	+	+	mph						1	
ⁿs	pre-nasalized voiceless alveolar sibilant fricative consonant	+	+	ns						2	
ⁿt	pre-nasalized voiceless alveolar stop consonant		+	nt						3	
ⁿts	pre-nasalized voiceless alveolar sibilant affricate consonant	+	+	nts						1	
ⁿtʃ	pre-nasalized voiceless post-alveolar sibilant affricate consonant		+	nt̠ʃ						1	
ⁿtʰ	pre-nasalized aspirated voiceless alveolar stop consonant	+	+	nth						1	
ⁿz	pre-nasalized voiced alveolar sibilant fricative consonant	+	+	nz						2	
ⁿð	pre-nasalized voiced dental fricative consonant	+	+	nð						1	
ⁿǀ	pre-nasalized voiceless dental click consonant	+	+	n̥ǀ						1	
ⁿǁ	pre-nasalized voiceless lateral click consonant	+	+	n̥ǁ						1	
ⁿǂ	pre-nasalized voiceless palatal click consonant	+	+	nǂ						1	
ⁿǂ	pre-nasalized voiceless palatal click consonant	+	+	n̥ǂ						1	
ⁿǃ	pre-nasalized voiceless alveolar click consonant	+	+	nǃ						1	
ⁿǃ	pre-nasalized voiceless alveolar click consonant	+	+	n̥ǃ						1	
ⁿɖ	pre-nasalized voiced retroflex stop consonant	+	+	ɳɖ						1	
ⁿɖʐ	pre-nasalized voiced retroflex sibilant affricate consonant	+	+	ndʐ						1	
ⁿɟ	pre-nasalized voiced palatal stop consonant		+	ɲɟ						4	
ⁿɟ̟	advanced pre-nasalized voiced palatal stop consonant	+	+	nɟ̟						1	
<NA>	<NA>		+	-						1	
<NA>	<NA>		+	K						1	
<NA>	<NA>		+	L						3	
<NA>	<NA>		+	N						1	
<NA>	<NA>		+	NA						14	
<NA>	<NA>		+	R						4	
<NA>	<NA>		+	W						1	
ai̯	from unrounded open front to non-syllabic unrounded close front diphthong	+	+	aj						2	
au̯	from unrounded open front to non-syllabic rounded close back diphthong	+	+	aw						2	
<NA>	<NA>		+	aɰ						2	
aːi̯	from long unrounded open front to non-syllabic unrounded close front diphthong	+	+	aːj						1	
aːu̯	from long unrounded open front to non-syllabic rounded close back diphthong	+	+	aːw						1	
<NA>	<NA>		+	creak						1	
<NA>	<NA>		+	c͇						1	
<NA>	<NA>		+	dy						1	
dʒ	voiced post-alveolar sibilant affricate consonant		+	dʓ						6	
dʒʱ	breathy voiced post-alveolar sibilant affricate consonant		+	dʓʱ						1	
dð	voiced dental affricate consonant		+	d̪ð̪						1	
ei̯	from unrounded close-mid front to non-syllabic unrounded close front diphthong	+	+	ej						1	
eu̯	from unrounded close-mid front to non-syllabic rounded close back diphthong	+	+	ew						2	
<NA>	<NA>		+	h1						1	
<NA>	<NA>		+	h2						1	
<NA>	<NA>		+	h3						1	
<NA>	<NA>		+	hy						1	
i̯a	from non-syllabic unrounded close front to unrounded open front diphthong	+	+	ja						1	
i̯e	from non-syllabic unrounded close front to unrounded close-mid front diphthong	+	+	je						1	
i̯ẽ	from non-syllabic unrounded close front to nasalized unrounded close-mid front diphthong	+	+	jẽ						1	
<NA>	<NA>		+	ky						1	
<NA>	<NA>		+	k​						1	
<NA>	<NA>		+	k​ʷ​						2	
<NA>	<NA>		+	ly						1	
<NA>	<NA>		+	ndr						1	
ⁿtsʰ	pre-nasalized aspirated voiceless alveolar sibilant affricate consonant	+	+	ntsh						1	
ⁿtɕʰ	pre-nasalized aspirated voiceless alveolo-palatal sibilant affricate consonant	+	+	ntɕh						1	
ⁿʈʂʰ	pre-nasalized aspirated voiceless retroflex sibilant affricate consonant	+	+	ntʂh						1	
ou̯	from rounded close-mid back to non-syllabic rounded close back diphthong	+	+	ow						1	
<NA>	<NA>		+	p​						1	
<NA>	<NA>		+	p​ʰ​						1	
<NA>	<NA>		+	r ̩						1	
<NA>	<NA>		+	rdy						1	
<NA>	<NA>		+	re						1	
<NA>	<NA>		+	ri						1	
<NA>	<NA>		+	riu						1	
<NA>	<NA>		+	ro						1	
<NA>	<NA>		+	ru						1	
<NA>	<NA>		+	ræ						1	
<NA>	<NA>		+	rɑ						1	
<NA>	<NA>		+	rɡ						1	
sʲ	palatalized voiceless alveolar sibilant fricative consonant		+	sʲ​						1	
<NA>	<NA>		+	t2						1	
<NA>	<NA>		+	ty						1	
<NA>	<NA>		+	tç						1	
tθ’	voiceless dental ejective affricate consonant	+	+	t̪θ̪ʼ						1	
<NA>	<NA>		+	t​ʰ​						1	
ui̯	from rounded close back to non-syllabic unrounded close front diphthong	+	+	uj						1	
<NA>	<NA>		+	wE						1	
<NA>	<NA>		+	waj						1	
<NA>	<NA>		+	waːj						1	
<NA>	<NA>		+	wo						1	
<NA>	<NA>		+	wæ						1	
<NA>	<NA>		+	wõ						1	
<NA>	<NA>		+	wɑ						1	
<NA>	<NA>		+	wəj						1	
ðʲ	palatalized voiced dental fricative consonant	+	+	ð̪ʲ						5	
ð’	voiced dental ejective fricative consonant	+	+	ð̪ʼ						1	
ħʷ	labialized voiceless pharyngeal fricative consonant	+	+	ħʷ​						1	
ⁿgb	from pre-nasalized voiced velar stop to voiced bilabial stop cluster	+	+	ŋmɡb						3	
<NA>	<NA>		+	ř						1	
ʃ	voiceless post-alveolar sibilant fricative consonant		+	ś						1	
ʒ	voiced post-alveolar sibilant fricative consonant		+	ž						1	
<NA>	<NA>		+	ǂ͇						1	
əi̯	from unrounded mid central to non-syllabic unrounded close front diphthong	+	+	əj						1	
əu̯	from unrounded mid central to non-syllabic rounded close back diphthong	+	+	əw						1	
<NA>	<NA>		+	ɤɰ						2	
ʈʂʰ	aspirated voiceless retroflex sibilant affricate consonant		+	ʈʂ͇ʰ						1	
ʒ	voiced post-alveolar sibilant fricative consonant		+	ʓ						4	
tsʰ	aspirated voiceless alveolar sibilant affricate consonant		+	ʦ​ʰ​						1	
ˀj	pre-glottalized voiced palatal approximant consonant	+	+	ʼj						1	
ˀw	pre-glottalized voiced labio-velar approximant consonant	+	+	ʼw						1	
θ	voiceless dental fricative consonant		+	θ̪						6	
θ’	voiceless dental ejective fricative consonant	+	+	θ̪ʼ						1	
ɖ	voiced retroflex stop consonant		+	ḍ						1	
ɽ	voiced retroflex tap consonant		+	ṛ						1	
ʂ	voiceless retroflex sibilant fricative consonant		+	ṣ						7	
ʈ	voiceless retroflex stop consonant		+	ṭ						5	
ʈʰ	aspirated voiceless retroflex stop consonant		+	ṭʰ						1	
ʈ’	voiceless retroflex ejective stop consonant	+	+	ṭʼ						1	
ʈʂ	voiceless retroflex sibilant affricate consonant		+	ṭṣ						2	
ʐ	voiced retroflex sibilant fricative consonant		+	ẓ						1	
a	unrounded open front vowel		+	a						178	
ae	from unrounded open front to unrounded close-mid front diphthong	+	+	ae						1	
ai	from unrounded open front to unrounded close front diphthong	+	+	ai						10	
au	from unrounded open front to rounded close back diphthong	+	+	au						7	
aɯ	from unrounded open front to unrounded close back diphthong	+	+	aɯ						1	
aː	long unrounded open front vowel		+	aː						83	
aːi	from long unrounded open front to unrounded close front diphthong	+	+	aːi						1	
aːu	from long unrounded open front to rounded close back diphthong	+	+	aːu						1	
aː̟	long advanced unrounded open front vowel	+	+	a̟ː						2	
aˑ	mid-long unrounded open front vowel		+	aˑ						2	
ã	nasalized unrounded open front vowel		+	ã						9	
ã	nasalized unrounded open front vowel		+	ã						5	
ãː	long nasalized unrounded open front vowel		+	ãː						2	
ãː	long nasalized unrounded open front vowel		+	ãː						2	
ä	centralized unrounded open front vowel	+	+	ä						1	
a̘	advanced-tongue-root unrounded open front vowel	+	+	a̘						3	
ã̘	advanced-tongue-root nasalized unrounded open front vowel	+	+	ã̘						1	
a̟	advanced unrounded open front vowel	+	+	a̟						9	
a̤	breathy unrounded open front vowel	+	+	a̤						1	
ḁ	devoiced unrounded open front vowel		+	ḁ						1	
ḁ	devoiced unrounded open front vowel		+	ḁ						1	
a̰	creaky unrounded open front vowel		+	a̰						1	
a̰ː	long creaky unrounded open front vowel	+	+	a̰ː						1	
b	voiced bilabial stop consonant		+	b						142	
bʰ	aspirated voiced bilabial stop consonant		+	bʰ						3	
bʱʰ	aspirated breathy voiced bilabial stop consonant	+	+	b̤ʰ						1	
bʲ	palatalized voiced bilabial stop consonant		+	bʲ						1	
bʷ	labialized voiced bilabial stop consonant		+	bʷ						1	
bː	long voiced bilabial stop consonant		+	bː						6	
b̥	devoiced voiced bilabial stop consonant		+	b̥						1	
c	voiceless palatal stop consonant		+	c						65	
cç	voiceless palatal affricate consonant		+	cç						2	
cç	voiceless palatal affricate consonant		+	c͡ç						1	
cçʰ	aspirated voiceless palatal affricate consonant		+	cçʰ						1	
cç’	voiceless palatal ejective affricate consonant	+	+	cçʼ						1	
cʰ	aspirated voiceless palatal stop consonant		+	cʰ						8	
cʼ	voiceless palatal ejective stop consonant		+	cʼ						11	
cʼ	voiceless palatal ejective stop consonant		+	c’						1	
cˀ	glottalized voiceless palatal stop consonant	+	+	cˀ						4	
cː	long voiceless palatal stop consonant		+	cː						1	
c̟	advanced voiceless palatal stop consonant	+	+	c̟						1	
c̟ʰ	advanced aspirated voiceless palatal stop consonant	+	+	c̟ʰ						1	
c̟’	advanced voiceless palatal ejective stop consonant	+	+	c̟ʼ						1	
ç	voiceless palatal sibilant fricative consonant		+	ç						11	
çˀ	glottalized voiceless palatal sibilant fricative consonant	+	+	çˀ						1	
çː	long voiceless palatal sibilant fricative consonant	+	+	çː						1	
d	voiced alveolar stop consonant		+	d						142	
dz	voiced alveolar sibilant affricate consonant		+	dz						26	
dz	voiced alveolar sibilant affricate consonant		+	d͡z						4	
dz	voiced alveolar sibilant affricate consonant		+	ʣ						4	
dzʲ	palatalized voiced alveolar sibilant affricate consonant	+	+	dzʲ						1	
dzʲ	palatalized voiced alveolar sibilant affricate consonant	+	+	d͡zʲ						1	
dzː	long voiced alveolar sibilant affricate consonant		+	ʣː						1	
dz̪	voiced dental sibilant affricate consonant		+	dz̪						2	
dɮ	voiced alveolar lateral affricate consonant		+	dɮ						3	
dɮ	voiced alveolar lateral affricate consonant		+	d͡ɮ						1	
dʑ	voiced alveolo-palatal sibilant affricate consonant		+	dʑ						3	
dʒ	voiced post-alveolar sibilant affricate consonant		+	d̠ʒ						13	
dʒ	voiced post-alveolar sibilant affricate consonant		+	d͡ʒ						3	
dʒ	voiced post-alveolar sibilant affricate consonant		+	ʤ						2	
dʒʷ	labialized voiced post-alveolar sibilant affricate consonant		+	d̠ʒʷ						1	
dʰ	aspirated voiced alveolar stop consonant		+	dʰ						4	
dʱʰ	aspirated breathy voiced alveolar stop consonant	+	+	d̤ʰ						1	
dʲ	palatalized voiced alveolar stop consonant		+	dʲ						4	
dː	long voiced alveolar stop consonant		+	dː						5	
dˤ	pharyngealized voiced alveolar stop consonant		+	dˤ						1	
d̠ʲ	palatalized voiced post-alveolar stop consonant	+	+	d̠ʲ						1	
d̥	devoiced voiced alveolar stop consonant		+	d̥						1	
d̪	voiced dental stop consonant		+	d̪						3	
d̪ː	long voiced dental stop consonant		+	d̪ː						1	
d̪ˤ	pharyngealized voiced dental stop consonant		+	d̪ˤ						1	
d̪ˤː	pharyngealized long voiced dental stop consonant	+	+	d̪ˤː						1	
d’	voiced alveolar ejective stop consonant	+	+	dʼ						1	
e	unrounded close-mid front vowel		+	e						151	
ea	from unrounded close-mid front to unrounded open front diphthong	+	+	ea						2	
ei	from unrounded close-mid front to unrounded close front diphthong	+	+	ei						5	
eu	from unrounded close-mid front to rounded close back diphthong	+	+	eu						4	
eː	long unrounded close-mid front vowel		+	eː						78	
eˑ	mid-long unrounded close-mid front vowel		+	eˑ						1	
ẽ	nasalized unrounded close-mid front vowel		+	ẽ						8	
ẽ	nasalized unrounded close-mid front vowel		+	ẽ						8	
ẽː	long nasalized unrounded close-mid front vowel		+	ẽː						1	
ẽː	long nasalized unrounded close-mid front vowel		+	ẽː						4	
ĕ	ultra-short unrounded close-mid front vowel		+	ĕ						1	
e̘	advanced-tongue-root unrounded close-mid front vowel	+	+	e̘						4	
e̤	breathy unrounded close-mid front vowel		+	e̤						1	
e̥	devoiced unrounded close-mid front vowel		+	e̥						2	
f	voiceless labio-dental fricative consonant		+	f						41	
fː	long voiceless labio-dental fricative consonant		+	fː						4	
g	voiced velar stop consonant		+	g						20	
g	voiced velar stop consonant		+	ɡ						107	
gb	voiced velar-and-bilabial stop consonant		+	ɡb						8	
gbʰ	aspirated voiced velar-and-bilabial stop consonant	+	+	ɡbʰ						1	
gǀ	voiced dental click consonant		+	ɡǀ						1	
gǁ	voiced lateral click consonant		+	ɡǁ						1	
gǃ	voiced alveolar click consonant		+	ɡǃ						1	
gʰ	aspirated voiced velar stop consonant		+	ɡʰ						3	
gʱ	breathy voiced velar stop consonant		+	ɡ̈ʱ						1	
gʲ	palatalized voiced velar stop consonant		+	ɡʲ						4	
gʲ	palatalized voiced velar stop consonant		+	ɡʸ						1	
gʲʷ	palatalized labialized voiced velar stop consonant	+	+	ɡʲʷ						1	
gʷ	labialized voiced velar stop consonant		+	ɡʷ						24	
gʷʰ	labialized aspirated voiced velar stop consonant	+	+	ɡʰʷ						1	
gʷʰ	labialized aspirated voiced velar stop consonant	+	+	ɡʷʰ						1	
gʷː	labialized long voiced velar stop consonant	+	+	gʷː						1	
gː	long voiced velar stop consonant		+	gː						4	
gː	long voiced velar stop consonant		+	ɡː						2	
g̊	devoiced voiced velar stop consonant		+	ɡ̊						1	
h	voiceless glottal fricative consonant		+	h						130	
hʷ	labialized voiceless glottal fricative consonant	+	+	hʷ						5	
hˀ	glottalized voiceless glottal fricative consonant	+	+	hˀ						1	
hː	long voiceless glottal fricative consonant	+	+	hː						4	
i	unrounded close front vowel		+	i						210	
ia	from unrounded close front to unrounded open front diphthong	+	+	ia						4	
ie	from unrounded close front to unrounded close-mid front diphthong	+	+	ie						4	
iu	from unrounded close front to rounded close back diphthong	+	+	iu						2	
iə	from unrounded close front to unrounded mid central diphthong	+	+	iə						7	
iɛ	from unrounded close front to unrounded open-mid front diphthong	+	+	iɛ						4	
iː	long unrounded close front vowel		+	iː						103	
iˑ	mid-long unrounded close front vowel		+	iˑ						2	
ĩ	nasalized unrounded close front vowel		+	ĩ						10	
ĩ	nasalized unrounded close front vowel		+	ĩ						6	
ĩː	long nasalized unrounded close front vowel		+	ĩː						1	
ĩː	long nasalized unrounded close front vowel		+	ĩː						2	
i̘	advanced-tongue-root unrounded close front vowel	+	+	i̘						4	
ĩ̘	advanced-tongue-root nasalized unrounded close front vowel	+	+	ĩ̘						1	
i̝	raised unrounded close front vowel	+	+	i̝						3	
i̤	breathy unrounded close front vowel		+	i̤						1	
i̥	devoiced unrounded close front vowel		+	i̥						2	
ḭ	creaky unrounded close front vowel		+	ḭ						1	
ḭː	long creaky unrounded close front vowel		+	ḭː						1	
j	voiced palatal approximant consonant		+	j						213	
jˀ	glottalized voiced palatal approximant consonant	+	+	jˀ						4	
jː	long voiced palatal approximant consonant		+	jː						8	
j̊	devoiced voiced palatal approximant consonant		+	j̥						3	
j’	voiced palatal ejective approximant consonant	+	+	jʼ						6	
k	voiceless velar stop consonant		+	k						233	
kp	voiceless velar-and-bilabial stop consonant		+	kp						9	
kpʰ	aspirated voiceless velar-and-bilabial stop consonant	+	+	kpʰ						1	
kx’	voiceless velar ejective affricate consonant	+	+	kxʼ						1	
kʰ	aspirated voiceless velar stop consonant		+	kh						1	
kʰ	aspirated voiceless velar stop consonant		+	kʰ						40	
kʲ	palatalized voiceless velar stop consonant		+	kʲ						5	
kʲ	palatalized voiceless velar stop consonant		+	kʸ						1	
kʲʰ	palatalized aspirated voiceless velar stop consonant	+	+	kʲʰ						1	
kʲʷ	palatalized labialized voiceless velar stop consonant	+	+	kʲʷ						1	
kʷ	labialized voiceless velar stop consonant		+	kʷ						53	
kʷʰ	labialized aspirated voiceless velar stop consonant		+	kʰʷ						1	
kʷʰ	labialized aspirated voiceless velar stop consonant		+	kʷʰ						9	
kʷˀ	labialized glottalized voiceless velar stop consonant	+	+	kʷˀ						1	
kʷˀ	labialized glottalized voiceless velar stop consonant	+	+	kˀʷ						2	
kʷː	labialized long voiceless velar stop consonant		+	kʷː						1	
kʼ	voiceless velar ejective stop consonant		+	kʼ						30	
kʼ	voiceless velar ejective stop consonant		+	k’						4	
kʼʷ	labialized voiceless velar ejective stop consonant		+	kʷʼ						10	
kʼʷ	labialized voiceless velar ejective stop consonant		+	kʼʷ						1	
kˀ	glottalized voiceless velar stop consonant	+	+	kˀ						9	
kː	long voiceless velar stop consonant		+	kk						1	
kː	long voiceless velar stop consonant		+	kː						16	
kˤ	pharyngealized voiceless velar stop consonant	+	+	kˁ						1	
k̰	creaky voiceless velar stop consonant	+	+	k̰						1	
k’ʲ	palatalized voiceless velar ejective stop consonant	+	+	kʲʼ						1	
k’ː	long voiceless velar ejective stop consonant	+	+	kʼː						1	
l	voiced alveolar lateral approximant consonant		+	l						191	
lʱ	breathy voiced alveolar lateral approximant consonant		+	l̤						1	
lʲ	palatalized voiced alveolar lateral approximant consonant		+	lʲ						1	
lˀ	glottalized voiced alveolar lateral approximant consonant	+	+	lˀ						2	
lː	long voiced alveolar lateral approximant consonant		+	lː						14	
lˠ	velarized voiced alveolar lateral approximant consonant		+	ɫ						3	
l̠ʲ	palatalized voiced post-alveolar lateral approximant consonant		+	l̠ʲ						1	
l̥	devoiced voiced alveolar lateral approximant consonant		+	l̥						14	
l̪	voiced dental lateral approximant consonant		+	l̪						3	
l̪ː	long voiced dental lateral approximant consonant		+	l̪ː						1	
l’	voiced alveolar ejective lateral approximant consonant	+	+	lʼ						5	
m	voiced bilabial nasal consonant		+	m						232	
mʰ	aspirated voiced bilabial nasal consonant		+	mʰ						2	
mʱ	breathy voiced bilabial nasal consonant		+	m̤						1	
mʲ	palatalized voiced bilabial nasal consonant		+	mʲ						1	
mʷ	labialized voiced bilabial nasal consonant		+	mʷ						4	
mˀ	glottalized voiced bilabial nasal consonant	+	+	mˀ						4	
mː	long voiced bilabial nasal consonant		+	mː						14	
mˠ	velarized voiced bilabial nasal consonant		+	mˠ						1	
m̥	devoiced voiced bilabial nasal consonant		+	m̥						7	
m’	voiced bilabial ejective nasal consonant	+	+	mʼ						6	
m’ʷ	labialized voiced bilabial ejective nasal consonant	+	+	mʷʼ						1	
n	voiced alveolar nasal consonant		+	n						239	
nʱ	breathy voiced alveolar nasal consonant	+	+	n̤						1	
nʲ	palatalized voiced alveolar nasal consonant		+	nʲ						3	
nˀ	glottalized voiced alveolar nasal consonant	+	+	nˀ						4	
nː	long voiced alveolar nasal consonant		+	nː						14	
n̠ʲ	retracted palatalized voiced alveolar nasal consonant	+	+	n̠ʲ						1	
n̥	devoiced voiced alveolar nasal consonant		+	n̥						6	
n̩	syllabic voiced alveolar nasal consonant		+	ṇ						1	
n̪	voiced dental nasal consonant		+	n̪						2	
n̪ː	long voiced dental nasal consonant	+	+	n̪ː						1	
n̻	voiced laminal alveolar nasal consonant		+	n̻						1	
n’	voiced alveolar ejective nasal consonant	+	+	nʼ						6	
o	rounded close-mid back vowel		+	o						152	
oa	from rounded close-mid back to unrounded open front diphthong	+	+	oa						2	
oi	from rounded close-mid back to unrounded close front diphthong	+	+	oi						4	
ou	from rounded close-mid back to rounded close back diphthong	+	+	ou						2	
oː	long rounded close-mid back vowel		+	o:						1	
oː	long rounded close-mid back vowel		+	oː						73	
oˑ	mid-long rounded close-mid back vowel		+	oˑ						2	
õ	nasalized rounded close-mid back vowel		+	õ						8	
õ	nasalized rounded close-mid back vowel		+	õ						9	
õː	long nasalized rounded close-mid back vowel		+	õː						1	
õː	long nasalized rounded close-mid back vowel		+	õː						4	
o̘	advanced-tongue-root rounded close-mid back vowel	+	+	o̘						4	
o̞	rounded mid back vowel		+	o̞						1	
o̤	breathy rounded close-mid back vowel		+	o̤						1	
o̥	devoiced rounded close-mid back vowel		+	o̥						1	
p	voiceless bilabial stop consonant		+	p						210	
pʰ	aspirated voiceless bilabial stop consonant		+	ph						1	
pʰ	aspirated voiceless bilabial stop consonant		+	pʰ						36	
pʲ	palatalized voiceless bilabial stop consonant		+	pʲ						2	
pʷ	labialized voiceless bilabial stop consonant		+	pʷ						3	
pʷː	labialized long voiceless bilabial stop consonant	+	+	pːʷ						1	
pʼ	voiceless bilabial ejective stop consonant		+	pʼ						24	
pˀ	glottalized voiceless bilabial stop consonant	+	+	pˀ						8	
pː	long voiceless bilabial stop consonant		+	pː						13	
p̰	creaky voiceless bilabial stop consonant	+	+	p̰						1	
q	voiceless uvular stop consonant		+	q						43	
qʰ	aspirated voiceless uvular stop consonant		+	qʰ						7	
qʷ	labialized voiceless uvular stop consonant		+	qʷ						8	
qʷˀ	labialized glottalized voiceless uvular stop consonant	+	+	qˀʷ						3	
qʼ	voiceless uvular ejective stop consonant		+	qʼ						11	
qʼʷ	labialized voiceless uvular ejective stop consonant		+	qʷʼ						5	
qˀ	glottalized voiceless uvular stop consonant	+	+	qˀ						7	
qː	long voiceless uvular stop consonant	+	+	qː						5	
r	voiced alveolar trill consonant		+	r						173	
rʲ	palatalized voiced alveolar trill consonant		+	rʲ						4	
rˀ	glottalized voiced alveolar trill consonant	+	+	rˀ						2	
rː	long voiced alveolar trill consonant		+	rː						9	
r̠ʲ	retracted palatalized voiced alveolar trill consonant	+	+	r̠ʲ						2	
r̥	devoiced voiced alveolar trill consonant		+	r̥						7	
r̪	voiced dental trill consonant		+	r̪						1	
r̪ː	long voiced dental trill consonant		+	r̪ː						1	
r’	voiced alveolar ejective trill consonant	+	+	rʼ						2	
s	voiceless alveolar sibilant fricative consonant		+	s						207	
sʰ	aspirated voiceless alveolar sibilant fricative consonant	+	+	sʰ						1	
sʲ	palatalized voiceless alveolar sibilant fricative consonant		+	sʲ						10	
sʼ	voiceless alveolar ejective sibilant fricative consonant		+	sʼ						6	
sʼ	voiceless alveolar ejective sibilant fricative consonant		+	s’						1	
sː	long voiceless alveolar sibilant fricative consonant		+	sː						10	
sˤ	pharyngealized voiceless alveolar sibilant fricative consonant	+	+	sˁ						2	
sˤː	pharyngealized long voiceless alveolar sibilant fricative consonant	+	+	sˁː						1	
s̪	voiceless dental sibilant fricative consonant		+	s̪						1	
s̪ː	long voiceless dental sibilant fricative consonant	+	+	s̪ː						1	
s̺	voiceless apical alveolar sibilant fricative consonant	+	+	s̺						3	
s̺ː	long voiceless apical alveolar sibilant fricative consonant	+	+	s̺ː						3	
