BIPA_GRAPHEME	CLTS_NAME	GENERATED	EXPLICIT	GRAPHEME	URL	LATEX	FEATURES	SOUND	IMAGE	COUNT	NOTE
t	voiceless alveolar stop consonant		+	t						233	
ts	voiceless alveolar sibilant affricate consonant		+	ts						61	
ts	voiceless alveolar sibilant affricate consonant		+	t͡s						4	
ts	voiceless alveolar sibilant affricate consonant		+	ʦ						14	
tsʰ	aspirated voiceless alveolar sibilant affricate consonant		+	tsʰ						12	
tsʰ	aspirated voiceless alveolar sibilant affricate consonant		+	t͡sʰ						1	
tsʲ	palatalized voiceless alveolar sibilant affricate consonant		+	tsʲ						6	
tsʲ	palatalized voiceless alveolar sibilant affricate consonant		+	t͡sʲ						1	
tsʼ	voiceless alveolar ejective sibilant affricate consonant		+	tsʼ						13	
tsʼ	voiceless alveolar ejective sibilant affricate consonant		+	t͡sʼ						2	
tsˀ	glottalized voiceless alveolar sibilant affricate consonant	+	+	tsˀ						4	
tsː	long voiceless alveolar sibilant affricate consonant		+	tsː						2	
tsː	long voiceless alveolar sibilant affricate consonant		+	ʦː						5	
ts̪	voiceless dental sibilant affricate consonant		+	ts̪						1	
ts̪ʼ	voiceless dental ejective sibilant affricate consonant		+	ts̪ʼ						1	
ts̺	voiceless apical alveolar sibilant affricate consonant	+	+	ts̺						1	
tsʼ	voiceless alveolar ejective sibilant affricate consonant		+	ʦʼ						1	
tsʼ	voiceless alveolar ejective sibilant affricate consonant		+	ʦ’						3	
ts’ː	long voiceless alveolar ejective sibilant affricate consonant	+	+	ʦʼː						1	
ts’ː	long voiceless alveolar ejective sibilant affricate consonant	+	+	ʦ’ː						1	
tɕ	voiceless alveolo-palatal sibilant affricate consonant		+	tɕ						7	
tɕʰ	aspirated voiceless alveolo-palatal sibilant affricate consonant		+	tɕʰ						1	
tɕʰ	aspirated voiceless alveolo-palatal sibilant affricate consonant		+	t͡ɕʰ						1	
tɕʲ	palatalized voiceless alveolo-palatal sibilant affricate consonant	+	+	tɕʲ						2	
tɕ’	voiceless alveolo-palatal ejective sibilant affricate consonant	+	+	t͡ɕʼ						1	
tɬ	voiceless alveolar lateral affricate consonant		+	tɬ						6	
tɬʰ	aspirated voiceless alveolar lateral affricate consonant		+	tɬʰ						1	
tɬʰ	aspirated voiceless alveolar lateral affricate consonant		+	t͡ɬʰ						1	
tɬʼ	voiceless alveolar ejective lateral affricate consonant		+	tɬʼ						5	
tɬʼ	voiceless alveolar ejective lateral affricate consonant		+	t͡ɬʼ						2	
tɬː	long voiceless alveolar lateral affricate consonant	+	+	tɬː						1	
tʃ	voiceless post-alveolar sibilant affricate consonant		+	t̠ʃ						45	
tʃ	voiceless post-alveolar sibilant affricate consonant		+	t͡ʃ						4	
tʃ	voiceless post-alveolar sibilant affricate consonant		+	ʧ						2	
tʃʰ	aspirated voiceless post-alveolar sibilant affricate consonant		+	tʃʰ						1	
tʃʰ	aspirated voiceless post-alveolar sibilant affricate consonant		+	t̠ʃʰ						6	
tʃʰ	aspirated voiceless post-alveolar sibilant affricate consonant		+	t͡ʃʰ						1	
tʃʰ	aspirated voiceless post-alveolar sibilant affricate consonant		+	ʧʰ						1	
tʃʲ	palatalized voiceless post-alveolar sibilant affricate consonant		+	t̠ʃʲ						3	
tʃʲː	palatalized long voiceless post-alveolar sibilant affricate consonant	+	+	t̠ʃʲː						1	
tʃʷ	labialized voiceless post-alveolar sibilant affricate consonant		+	t̠ʃʷ						1	
tʃʷˀ	labialized glottalized voiceless post-alveolar sibilant affricate consonant	+	+	t̠ʃˀʷ						1	
tʃʼ	voiceless post-alveolar ejective sibilant affricate consonant		+	t̠ʃʼ						7	
tʃʼ	voiceless post-alveolar ejective sibilant affricate consonant		+	t͡ʃʼ						2	
tʃˀ	glottalized voiceless post-alveolar sibilant affricate consonant	+	+	t̠ʃˀ						4	
tʃː	long voiceless post-alveolar sibilant affricate consonant		+	t̠ʃː						1	
tʰ	aspirated voiceless alveolar stop consonant		+	th						1	
tʰ	aspirated voiceless alveolar stop consonant		+	tʰ						39	
tʲ	palatalized voiceless alveolar stop consonant		+	tʲ						11	
tʲʰ	palatalized aspirated voiceless alveolar stop consonant		+	tʲʰ						2	
tʼ	voiceless alveolar ejective stop consonant		+	tʼ						32	
tʼ	voiceless alveolar ejective stop consonant		+	t’						4	
tˀ	glottalized voiceless alveolar stop consonant	+	+	tˀ						10	
tː	long voiceless alveolar stop consonant		+	tt						2	
tː	long voiceless alveolar stop consonant		+	tː						15	
tˠ	velarized voiceless alveolar stop consonant	+	+	tˠ						1	
tˤ	pharyngealized voiceless alveolar stop consonant		+	tˁ						2	
tˤː	pharyngealized long voiceless alveolar stop consonant	+	+	tˁː						1	
t̠ʲ	palatalized voiceless post-alveolar stop consonant	+	+	t̠ʲ						1	
t̪	voiceless dental stop consonant		+	t̪						6	
t̪ʰ	aspirated voiceless dental stop consonant		+	t̪ʰ						1	
t̪ʼ	voiceless dental ejective stop consonant		+	t̪ʼ						1	
t̪ː	long voiceless dental stop consonant		+	t̪ː						1	
t̰	creaky voiceless alveolar stop consonant	+	+	t̰						1	
t̻	voiceless laminal alveolar stop consonant	+	+	t̻						1	
<NA>	<NA>	+	+	tθʰ						1	
t’ʲ	palatalized voiceless alveolar ejective stop consonant	+	+	tʲʼ						3	
t’ː	long voiceless alveolar ejective stop consonant	+	+	tʼː						1	
t’ː	long voiceless alveolar ejective stop consonant	+	+	t’ː						1	
u	rounded close back vowel		+	u						196	
ua	from rounded close back to unrounded open front diphthong	+	+	ua						6	
ui	from rounded close back to unrounded close front diphthong	+	+	ui						6	
uo	from rounded close back to rounded close-mid back diphthong	+	+	uo						4	
uɔ	from rounded close back to rounded open-mid back diphthong	+	+	uɔ						1	
uə	from rounded close back to unrounded mid central diphthong	+	+	uə						7	
uː	long rounded close back vowel		+	u:						1	
uː	long rounded close back vowel		+	uː						93	
uˑ	mid-long rounded close back vowel		+	uˑ						2	
ũ	nasalized rounded close back vowel		+	ũ						10	
ũ	nasalized rounded close back vowel		+	ũ						8	
ũː	long nasalized rounded close back vowel		+	ũː						1	
ũː	long nasalized rounded close back vowel		+	ũː						4	
u̘	advanced-tongue-root rounded close back vowel	+	+	u̘						4	
ũ̘	advanced-tongue-root nasalized rounded close back vowel	+	+	ũ̘						1	
u̝	raised rounded close back vowel	+	+	u̝						3	
ṳ	breathy rounded close back vowel		+	ṳ						1	
u̥	devoiced rounded close back vowel		+	u̥						2	
ṵ	creaky rounded close back vowel		+	ṵ						1	
ṵː	long creaky rounded close back vowel	+	+	ṵː						1	
v	voiced labio-dental fricative consonant		+	v						25	
w	voiced labio-velar approximant consonant		+	w						205	
wʲ	palatalized voiced labio-velar approximant consonant	+	+	wʲ						1	
wˀ	glottalized voiced labio-velar approximant consonant	+	+	wˀ						4	
wː	long voiced labio-velar approximant consonant		+	wː						7	
w̥	devoiced voiced labio-velar approximant consonant	+	+	w̥						3	
w’	voiced labio-velar ejective approximant consonant	+	+	wʼ						6	
x	voiceless velar fricative consonant		+	x						72	
xʲ	palatalized voiceless velar fricative consonant		+	xʲ						2	
xʲʷ	palatalized labialized voiceless velar fricative consonant	+	+	xʲʷ						1	
xʷ	labialized voiceless velar fricative consonant		+	xʷ						12	
xʼ	voiceless velar ejective fricative consonant		+	xʼ						1	
xˀ	glottalized voiceless velar fricative consonant	+	+	xˀ						1	
y	rounded close front vowel		+	y						23	
yø	from rounded close front to rounded close-mid front diphthong	+	+	yø						1	
yː	long rounded close front vowel		+	yː						13	
yˑ	mid-long rounded close front vowel		+	yˑ						1	
z	voiced alveolar sibilant fricative consonant		+	z						55	
zʲ	palatalized voiced alveolar sibilant fricative consonant		+	zʲ						1	
zː	long voiced alveolar sibilant fricative consonant	+	+	zː						2	
zˤ	pharyngealized voiced alveolar sibilant fricative consonant	+	+	zˤ						1	
z̪	voiced dental sibilant fricative consonant		+	z̪						1	
z̪ː	long voiced dental sibilant fricative consonant	+	+	z̪ː						1	
z̪ˤ	pharyngealized voiced dental sibilant fricative consonant	+	+	z̪ˤ						1	
z̪ˤː	pharyngealized long voiced dental sibilant fricative consonant	+	+	z̪ˤː						1	
z̺	voiced apical alveolar sibilant fricative consonant	+	+	z̺						1	
z’	voiced alveolar ejective sibilant fricative consonant	+	+	zʼ						1	
æ	unrounded near-open front vowel		+	æ						13	
æː	long unrounded near-open front vowel		+	æː						13	
æ̃ː	long nasalized unrounded near-open front vowel		+	æ̃ː						1	
ð	voiced dental fricative consonant		+	ð						21	
ðʲ	palatalized voiced dental fricative consonant	+	+	ðʲ						1	
ðː	long voiced dental fricative consonant		+	ðː						2	
ðˤ	pharyngealized voiced dental fricative consonant	+	+	ðˁ						1	
ðˤː	pharyngealized long voiced dental fricative consonant	+	+	ðˁː						1	
ð’	voiced dental ejective fricative consonant	+	+	ð’						1	
ø	rounded close-mid front vowel		+	ø						10	
øː	long rounded close-mid front vowel		+	øː						9	
ħ	voiceless pharyngeal fricative consonant		+	ħ						18	
ħː	long voiceless pharyngeal fricative consonant	+	+	ħː						3	
ŋ	voiced velar nasal consonant		+	ŋ						123	
ŋʱ	breathy voiced velar nasal consonant	+	+	ŋ̤						1	
ŋʷ	labialized voiced velar nasal consonant		+	ŋʷ						10	
ŋː	long voiced velar nasal consonant		+	ŋː						1	
ŋ̊	devoiced voiced velar nasal consonant		+	ŋ̥						2	
ŋ’	voiced velar ejective nasal consonant	+	+	ŋʼ						3	
ŋ’ʷ	labialized voiced velar ejective nasal consonant	+	+	ŋʷʼ						1	
œ	rounded open-mid front vowel		+	œ						1	
œː	long rounded open-mid front vowel		+	œː						4	
ǀ	voiceless dental click consonant		+	ǀ						2	
ǀʰ	aspirated voiceless dental click consonant	+	+	ǀʰ						1	
ǀ’	voiceless dental ejective click consonant	+	+	ǀʼ						1	
ǁ	voiceless lateral click consonant		+	ǁ						2	
ǁʰ	aspirated voiceless lateral click consonant	+	+	ǁʰ						1	
ǁ̟	advanced voiceless lateral click consonant	+	+	ǁ̟						1	
<NA>	<NA>	+	+	ǁʼ						1	
ǂ	voiceless palatal click consonant		+	ǂ						2	
ǂ’	voiceless palatal ejective click consonant	+	+	ǂʼ						1	
ǃ	voiceless alveolar click consonant		+	ǃ						1	
ǃʰ	aspirated voiceless alveolar click consonant	+	+	ǃʰ						1	
ǃ’	voiceless alveolar ejective click consonant	+	+	ǃʼ						1	
ɐ	unrounded near-open central vowel		+	ɐ						6	
ɐː	long unrounded near-open central vowel		+	ɐː						1	
ɑ	unrounded open back vowel		+	ɑ						24	
ɑi	from unrounded open back to unrounded close front diphthong	+	+	ɑi						2	
ɑu	from unrounded open back to rounded close back diphthong	+	+	ɑu						3	
ɑɯ	from unrounded open back to unrounded close back diphthong	+	+	ɑɯ						1	
ɑː	long unrounded open back vowel		+	ɑ:						2	
ɑː	long unrounded open back vowel		+	ɑː						15	
ɑːi	from long unrounded open back to unrounded close front diphthong	+	+	ɑ:i						1	
ɑːu	from long unrounded open back to rounded close back diphthong	+	+	ɑ:u						1	
ɑ̃	nasalized unrounded open back vowel		+	ɑ̃						2	
ɑ̃ː	long nasalized unrounded open back vowel		+	ɑ̃ː						1	
ɒ	rounded open back vowel		+	ɒ						1	
ɒː	long rounded open back vowel		+	ɒː						1	
ɓ	voiced bilabial implosive consonant		+	ɓ						24	
ɔ	rounded open-mid back vowel		+	ɔ						35	
ɔi	from rounded open-mid back to unrounded close front diphthong	+	+	ɔi						1	
ɔu	from rounded open-mid back to rounded close back diphthong	+	+	ɔu						1	
ɔː	long rounded open-mid back vowel		+	ɔː						24	
ɔ̃	nasalized rounded open-mid back vowel		+	ɔ̃						3	
ɔ̤	breathy rounded open-mid back vowel	+	+	ɔ̤						1	
ɕ	voiceless alveolo-palatal sibilant fricative consonant		+	ɕ						7	
ɕʲ	palatalized voiceless alveolo-palatal sibilant fricative consonant	+	+	ɕʲ						2	
ɕʲː	palatalized long voiceless alveolo-palatal sibilant fricative consonant	+	+	ɕʲː						1	
ɖ	voiced retroflex stop consonant		+	ɖ						7	
ɖʐ	voiced retroflex sibilant affricate consonant		+	dʐ						1	
ɖʐ	voiced retroflex sibilant affricate consonant		+	d͡ʐ						2	
ɖʐ	voiced retroflex sibilant affricate consonant		+	ɖʐ						1	
ɗ	voiced dental implosive consonant		+	ɗ						23	
ɘ	unrounded close-mid central vowel		+	ɘ						29	
ɘː	long unrounded close-mid central vowel		+	ɘː						3	
ɘ̃	nasalized unrounded close-mid central vowel		+	ɘ̃						1	
ə	unrounded mid central vowel		+	ǝ						2	
ə	unrounded mid central vowel		+	ə						24	
əe	from unrounded mid central to unrounded close-mid front diphthong	+	+	əe						1	
əi	from unrounded mid central to unrounded close front diphthong	+	+	əi						2	
əo	from unrounded mid central to rounded close-mid back diphthong	+	+	əo						1	
əu	from unrounded mid central to rounded close back diphthong	+	+	əu						2	
əɛ	from unrounded mid central to unrounded open-mid front diphthong	+	+	əɛ						1	
əː	long unrounded mid central vowel		+	əː						7	
ə̃	nasalized unrounded mid central vowel		+	ə̃						2	
ə̃ː	long nasalized unrounded mid central vowel		+	ə̃ː						1	
ə̄	unrounded mid central with_mid_tone vowel	+	+	ə̄						1	
ə̘	advanced-tongue-root unrounded mid central vowel	+	+	ə̘						1	
ɛ	unrounded open-mid front vowel		+	ɛ						33	
ɛi	from unrounded open-mid front to unrounded close front diphthong	+	+	ɛi						2	
ɛu	from unrounded open-mid front to rounded close back diphthong	+	+	ɛu						1	
ɛː	long unrounded open-mid front vowel		+	ɛː						17	
ɛ̃	nasalized unrounded open-mid front vowel		+	ɛ̃						4	
ɜ	unrounded open-mid central vowel		+	ɜ						7	
ɜi	from unrounded open-mid central to unrounded close front diphthong	+	+	ɜi						1	
ɜu	from unrounded open-mid central to rounded close back diphthong	+	+	ɜu						1	
ɜː	long unrounded open-mid central vowel		+	ɜː						10	
ɟ	voiced palatal stop consonant		+	ɟ						47	
ɟʝ	voiced palatal affricate consonant		+	ɟʝ						2	
ɟʝ	voiced palatal affricate consonant		+	ɟ͡ʝ						1	
ɟʰ	aspirated voiced palatal stop consonant	+	+	ɟʰ						1	
ɟː	long voiced palatal stop consonant	+	+	ɟː						1	
ɟ̈ʱ	centralized breathy voiced palatal stop consonant	+	+	ɟ̈ʱ						1	
ɟ̟	advanced voiced palatal stop consonant	+	+	ɟ̟						1	
ɠ	voiced velar implosive consonant		+	ɠ						5	
ɠʷ	labialized voiced velar implosive consonant	+	+	ɠʷ						1	
ɢ	voiced uvular stop consonant		+	ɢ						10	
ɢʷ	labialized voiced uvular stop consonant	+	+	ɢʷ						2	
ɢː	long voiced uvular stop consonant	+	+	ɢː						1	
ɣ	voiced velar fricative consonant		+	ɣ						38	
ɣʷ	labialized voiced velar fricative consonant		+	ɣʷ						5	
ɣˀ	glottalized voiced velar fricative consonant	+	+	ɣˀ						1	
ɣː	long voiced velar fricative consonant	+	+	ɣː						2	
ɤ	unrounded close-mid back vowel		+	ɤ						5	
ɤː	long unrounded close-mid back vowel		+	ɤː						4	
ɤ̤	breathy unrounded close-mid back vowel	+	+	ɤ̤						1	
ɥ	voiced labio-palatal approximant consonant		+	ɥ						1	
ɦ	voiced glottal fricative consonant		+	ɦ						4	
ɨ	unrounded close central vowel		+	ɨ						40	
ɨa	from unrounded close central to unrounded open front diphthong	+	+	ɨa						1	
ɨe	from unrounded close central to unrounded close-mid front diphthong	+	+	ɨe						1	
ɨː	long unrounded close central vowel		+	ɨː						14	
ɨ̃	nasalized unrounded close central vowel		+	ɨ̃						6	
ɨ̃ː	long nasalized unrounded close central vowel		+	ɨ̃ː						1	
ɨ̆	ultra-short unrounded close central vowel	+	+	ɨ̆						1	
ɨ̥	devoiced unrounded close central vowel	+	+	ɨ̥						2	
ɪ	unrounded near-close near-front vowel		+	ɪ						11	
ɪ̃	nasalized unrounded near-close near-front vowel		+	ɪ̃						1	
ɬ	voiceless alveolar lateral fricative consonant		+	ɬ						29	
ɬʷˀ	labialized glottalized voiceless alveolar lateral fricative consonant	+	+	ɬˀʷ						1	
ɬʼ	voiceless alveolar ejective lateral fricative consonant		+	ɬʼ						2	
ɬʼ	voiceless alveolar ejective lateral fricative consonant		+	ɬ’						1	
ɬˀ	glottalized voiceless alveolar lateral fricative consonant	+	+	ɬˀ						2	
ɬː	long voiceless alveolar lateral fricative consonant	+	+	ɬː						2	
ɬˤ	pharyngealized voiceless alveolar lateral fricative consonant	+	+	ɬˁ						1	
ɬˤ	pharyngealized voiceless alveolar lateral fricative consonant	+	+	ɬˤ						1	
ɬ’ː	long voiceless alveolar ejective lateral fricative consonant	+	+	ɬ’ː						1	
ɭ	voiced retroflex lateral approximant consonant		+	ɭ						10	
<NA>	<NA>	+	+	ɭ̥						2	
ɮ	voiced alveolar lateral fricative consonant		+	ɮ						2	
ɯ	unrounded close back vowel		+	ɯ						7	
ɯə	from unrounded close back to unrounded mid central diphthong	+	+	ɯə						2	
ɯː	long unrounded close back vowel		+	ɯː						8	
ɯ̃	nasalized unrounded close back vowel		+	ɯ̃						1	
ɰ	voiced velar approximant consonant		+	ɰ						4	
ɰʷ	labialized voiced velar approximant consonant	+	+	ɰʷ						1	
ɰ’	voiced velar ejective approximant consonant	+	+	ɰʼ						1	
ɰ’ʷ	labialized voiced velar ejective approximant consonant	+	+	ɰʼʷ						1	
ɲ	voiced palatal nasal consonant		+	ɲ						81	
ɲˀ	glottalized voiced palatal nasal consonant	+	+	ɲˀ						1	
ɲː	long voiced palatal nasal consonant		+	ɲː						1	
ɲ̊	devoiced voiced palatal nasal consonant		+	ɲ̥						4	
ɳ	voiced retroflex nasal consonant		+	ɳ						9	
ɵ	rounded close-mid central vowel		+	ɵ						3	
ɵː	long rounded close-mid central vowel		+	ɵː						1	
ɵ̆	ultra-short rounded close-mid central vowel	+	+	ɵ̆						1	
ɶː	long rounded open front vowel		+	ɶː						1	
ɸ	voiceless bilabial fricative consonant		+	ɸ						7	
ɹ	voiced alveolar approximant consonant		+	ɹ						8	
ɺ	voiced alveolar lateral tap consonant		+	ɺ						1	
ɻ	voiced retroflex approximant consonant		+	ɻ						6	
ɽ	voiced retroflex tap consonant		+	ɽ						9	
ɽˀ	glottalized voiced retroflex tap consonant	+	+	ɽˀ						1	
ɾ	voiced alveolar tap consonant		+	ɾ						13	
ʀ	voiced uvular trill consonant		+	ʀ						16	
ʁ	voiced uvular fricative consonant		+	ʁ						4	
ʁʷ	labialized voiced uvular fricative consonant	+	+	ʁʷ						2	
ʂ	voiceless retroflex sibilant fricative consonant		+	ʂ						9	
ʂ’	voiceless retroflex ejective sibilant fricative consonant	+	+	ʂʼ						2	
ʃ	voiceless post-alveolar sibilant fricative consonant		+	ʃ						64	
ʃʲ	palatalized voiceless post-alveolar sibilant fricative consonant		+	ʃʲ						1	
ʃʲ	palatalized voiceless post-alveolar sibilant fricative consonant		+	ʆ						8	
ʃʲː	palatalized long voiceless post-alveolar sibilant fricative consonant	+	+	ʃʲː						1	
ʃʼ	voiceless post-alveolar ejective sibilant fricative consonant		+	ʃʼ						3	
ʃː	long voiceless post-alveolar sibilant fricative consonant	+	+	ʃː						4	
ʄ	voiced palatal implosive consonant		+	ʄ						9	
ʄ̟	advanced voiced palatal implosive consonant	+	+	ʄ̟						1	
ʈ	voiceless retroflex stop consonant		+	ʈ						15	
ʈʂ	voiceless retroflex sibilant affricate consonant		+	tʂ						2	
ʈʂ	voiceless retroflex sibilant affricate consonant		+	t͡ʂ						2	
ʈʂ	voiceless retroflex sibilant affricate consonant		+	ʈʂ						4	
ʈʂʰ	aspirated voiceless retroflex sibilant affricate consonant		+	tʂʰ						1	
ʈʂ’	voiceless retroflex ejective sibilant affricate consonant	+	+	tʂʼ						1	
ʈʂ’	voiceless retroflex ejective sibilant affricate consonant	+	+	t͡ʂʼ						1	
ʈʂ’	voiceless retroflex ejective sibilant affricate consonant	+	+	ʈʂʼ						1	
ʈʰ	aspirated voiceless retroflex stop consonant		+	ʈʰ						3	
ʈˀ	glottalized voiceless retroflex stop consonant	+	+	ʈˀ						1	
ʈː	long voiceless retroflex stop consonant	+	+	ʈː						1	
ʈ’	voiceless retroflex ejective stop consonant	+	+	ʈʼ						3	
ʉ	rounded close central vowel		+	ʉ						2	
ʊ	rounded near-close near-back vowel		+	ʊ						13	
ʊ̃	nasalized rounded near-close near-back vowel		+	ʊ̃						1	
ʋ	voiced labio-dental approximant consonant		+	ʋ						5	
ʌ	unrounded open-mid back vowel		+	ʌ						1	
ʌː	long unrounded open-mid back vowel		+	ʌː						2	
ʌ̃	nasalized unrounded open-mid back vowel		+	ʌ̃						3	
ʌ̃ː	long nasalized unrounded open-mid back vowel		+	ʌ̃ː						3	
ʍ	voiceless labio-velar approximant consonant		+	ʍ						1	
ʎ	voiced palatal lateral approximant consonant		+	ʎ						27	
ʎˀ	glottalized voiced palatal lateral approximant consonant	+	+	ʎˀ						1	
ʎ̥	devoiced voiced palatal lateral approximant consonant		+	ʎ̥						4	
ʏ	rounded near-close near-front vowel		+	ʏ						4	
ʐ	voiced retroflex sibilant fricative consonant		+	ʐ						2	
ʑ	voiced alveolo-palatal sibilant fricative consonant		+	ʑ						5	
ʒ	voiced post-alveolar sibilant fricative consonant		+	ʒ						13	
ʒ’	voiced post-alveolar ejective sibilant fricative consonant	+	+	ʒʼ						1	
ʔ	voiceless glottal stop consonant		+	ʔ						113	
ʔʷ	labialized voiceless glottal stop consonant		+	ʔʷ						4	
ʔː	long voiceless glottal stop consonant	+	+	ʔː						3	
ʕ	voiced pharyngeal fricative consonant		+	ʕ						15	
ʕʷ	labialized voiced pharyngeal fricative consonant	+	+	ʕʷ						1	
ʕː	long voiced pharyngeal fricative consonant	+	+	ʕː						2	
ʕ’	voiced pharyngeal ejective fricative consonant	+	+	ʕʼ						1	
ʛ	voiced uvular implosive consonant		+	ʛ						1	
ʛ̥	voiceless uvular implosive consonant		+	ʛ̥						1	
ʜ	voiceless epiglottal fricative consonant		+	ʜ						1	
ʝ	voiced palatal fricative consonant		+	ʝ						5	
ʟ	voiced velar lateral approximant consonant		+	ʟ						3	
ʡ	voiceless epiglottal stop consonant		+	ʡ						1	
ʢ	voiced epiglottal fricative consonant		+	ʢ						1	
ʰj	pre-aspirated voiced palatal approximant consonant	+	+	ʰj						1	
ʰk	pre-aspirated voiceless velar stop consonant		+	ʰk						1	
ʰl	pre-aspirated voiced alveolar lateral approximant consonant	+	+	ʰl						1	
ʰm	pre-aspirated voiced bilabial nasal consonant	+	+	ʰm						1	
ʰn	pre-aspirated voiced alveolar nasal consonant	+	+	ʰn						1	
ʰp	pre-aspirated voiceless bilabial stop consonant		+	ʰp						1	
ʰt	pre-aspirated voiceless alveolar stop consonant		+	ʰt						1	
ʰw	pre-aspirated voiced labio-velar approximant consonant	+	+	ʰw						1	
ʰŋ	pre-aspirated voiced velar nasal consonant	+	+	ʰŋ						1	
ʰɲ	pre-aspirated voiced palatal nasal consonant	+	+	ʰɲ						1	
ˀc	pre-glottalized voiceless palatal stop consonant	+	+	ˀc						1	
ˀk	pre-glottalized voiceless velar stop consonant	+	+	ˀk						1	
ˀp	pre-glottalized voiceless bilabial stop consonant	+	+	ˀp						1	
ˀt	pre-glottalized voiceless alveolar stop consonant	+	+	ˀt						1	
β	voiced bilabial fricative consonant		+	β						15	
βː	long voiced bilabial fricative consonant	+	+	βː						1	
θ	voiceless dental fricative consonant		+	θ						16	
θː	long voiceless dental fricative consonant		+	θː						4	
θˤ	pharyngealized voiceless dental fricative consonant	+	+	θˁ						2	
θˤː	pharyngealized long voiceless dental fricative consonant	+	+	θˁː						1	
θ’	voiceless dental ejective fricative consonant	+	+	θʼ						1	
θ’	voiceless dental ejective fricative consonant	+	+	θ’						1	
θ’ː	long voiceless dental ejective fricative consonant	+	+	θ’ː						1	
χ	voiceless uvular fricative consonant		+	χ						20	
χʷ	labialized voiceless uvular fricative consonant		+	χʷ						5	
χː	long voiceless uvular fricative consonant	+	+	χː						3	
χ’ʷ	labialized voiceless uvular ejective fricative consonant	+	+	χʷʼ						3	
ⁿb	pre-nasalized voiced bilabial stop consonant		+	ᵐb						2	
ⁿd	pre-nasalized voiced alveolar stop consonant		+	ⁿd						1	
ⁿdz	pre-nasalized voiced alveolar sibilant affricate consonant	+	+	ⁿdz						1	
ⁿg	pre-nasalized voiced velar stop consonant		+	ᵑɡ						1	
ⁿgʷ	pre-nasalized labialized voiced velar stop consonant	+	+	ᵑɡʷ						1	
ⁿk	pre-nasalized voiceless velar stop consonant		+	ᵑk						2	
ⁿkʷ	pre-nasalized labialized voiceless velar stop consonant		+	ᵑkʷ						1	
ⁿp	pre-nasalized voiceless bilabial stop consonant		+	ᵐp						1	
ⁿr	pre-nasalized voiced alveolar trill consonant	+	+	ⁿr						1	
ⁿt	pre-nasalized voiceless alveolar stop consonant		+	ⁿt						2	
ⁿts	pre-nasalized voiceless alveolar sibilant affricate consonant	+	+	ⁿts						1	
ⁿtʲ	pre-nasalized palatalized voiceless alveolar stop consonant	+	+	ⁿtʲ						1	
ⁿw	pre-nasalized voiced labio-velar approximant consonant	+	+	ᵐw						1	
ⁿɬ	pre-nasalized voiceless alveolar lateral fricative consonant	+	+	ⁿɬ						1	
ⁿʈ	pre-nasalized voiceless retroflex stop consonant	+	+	ᶯʈ						1	
