BIPA_GRAPHEME	CLTS_NAME	GENERATED	EXPLICIT	GRAPHEME	SYMBOLS	URL	LATEX	FEATURES	SOUND	IMAGE	COUNT	NOTE
ˀn	pre-glottalized voiced alveolar nasal consonant	+	+	ʔn	◌ˀ ◌n	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=%CA%94n&inany=false&coreinv=on		conso:nasal:alveolar:voiced:preglottalized				
ˀp	pre-glottalized voiceless bilabial stop consonant	+	+	ʔp	◌ˀ ◌p	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=%CA%94p&inany=false&coreinv=on		conso:stop:bilabial:voiceless:preglottalized				
ˀt	pre-glottalized voiceless alveolar stop consonant	+	+	ʔt	◌ˀ ◌t	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=%CA%94t&inany=false&coreinv=on		conso:stop:alveolar:voiceless:preglottalized				
ˀw	pre-glottalized voiced labio-velar approximant consonant	+	+	ʔw	◌ˀ ◌w	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=%CA%94w&inany=false&coreinv=on		conso:approximant:labiovelar:voiced:preglottalized				
ˀǀ̃	pre-glottalized nasalized voiceless dental click consonant	+	+	ʔǀn	◌ˀ ◌ǀ ◌̃	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=%CA%94%C7%80n&inany=false&coreinv=on		conso:click:dental:voiceless:nasalized_preglottalized				
ˀǁ̃	pre-glottalized nasalized voiceless alveolar lateral click consonant	+	+	ʔǁn	◌ˀ ◌ǁ ◌̃	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=%CA%94%C7%81n&inany=false&coreinv=on		conso:click:lateral:voiceless:glottalized_prenasalized				
ˀǂ̃	pre-glottalized nasalized voiceless palatal click consonant	+	+	ʔǂn	◌ˀ ◌ǂ ◌̃	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=%CA%94%C7%82n&inany=false&coreinv=on		conso:click:palatoalveolar:voiceless:nasalized_preglottalized				
ˀǃ̃	pre-glottalized nasalized voiceless alveolar click consonant	+	+	ʔǃn	◌ˀ ◌ǃ ◌̃	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=%CA%94%C7%83n&inany=false&coreinv=on		conso:click:alveolar:voiceless:nasalized_preglottalized				
ǃ̃ˀ	nasalized glottalized voiceless alveolar click consonant	+	+	ʔʘn	◌ǃ ◌̃ ◌ˀ	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=%CA%94%CA%98n&inany=false&coreinv=on		conso:click:bilabial:voiceless:glottalized_prenasalized				
ʔʷ	labialized voiceless glottal stop consonant		+	ʔʷ	◌ʔ ◌ʷ	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=%CA%94%CA%B7&inany=false&coreinv=on		conso:stop:glottal:voiceless:labialized				
ʔˤ	pharyngealized voiceless glottal stop consonant	+	+	ʔˤ	◌ʔ ◌ˤ	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=%CA%94%CB%A4&inany=false&coreinv=on		conso:stop:glottal:voiceless:pharyngealized				
ʕ	voiced pharyngeal fricative consonant		+	ʕ	◌ʕ	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=%CA%95&inany=false&coreinv=on		conso:fricative:pharyngeal:voiced:plain				
ʕʷ	labialized voiced pharyngeal fricative consonant	+	+	ʕʷ	◌ʕ ◌ʷ	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=%CA%95%CA%B7&inany=false&coreinv=on		conso:fricative:pharyngeal:voiced:labialized				
ʕʼ	voiced pharyngeal ejective fricative consonant	+	+	ʕʼ	◌ʕ ◌ʼ	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=%CA%95%CA%BC&inany=false&coreinv=on		conso:fricative:pharyngeal:voiced:glottalized				
ʕʼʷ	labialized voiced pharyngeal ejective fricative consonant	+	+	ʕʼʷ	◌ʕ ◌ʼ ◌ʷ	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=%CA%95%CA%BC%CA%B7&inany=false&coreinv=on		conso:fricative:pharyngeal:voiced:glottalized_labialized				
ʘ	voiceless labial click consonant		+	ʘ	◌ʘ	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=%CA%98&inany=false&coreinv=on		conso:click:bilabial:voiceless:plain				
ʘ̃	nasalized voiceless labial click consonant	+	+	ʘn	◌ʘ ◌̃	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=%CA%98n&inany=false&coreinv=on		conso:click:bilabial:voiceless:nasalized				
ʘ̃	nasalized voiceless labial click consonant	+	+	ʘn̥	◌ʘ ◌̃	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=%CA%98n%CC%A5&inany=false&coreinv=on		conso:click:bilabial:voiceless:voiceless_nasalized				
ʘˀ	glottalized voiceless labial click consonant	+	+	ʘʔ	◌ʘ ◌ˀ	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=%CA%98%CA%94&inany=false&coreinv=on		conso:click:bilabial:voiceless:glottalized				
ʘʰ	aspirated voiceless labial click consonant	+	+	ʘʰ	◌ʘ ◌ʰ	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=%CA%98%CA%B0&inany=false&coreinv=on		conso:click:bilabial:voiceless:aspirated				
ʛ	voiced uvular implosive consonant		+	ʛ	◌ʛ	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=%CA%9B&inany=false&coreinv=on		conso:implosive:uvular:voiced:plain				
ʝ	voiced palatal fricative consonant		+	ʝ	◌ʝ	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=%CA%9D&inany=false&coreinv=on		conso:fricative:palatal:voiced:plain				
ʝʼ	voiced palatal ejective fricative consonant	+	+	ʝʼ	◌ʝ ◌ʼ	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=%CA%9D%CA%BC&inany=false&coreinv=on		conso:fricative:palatal:voiced:glottalized				
β	voiced bilabial fricative consonant		+	β	◌β	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=%CE%B2&inany=false&coreinv=on		conso:fricative:bilabial:voiced:plain				
θ	voiceless dental fricative consonant		+	θ	◌θ	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=%CE%B8&inany=false&coreinv=on		conso:fricative:interdental:voiceless:plain				
θʼ	voiceless dental ejective fricative consonant	+	+	θʼ	◌θ ◌ʼ	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=%CE%B8%CA%BC&inany=false&coreinv=on		conso:fricative:interdental:voiceless:glottalized				
χ	voiceless uvular fricative consonant		+	χ	◌χ	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=%CF%87&inany=false&coreinv=on		conso:fricative:uvular:voiceless:plain				
χʲ	palatalized voiceless uvular fricative consonant	+	+	χʲ	◌χ ◌ʲ	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=%CF%87%CA%B2&inany=false&coreinv=on		conso:fricative:uvular:voiceless:palatalized				
χʷ	labialized voiceless uvular fricative consonant		+	χʷ	◌χ ◌ʷ	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=%CF%87%CA%B7&inany=false&coreinv=on		conso:fricative:uvular:voiceless:labialized				
χː	long voiceless uvular fricative consonant	+	+	χː	◌χ ◌ː	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=%CF%87%CB%90&inany=false&coreinv=on		conso:fricative:uvular:voiceless_long:plain				
χˤ	pharyngealized voiceless uvular fricative consonant	+	+	χˤ	◌χ ◌ˤ	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=%CF%87%CB%A4&inany=false&coreinv=on		conso:fricative:uvular:voiceless:pharyngealized				
χʷˤ	labialized pharyngealized voiceless uvular fricative consonant	+	+	χˤʷ	◌χ ◌ʷ ◌ˤ	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=%CF%87%CB%A4%CA%B7&inany=false&coreinv=on		conso:fricative:uvular:voiceless:pharyngealized_labialized				
ḁ	devoiced unrounded open front vowel		+	ḁ	◌a ◌̥	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=%E1%B8%81&inany=false&coreinv=on		vowel:low:central_unrounded:plain:voiceless				
ḭ	creaky unrounded close front vowel		+	ḭ	◌i ◌̰	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=%E1%B8%AD&inany=false&coreinv=on		vowel:high:front_unrounded:plain:creaky				
ḭː	long creaky unrounded close front vowel		+	ḭː	◌i ◌̰ ◌ː	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=%E1%B8%AD%CB%90&inany=false&coreinv=on		vowel:high:front_unrounded:plain:creaky_long				
ṳ	breathy rounded close back vowel		+	ṳ	◌u ◌̤	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=%E1%B9%B3&inany=false&coreinv=on		vowel:high:back_rounded:plain:breathy				
ṳo̤	from breathy rounded close back to breathy rounded close-mid back diphthong	+	+	ṳo̤	◌u ◌̤ ◌o ◌̤	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=%E1%B9%B3o%CC%A4&inany=false&coreinv=on		vowel:high_to_higher_mid:back_rounded:plain:breathy				
ṳˀ	glottalized breathy rounded close back vowel	+	+	ṳʔ	◌u ◌̤ ◌ˀ	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=%E1%B9%B3%CA%94&inany=false&coreinv=on		vowel:high:back_rounded:glottalized:breathy				
ṳː	long breathy rounded close back vowel	+	+	ṳː	◌u ◌̤ ◌ː	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=%E1%B9%B3%CB%90&inany=false&coreinv=on		vowel:high:back_rounded:plain:breathy_long				
ṳˤ	pharyngealized breathy rounded close back vowel	+	+	ṳˤ	◌u ◌̤ ◌ˤ	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=%E1%B9%B3%CB%A4&inany=false&coreinv=on		vowel:high:back_rounded:pharyngealized:breathy				
ṳ̃	nasalized breathy rounded close back vowel	+	+	ṳ̃	◌u ◌̤ ◌̃	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=%E1%B9%B3%CC%83&inany=false&coreinv=on		vowel:lower_high:back_rounded:nasalized:breathy				
ṳ̃ˤ	pharyngealized nasalized breathy rounded close back vowel	+	+	ṳ̃ˤ	◌u ◌̤ ◌̃ ◌ˤ	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=%E1%B9%B3%CC%83%CB%A4&inany=false&coreinv=on		vowel:high:back_rounded:pharyngealized_nasalized:breathy				
ṵ	creaky rounded close back vowel		+	ṵ	◌u ◌̰	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=%E1%B9%B5&inany=false&coreinv=on		vowel:high:back_rounded:plain:creaky				
ṵː	long creaky rounded close back vowel	+	+	ṵː	◌u ◌̰ ◌ː	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=%E1%B9%B5%CB%90&inany=false&coreinv=on		vowel:high:back_rounded:plain:creaky_long				
ṽʲ	nasalized palatalized voiced labio-dental fricative consonant	+	+	ṽʲ	◌v ◌̃ ◌ʲ	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=%E1%B9%BD%CA%B2&inany=false&coreinv=on		conso:fricative:labiodental:voiced:nasalized_palatalized				
ẽ	nasalized unrounded close-mid front vowel		+	ẽ	◌e ◌̃	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=%E1%BA%BD&inany=false&coreinv=on		vowel:higher_mid:front_unrounded:nasalized:plain				
ẽː	long nasalized unrounded close-mid front vowel		+	ẽː	◌e ◌̃ ◌ː	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=%E1%BA%BD%CB%90&inany=false&coreinv=on		vowel:higher_mid:front_unrounded:nasalized:long				
ẽ̝	raised nasalized unrounded close-mid front vowel	+	+	ẽ̝	◌e ◌̝ ◌̃	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=%E1%BA%BD%CC%9D&inany=false&coreinv=on		vowel:raised_higher_mid:front_unrounded:nasalized:plain				
ẽ̤	nasalized breathy unrounded close-mid front vowel	+	+	ẽ̤	◌e ◌̤ ◌̃	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=%E1%BA%BD%CC%A4&inany=false&coreinv=on		vowel:higher_mid:front_unrounded:nasalized:breathy				
ẽ	nasalized unrounded close-mid front vowel		+	ẽⁿ	◌e ◌̃	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=%E1%BA%BD%E2%81%BF&inany=false&coreinv=on		vowel:higher_mid:front_unrounded:postnasalized:plain				
