BIPA_GRAPHEME	CLTS_NAME	GENERATED	EXPLICIT	GRAPHEME	SYMBOLS	URL	LATEX	FEATURES	SOUND	IMAGE	COUNT	NOTE
ɗ	voiced dental implosive consonant		+	ɗ	◌ɗ							
ɗ̥	devoiced voiced dental implosive consonant		+	ɗ̥	◌ɗ ◌̥							
ɘ	unrounded close-mid central vowel		+	ɘ	◌ɘ							
ə	unrounded mid central vowel		+	ə	◌ə							
əː	long unrounded mid central vowel		+	əː	◌ə ◌ː							
ə̃	nasalized unrounded mid central vowel		+	ə̃	◌ə ◌̃							
ə̃ː	long nasalized unrounded mid central vowel		+	ə̃ː	◌ə ◌̃ ◌ː							
ə̰	creaky unrounded mid central vowel		+	ə̰	◌ə ◌̰							
ə̰̃	nasalized creaky unrounded mid central vowel	+	+	ə̰̃	◌ə ◌̰ ◌̃							
ɛ	unrounded open-mid front vowel		+	ɛ	◌ɛ							
ɛː	long unrounded open-mid front vowel		+	ɛː	◌ɛ ◌ː							
ɛ̃	nasalized unrounded open-mid front vowel		+	ɛ̃	◌ɛ ◌̃							
ɛ̃ː	long nasalized unrounded open-mid front vowel		+	ɛ̃ː	◌ɛ ◌̃ ◌ː							
ɜ	unrounded open-mid central vowel		+	ɜ	◌ɜ							
ɟ	voiced palatal stop consonant		+	ɟ	◌ɟ							
ɟʝ	voiced palatal affricate consonant		+	ɟʝ	◌ɟ ◌ʝ							
ɟ̰	creaky voiced palatal stop consonant	+	+	ɟ̰	◌ɟ ◌̰							
ɠ	voiced velar implosive consonant		+	ɠ	◌ɠ							
g	voiced velar stop consonant		+	ɡ	◌g							
gʷ	labialized voiced velar stop consonant		+	ɡʷ	◌g ◌ʷ							
gː	long voiced velar stop consonant		+	ɡː	◌g ◌ː							
g̰	creaky voiced velar stop consonant	+	+	ɡ̰	◌g ◌̰							
ɢ	voiced uvular stop consonant		+	ɢ	◌ɢ							
ɣ	voiced velar fricative consonant		+	ɣ	◌ɣ							
ɣʷ	labialized voiced velar fricative consonant		+	ɣʷ	◌ɣ ◌ʷ							
ɤ	unrounded close-mid back vowel		+	ɤ	◌ɤ							
ɤː	long unrounded close-mid back vowel		+	ɤː	◌ɤ ◌ː							
ɤ̃	nasalized unrounded close-mid back vowel		+	ɤ̃	◌ɤ ◌̃							
ɨ	unrounded close central vowel		+	ɨ	◌ɨ							
ɨi	from unrounded close central to unrounded close front diphthong	+	+	ɨi	◌ɨ ◌i							
ɨː	long unrounded close central vowel		+	ɨː	◌ɨ ◌ː							
ɨ̃	nasalized unrounded close central vowel		+	ɨ̃	◌ɨ ◌̃							
ɨ̃ː	long nasalized unrounded close central vowel		+	ɨ̃ː	◌ɨ ◌̃ ◌ː							
ɨ̘	advanced-tongue-root unrounded close central vowel	+	+	ɨ̘	◌ɨ ◌̘							
ɨ̰	creaky unrounded close central vowel	+	+	ɨ̰	◌ɨ ◌̰							
ɪ	unrounded near-close near-front vowel		+	ɪ	◌ɪ							
ɪː	long unrounded near-close near-front vowel		+	ɪː	◌ɪ ◌ː							
ɪ̃	nasalized unrounded near-close near-front vowel		+	ɪ̃	◌ɪ ◌̃							
ɬ	voiceless alveolar lateral fricative consonant		+	ɬ	◌ɬ							
ɭ	voiced retroflex lateral approximant consonant		+	ɭ	◌ɭ							
ɭʲ	palatalized voiced retroflex lateral approximant consonant	+	+	ɭʲ	◌ɭ ◌ʲ							
ɮ	voiced alveolar lateral fricative consonant		+	ɮ	◌ɮ							
ɯ	unrounded close back vowel		+	ɯ	◌ɯ							
ɯi	from unrounded close back to unrounded close front diphthong	+	+	ɯi	◌ɯ ◌i							
ɯː	long unrounded close back vowel		+	ɯː	◌ɯ ◌ː							
ɯ̃	nasalized unrounded close back vowel		+	ɯ̃	◌ɯ ◌̃							
ɯ̃ː	long nasalized unrounded close back vowel		+	ɯ̃ː	◌ɯ ◌̃ ◌ː							
ɯ̰	creaky unrounded close back vowel	+	+	ɯ̰	◌ɯ ◌̰							
ɰ	voiced velar approximant consonant		+	ɰ	◌ɰ							
ɱ	voiced labio-dental nasal consonant		+	ɱ	◌ɱ							
ɲ	voiced palatal nasal consonant		+	ɲ	◌ɲ							
ɲʰ	aspirated voiced palatal nasal consonant	+	+	ɲʰ	◌ɲ ◌ʰ							
ɲː	long voiced palatal nasal consonant		+	ɲː	◌ɲ ◌ː							
ɲ̊	devoiced voiced palatal nasal consonant		+	ɲ̥	◌ɲ ◌̊							
