BIPA_GRAPHEME	CLTS_NAME	GENERATED	EXPLICIT	GRAPHEME	SYMBOLS	URL	LATEX	FEATURES	SOUND	IMAGE	COUNT	NOTE
ɨ	unrounded close central vowel		+	ɨ	◌ɨ						292	
ɨ̤	breathy unrounded close central vowel	+	+	ɨ̤	◌ɨ ◌̤						2	
ɨ̯	non-syllabic unrounded close central vowel	+	+	ɨ̯	◌ɨ ◌̯						2	
ɬ	voiceless alveolar lateral fricative consonant		+	ɬ	◌ɬ						165	
ɬʰ	aspirated voiceless alveolar lateral fricative consonant	+	+	ɬʰ	◌ɬ ◌ʰ						1	
ɬˀ	glottalized voiceless alveolar lateral fricative consonant	+	+	ɬˀ	◌ɬ ◌ˀ						6	
ɬː	long voiceless alveolar lateral fricative consonant	+	+	ɬː	◌ɬ ◌ː						1	
ɬ	voiceless alveolar lateral fricative consonant		+	ɬ̣	◌ɬ						2	
ɬ̪	voiceless dental lateral fricative consonant		+	ɬ̪	◌ɬ ◌̪						1	
ɮ	voiced alveolar lateral fricative consonant		+	ɮ	◌ɮ						19	
ɯ	unrounded close back vowel		+	ɯ	◌ɯ						113	
ɯ̌	unrounded close back with-rising_tone vowel	+	+	ɯ̌	◌ɯ ◌̌						1	
ɯ̯	non-syllabic unrounded close back vowel		+	ɯ̯	◌ɯ ◌̯						4	
ɱ	voiced labio-dental nasal consonant		+	ɱ	◌ɱ						1	
ɵ	rounded close-mid central vowel		+	ɵ	◌ɵ						22	
ɸ	voiceless bilabial fricative consonant		+	ɸ	◌ɸ						100	
ɸʲ	palatalized voiceless bilabial fricative consonant	+	+	ɸʲ	◌ɸ ◌ʲ						1	
ɸʷ	labialized voiceless bilabial fricative consonant	+	+	ɸʷ	◌ɸ ◌ʷ						2	
ɸˀ	glottalized voiceless bilabial fricative consonant	+	+	ɸˀ	◌ɸ ◌ˀ						1	
ɸˢ	with-sibilant-release voiceless bilabial fricative consonant	+	+	ɸˢ	◌ɸ ◌ˢ						1	
ɹ	voiced alveolar approximant consonant		+	ɹ	◌ɹ						22	
ɻ	voiced retroflex approximant consonant		+	ɹ̣	◌ɻ						98	
ɻ̥	voiceless retroflex approximant consonant		+	ɹ̣̥	◌ɻ ◌̥						1	
ɹ̥	devoiced voiced alveolar approximant consonant	+	+	ɹ̥	◌ɹ ◌̥						1	
ɾ	voiced alveolar tap consonant		+	ɾ	◌ɾ						465	
ɾ̃	nasalized voiced alveolar tap consonant	+	+	ɾ˜	◌ɾ ◌̃						3	
ɽ	voiced retroflex tap consonant		+	ɾ̣	◌ɽ						77	
ɾʱ	breathy voiced alveolar tap consonant	+	+	ɾ̤	◌ɾ ◌ʱ						2	
ɾ̥	devoiced voiced alveolar tap consonant		+	ɾ̥	◌ɾ ◌̥						7	
ʁ	voiced uvular fricative consonant		+	ʁ	◌ʁ						8	
ʁʷ	labialized voiced uvular fricative consonant	+	+	ʁʷ	◌ʁ ◌ʷ						3	
ʁˀ	glottalized voiced uvular fricative consonant	+	+	ʁˀ	◌ʁ ◌ˀ						0	
ʄ	voiced palatal implosive consonant		+	ʄ	◌ʄ						17	
ʉ	rounded close central vowel		+	ʉ	◌ʉ						31	
ʊ	rounded near-close near-back vowel		+	ʊ	◌ʊ						279	
ʊ̤	breathy rounded near-close near-back vowel	+	+	ʊ̤	◌ʊ ◌̤						2	
ʌ	unrounded open-mid back vowel		+	ʌ	◌ʌ						14	
ʎ	voiced palatal lateral approximant consonant		+	ʎ	◌ʎ						126	
ɭ	voiced retroflex lateral approximant consonant		+	ʎ̣	◌ɭ						1	
ʎ̥	devoiced voiced palatal lateral approximant consonant		+	ʎ̥	◌ʎ ◌̥						4	
ʔ	voiceless glottal stop consonant		+	ʔ	◌ʔ						898	
ʔʰ	aspirated voiceless glottal stop consonant	+	+	ʔʰ	◌ʔ ◌ʰ						1	
ʔʲ	palatalized voiceless glottal stop consonant		+	ʔʲ	◌ʔ ◌ʲ						1	
ʔʷ	labialized voiceless glottal stop consonant		+	ʔʷ	◌ʔ ◌ʷ						3	
ʔ̃	nasalized voiceless glottal stop consonant	+	+	ʔ˜	◌ʔ ◌̃						1	
ʕ	voiced pharyngeal fricative consonant		+	ʕ	◌ʕ						60	
ʕʷ	labialized voiced pharyngeal fricative consonant	+	+	ʕʷ	◌ʕ ◌ʷ						5	
ʕˀ	glottalized voiced pharyngeal fricative consonant	+	+	ʕˀ	◌ʕ ◌ˀ						4	
ʕʷˀ	labialized glottalized voiced pharyngeal fricative consonant	+	+	ʕˀʷ	◌ʕ ◌ʷ ◌ˀ						5	
ʘ	voiceless labial click consonant		+	ʘ	◌ʘ						5	
ʘʰ	aspirated voiceless labial click consonant	+	+	ʘʰ	◌ʘ ◌ʰ						3	
ʘʱ	breathy voiceless labial click consonant	+	+	ʘʱ	◌ʘ ◌ʱ						1	
ʘˀ	glottalized voiceless labial click consonant	+	+	ʘˀ	◌ʘ ◌ˀ						3	
ʮ	rounded close with-friction back vowel		+	ʮ	◌ʮ						116	
ʮˀ	glottalized rounded close with-friction back vowel	+	+	ʮˀ	◌ʮ ◌ˀ						1	
ʮː	long rounded close with-friction back vowel	+	+	ʮː	◌ʮ ◌ː						1	
ʯ	rounded close with-friction central vowel		+	ʯ	◌ʯ						140	
ʯˀ	glottalized rounded close with-friction central vowel	+	+	ʯˀ	◌ʯ ◌ˀ						2	
ⁿtʃ	pre-nasalized voiceless post-alveolar sibilant affricate consonant		+	ʰč	◌ⁿ ◌t ◌ʃ						2	
ʰcⁿ	pre-aspirated with-nasal-release voiceless palatal stop consonant	+	+	ʰcᴺ	◌ʰ ◌c ◌ⁿ						1	
ʰd	pre-aspirated voiced alveolar stop consonant	+	+	ʰd	◌ʰ ◌d						1	
ʰk	pre-aspirated voiceless velar stop consonant		+	ʰk	◌ʰ ◌k						3	
ʰp	pre-aspirated voiceless bilabial stop consonant		+	ʰp	◌ʰ ◌p						3	
ʰt	pre-aspirated voiceless alveolar stop consonant		+	ʰt	◌ʰ ◌t						3	
ʰtˢ	pre-aspirated with-sibilant-release voiceless alveolar stop consonant	+	+	ʰtˢ	◌ʰ ◌t ◌ˢ						2	
ˀb	pre-glottalized voiced bilabial stop consonant	+	+	ˀb	◌ˀ ◌b						42	
ˀbˡ	pre-glottalized with-lateral-release voiced bilabial stop consonant	+	+	ˀbˡ	◌ˀ ◌b ◌ˡ						2	
ˀc	pre-glottalized voiceless palatal stop consonant	+	+	ˀc	◌ˀ ◌c						3	
ˀd	pre-glottalized voiced alveolar stop consonant	+	+	ˀd	◌ˀ ◌d						22	
ˀd̪	pre-glottalized voiced dental stop consonant	+	+	ˀd̪	◌ˀ ◌d ◌̪						1	
ˀh	pre-glottalized voiceless glottal fricative consonant	+	+	ˀh	◌ˀ ◌h						1	
ˀj	pre-glottalized voiced palatal approximant consonant	+	+	ˀj	◌ˀ ◌j						53	
ˀk	pre-glottalized voiceless velar stop consonant	+	+	ˀk	◌ˀ ◌k						1	
ˀl	pre-glottalized voiced alveolar lateral approximant consonant	+	+	ˀl	◌ˀ ◌l						31	
ˀm	pre-glottalized voiced bilabial nasal consonant	+	+	ˀm	◌ˀ ◌m						41	
ˀn	pre-glottalized voiced alveolar nasal consonant	+	+	ˀn	◌ˀ ◌n						40	
ⁿǃ	pre-nasalized voiceless alveolar click consonant	+	+	ˀn!	◌ⁿ ◌ǃ						1	
ⁿǀ	pre-nasalized voiceless dental click consonant	+	+	ˀn/	◌ⁿ ◌ǀ						1	
ⁿǁ	pre-nasalized voiceless alveolar lateral click consonant	+	+	ˀnǁ	◌ⁿ ◌ǁ						1	
ⁿǂ	pre-nasalized voiceless palatal click consonant	+	+	ˀnǂ	◌ⁿ ◌ǂ						1	
ⁿʘ	pre-nasalized voiceless labial click consonant	+	+	ˀnʘ	◌ⁿ ◌ʘ						1	
ˀn̪	pre-glottalized voiced dental nasal consonant	+	+	ˀn̪	◌ˀ ◌n ◌̪						0	
ˀp	pre-glottalized voiceless bilabial stop consonant	+	+	ˀp	◌ˀ ◌p						1	
ˀr	pre-glottalized voiced alveolar trill consonant	+	+	ˀr	◌ˀ ◌r						9	
ˀs̪	pre-glottalized voiceless dental sibilant fricative consonant	+	+	ˀs̪	◌ˀ ◌s ◌̪						1	
ˀt	pre-glottalized voiceless alveolar stop consonant	+	+	ˀt	◌ˀ ◌t						2	
ˀt̪ʰ	pre-glottalized aspirated voiceless dental stop consonant	+	+	ˀt̪ʰ	◌ˀ ◌t ◌̪ ◌ʰ						2	
ˀv	pre-glottalized voiced labio-dental fricative consonant	+	+	ˀv	◌ˀ ◌v						1	
ˀw	pre-glottalized voiced labio-velar approximant consonant	+	+	ˀw	◌ˀ ◌w						41	
ˀz	pre-glottalized voiced alveolar sibilant fricative consonant	+	+	ˀz	◌ˀ ◌z						0	
ˀʐ	pre-glottalized voiced retroflex sibilant fricative consonant	+	+	ˀẓ	◌ˀ ◌ʐ						1	
ˀð	pre-glottalized voiced dental fricative consonant	+	+	ˀð	◌ˀ ◌ð						2	
ˀŋ	pre-glottalized voiced velar nasal consonant	+	+	ˀŋ	◌ˀ ◌ŋ						6	
ˀŋʷ	pre-glottalized labialized voiced velar nasal consonant	+	+	ˀŋʷ	◌ˀ ◌ŋ ◌ʷ						1	
ˀɖ	pre-glottalized voiced retroflex stop consonant	+	+	ˀɗ̣	◌ˀ ◌ɖ						1	
ˀɟ	pre-glottalized voiced palatal stop consonant	+	+	ˀɟ	◌ˀ ◌ɟ						3	
ˀdʒ	pre-glottalized voiced post-alveolar sibilant affricate consonant	+	+	ˀɡ̌	◌ˀ ◌d ◌ʒ						2	
ˀɣ	pre-glottalized voiced velar fricative consonant	+	+	ˀɣ	◌ˀ ◌ɣ						1	
ˀɾ	pre-glottalized voiced alveolar tap consonant	+	+	ˀɾ	◌ˀ ◌ɾ						4	
ˀʁ	pre-glottalized voiced uvular fricative consonant	+	+	ˀʁ	◌ˀ ◌ʁ						0	
ˀʁʷ	pre-glottalized labialized voiced uvular fricative consonant	+	+	ˀʁʷ	◌ˀ ◌ʁ ◌ʷ						0	
β	voiced bilabial fricative consonant		+	β	◌β						203	
βʲ	palatalized voiced bilabial fricative consonant	+	+	βʲ	◌β ◌ʲ						1	
βʷ	labialized voiced bilabial fricative consonant		+	βʷ	◌β ◌ʷ						3	
β̃	nasalized voiced bilabial fricative consonant	+	+	β˜	◌β ◌̃						1	
ⁿc	pre-nasalized voiceless palatal stop consonant	+	+	ᴺc	◌ⁿ ◌c						200	
ⁿǃ	pre-nasalized voiceless alveolar click consonant	+	+	ᵑ!	◌ⁿ ◌ǃ						1	
ⁿk	pre-nasalized voiceless velar stop consonant		+	ᵑk	◌ⁿ ◌k						4	
ⁿkʰ	pre-nasalized aspirated voiceless velar stop consonant	+	+	ᵑkʰ	◌ⁿ ◌k ◌ʰ						1	
ⁿkʷ	pre-nasalized labialized voiceless velar stop consonant		+	ᵑkʷ	◌ⁿ ◌k ◌ʷ						0	
ⁿǁ	pre-nasalized voiceless alveolar lateral click consonant	+	+	ᵑǁ	◌ⁿ ◌ǁ						1	
ⁿg	pre-nasalized voiced velar stop consonant		+	ᵑɡ	◌ⁿ ◌g						164	
ⁿgʷ	pre-nasalized labialized voiced velar stop consonant	+	+	ᵑɡʷ	◌ⁿ ◌g ◌ʷ						6	
ⁿgb	pre-nasalized voiced velar-and-bilabial stop consonant		+	ᵑͫɡb	◌ⁿ ◌g ◌b						5	
ⁿd	pre-nasalized voiced alveolar stop consonant		+	ⁿd	◌ⁿ ◌d						174	
ⁿdʲ	pre-nasalized palatalized voiced alveolar stop consonant	+	+	ⁿdʲ	◌ⁿ ◌d ◌ʲ						3	
ⁿdˡ	pre-nasalized with-lateral-release voiced alveolar stop consonant	+	+	ⁿdˡ	◌ⁿ ◌d ◌ˡ						1	
ⁿɖ	pre-nasalized voiced retroflex stop consonant	+	+	ⁿḍ	◌ⁿ ◌ɖ						7	
ⁿd̪	pre-nasalized voiced dental stop consonant		+	ⁿd̪	◌ⁿ ◌d ◌̪						1	
ⁿd̪ˢ	pre-nasalized with-sibilant-release voiced dental stop consonant	+	+	ⁿdᶻ	◌ⁿ ◌d ◌̪ ◌ˢ						13	
ⁿs	pre-nasalized voiceless alveolar sibilant fricative consonant	+	+	ⁿs	◌ⁿ ◌s						0	
ⁿt	pre-nasalized voiceless alveolar stop consonant		+	ⁿt	◌ⁿ ◌t						2	
ⁿtʰ	pre-nasalized aspirated voiceless alveolar stop consonant	+	+	ⁿtʰ	◌ⁿ ◌t ◌ʰ						1	
ⁿtˡˀ	pre-nasalized glottalized with-lateral-release voiceless alveolar stop consonant	+	+	ⁿtˡˀ	◌ⁿ ◌t ◌ˡ ◌ˀ						1	
ⁿtˢ	pre-nasalized with-sibilant-release voiceless alveolar stop consonant	+	+	ⁿtˢ	◌ⁿ ◌t ◌ˢ						1	
ⁿtˢʰ	pre-nasalized aspirated with-sibilant-release voiceless alveolar stop consonant	+	+	ⁿtˢʰ	◌ⁿ ◌t ◌ˢ ◌ʰ						1	
ⁿz	pre-nasalized voiced alveolar sibilant fricative consonant	+	+	ⁿz	◌ⁿ ◌z						12	
ⁿɾ	pre-nasalized voiced alveolar tap consonant	+	+	ⁿɾ	◌ⁿ ◌ɾ						1	
ⁿɟ̃	pre-nasalized nasalized voiced palatal stop consonant	+	+	ⁿ̃ɟ	◌ⁿ ◌ɟ ◌̃						20	
