BIPA_GRAPHEME	CLTS_NAME	GENERATED	EXPLICIT	GRAPHEME	SYMBOLS	URL	LATEX	FEATURES	SOUND	IMAGE	COUNT	NOTE
t̻	voiceless laminal alveolar stop consonant	+	+	t̻	◌t ◌̻			a laminal voiceless alveolar plosive	laminal_VL_alveolar_plosive.mp3	IPA-103-410.gif		
u̟	advanced rounded close back vowel	+	+	u̟	◌u ◌̟			an advanced close back rounded vowel	advanced_close_back_rounded.mp3	IPA-308-413.gif		
v	voiced labio-dental fricative consonant		+	v	◌v			a voiced labiodental fricative	V_labiodental_fricative.mp3	IPA-129.gif		
w	voiced labio-velar approximant consonant		+	w	◌w			a voiced labial-velar approximant	V_labial-velar_approximant.mp3	IPA-170.gif		
x	voiceless velar fricative consonant		+	x	◌x			a voiceless velar fricative	VL_velar_fricative.mp3	IPA-140.gif		
z	voiced alveolar sibilant fricative consonant		+	z	◌z			a voiced alveolar fricative	V_alveolar_fricative.mp3	IPA-133.gif		
ç	voiceless palatal sibilant fricative consonant		+	ç	◌c ◌̧			a voiceless palatal fricative	VL_palatal_fricative.mp3	IPA-138.gif		
ð	voiced dental fricative consonant		+	ð	◌ð			a voiced dental fricative	V_dental_fricative.mp3	IPA-131.gif		
ħ	voiceless pharyngeal fricative consonant		+	ħ	◌ħ			a voiceless pharyngeal fricative	VL_pharyngeal_fricative.mp3	IPA-144.gif		
ŋ	voiced velar nasal consonant		+	ŋ	◌ŋ			a voiced velar nasal	V_velar_nasal.mp3	IPA-119.gif		
ǀ	voiceless dental click consonant		+	ǀ	◌ǀ			a dental click	dental_click.mp3	IPA-177.gif		
ǁ	voiceless alveolar lateral click consonant		+	ǁ	◌ǁ			an alveolar lateral click	alveolar-lateral_click.mp3	IPA-180.gif		
ǂ	voiceless palatal click consonant		+	ǂ	◌ǂ			a palatoalveolar click	palatoalveolar_click.mp3	IPA-179.gif		
ǃ	voiceless alveolar click consonant		+	ǃ	◌ǃ			a postalveolar click	postalveolar_click.mp3	IPA-178.gif		
ɓ	voiced bilabial implosive consonant		+	ɓ	◌ɓ			a voiced bilabial implosive	V_bilabial_implosive.mp3	IPA-160.gif		
ɔ̜	less-rounded rounded open-mid back vowel	+	+	ɔ̜	◌ɔ ◌̜			a less rounded open-mid back rounded vowel	less-rounded_open-mid_back_rounded .mp3	IPA-306-412.gif		
ɔ̹	more-rounded rounded open-mid back vowel	+	+	ɔ̹	◌ɔ ◌̹			a more rounded open-mid back rounded vowel	more-rounded_open-mid_back_rounded .mp3	IPA-306-411.gif		
ɕ	voiceless alveolo-palatal sibilant fricative consonant		+	ɕ	◌ɕ			a voiceless alveolo-palatal fricative	VL_alveolo-palatal_fricative.mp3	IPA-182.gif		
ɖ	voiced retroflex stop consonant		+	ɖ	◌ɖ			a voiced retroflex plosive	V_retroflex_plosive.mp3	IPA-106.gif		
