BIPA_GRAPHEME	CLTS_NAME	GENERATED	EXPLICIT	GRAPHEME	SYMBOLS	URL	LATEX	FEATURES	SOUND	IMAGE	COUNT	NOTE
kʼʷ	labialized voiceless velar ejective stop consonant		+	kʼʷ	◌k ◌ʼ ◌ʷ	http://apics-online.info/parameters/173		labialized voiceless velar ejective plosive				
kː	long voiceless velar stop consonant		+	kː	◌k ◌ː	http://apics-online.info/parameters/227		geminate voiceless velar plosive				
kp	voiceless velar-and-bilabial stop consonant		+	k͡p	◌k ◌p	http://apics-online.info/parameters/151		voiceless labial-velar plosive				
l	voiced alveolar lateral approximant consonant		+	l	◌l	http://apics-online.info/parameters/209		voiced dental/alveolar lateral approximant				
lʲ	palatalized voiced alveolar lateral approximant consonant		+	lʲ	◌l ◌ʲ	http://apics-online.info/parameters/211		palatalized voiced lateral approximant				
lː	long voiced alveolar lateral approximant consonant		+	lː	◌l ◌ː	http://apics-online.info/parameters/210		geminate voiced lateral approximant				
m	voiced bilabial nasal consonant		+	m	◌m	http://apics-online.info/parameters/178		voiced bilabial nasal				
mː	long voiced bilabial nasal consonant		+	mː	◌m ◌ː	http://apics-online.info/parameters/229		geminate voiced bilabial nasal				
n	voiced alveolar nasal consonant		+	n	◌n	http://apics-online.info/parameters/179		voiced dental/alveolar nasal				
nː	long voiced alveolar nasal consonant		+	n:	◌n ◌ː	http://apics-online.info/parameters/230		geminate dental/alveolar nasal				
o	rounded close-mid back vowel		+	o	◌o	http://apics-online.info/parameters/258		higher mid back rounded vowel				
oi	from rounded close-mid back to unrounded close front diphthong	+	+	oi	◌o ◌i	http://apics-online.info/parameters/297		diphthong falling from higher mid back rounded vowel to high front unrounded vowel				
ou	from rounded close-mid back to rounded close back diphthong	+	+	ou	◌o ◌u	http://apics-online.info/parameters/303		diphthong falling from higher mid back rounded vowel to high back rounded vowel				
oː	long rounded close-mid back vowel		+	oː	◌o ◌ː	http://apics-online.info/parameters/280		long higher mid back rounded vowel				
õ	nasalized rounded close-mid back vowel		+	õ	◌o ◌̃	http://apics-online.info/parameters/290		nasalized higher mid back rounded vowel				
p	voiceless bilabial stop consonant		+	p	◌p	http://apics-online.info/parameters/131		voiceless bilabial plosive				
pʰ	aspirated voiceless bilabial stop consonant		+	pʰ	◌p ◌ʰ	http://apics-online.info/parameters/156		voiceless aspirated bilabial plosive				
pʼ	voiceless bilabial ejective stop consonant		+	pʼ	◌p ◌ʼ	http://apics-online.info/parameters/168		voiceless bilabial ejective plosive				
pː	long voiceless bilabial stop consonant		+	pː	◌p ◌ː	http://apics-online.info/parameters/223		geminate voiceless bilabial plosive				
q	voiceless uvular stop consonant		+	q	◌q	http://apics-online.info/parameters/153		voiceless uvular plosive				
qʰ	aspirated voiceless uvular stop consonant		+	qʰ	◌q ◌ʰ	http://apics-online.info/parameters/166		voiceless aspirated uvular plosive				
qʷʰ	labialized aspirated voiceless uvular stop consonant		+	qʰʷ	◌q ◌ʷ ◌ʰ	http://apics-online.info/parameters/167		labialized voiceless aspirated uvular plosive				
qʷ	labialized voiceless uvular stop consonant		+	qʷ	◌q ◌ʷ	http://apics-online.info/parameters/154		labialized voiceless uvular plosive				
qʼ	voiceless uvular ejective stop consonant		+	qʼ	◌q ◌ʼ	http://apics-online.info/parameters/174		voiceless uvular ejective plosive				
qʼʷ	labialized voiceless uvular ejective stop consonant		+	qʼʷ	◌q ◌ʼ ◌ʷ	http://apics-online.info/parameters/175		labialized voiceless uvular ejective plosive				
r	voiced alveolar trill consonant		+	r	◌r	http://apics-online.info/parameters/183		voiced dental/alveolar trill				
s	voiceless alveolar sibilant fricative consonant		+	s	◌s	http://apics-online.info/parameters/193		voiceless dental/alveolar sibilant fricative				
t	voiceless alveolar stop consonant		+	t	◌t	http://apics-online.info/parameters/133		voiceless dental/alveolar plosive				
tɬ	voiceless alveolar lateral affricate consonant		+	tɬ	◌t ◌ɬ	http://apics-online.info/parameters/213		voiceless lateral affricate				
tɬʼ	voiceless alveolar ejective lateral affricate consonant		+	tɬʼ	◌t ◌ɬ ◌ʼ	http://apics-online.info/parameters/214		voiceless lateral ejective affricate				
tʰ	aspirated voiceless alveolar stop consonant		+	tʰ	◌t ◌ʰ	http://apics-online.info/parameters/158		voiceless aspirated dental/alveolar plosive				
tʼ	voiceless alveolar ejective stop consonant		+	tʼ	◌t ◌ʼ	http://apics-online.info/parameters/169		voiceless dental/alveolar ejective plosive				
tː	long voiceless alveolar stop consonant		+	tː	◌t ◌ː	http://apics-online.info/parameters/225		geminate voiceless dental/alveolar plosive				
t̪	voiceless dental stop consonant		+	t̪	◌t ◌̪	http://apics-online.info/parameters/135		voiceless interdental plosive				
ts	voiceless alveolar sibilant affricate consonant		+	t͡s	◌t ◌s	http://apics-online.info/parameters/137		voiceless dental/alveolar sibilant affricate				
tsʰ	aspirated voiceless alveolar sibilant affricate consonant		+	t͡sʰ	◌t ◌s ◌ʰ	http://apics-online.info/parameters/160		voiceless aspirated dental/alveolar sibilant affricate				
tsʼ	voiceless alveolar ejective sibilant affricate consonant		+	t͡sʼ	◌t ◌s ◌ʼ	http://apics-online.info/parameters/170		voiceless dental/alveolar sibilant ejective affricate				
tʃ	voiceless post-alveolar sibilant affricate consonant		+	t͡ʃ	◌t ◌ʃ	http://apics-online.info/parameters/139		voiceless palato-alveolar sibilant affricate				
tʃʰ	aspirated voiceless post-alveolar sibilant affricate consonant		+	t͡ʃʰ	◌t ◌ʃ ◌ʰ	http://apics-online.info/parameters/161		voiceless aspirated palato-alveolar sibilant affricate				
tʃʼ	voiceless post-alveolar ejective sibilant affricate consonant		+	t͡ʃʼ	◌t ◌ʃ ◌ʼ	http://apics-online.info/parameters/171		voiceless palato-alveolar sibilant ejective affricate				
u	rounded close back vowel		+	u	◌u	http://apics-online.info/parameters/257		high back rounded vowel				
ui	from rounded close back to unrounded close front diphthong	+	+	ui	◌u ◌i	http://apics-online.info/parameters/299		diphthong going from high back rounded vowel to high front unrounded vowel				
uə	from rounded close back to unrounded mid central diphthong	+	+	uə	◌u ◌ə	http://apics-online.info/parameters/307		diphthong with high back rounded vowel and nonsyllabic mid central unrounded vowel				
uː	long rounded close back vowel		+	uː	◌u ◌ː	http://apics-online.info/parameters/279		long high back rounded vowel				
ũ	nasalized rounded close back vowel		+	ũ	◌u ◌̃	http://apics-online.info/parameters/289		nasalized high back rounded vowel				
v	voiced labio-dental fricative consonant		+	v	◌v	http://apics-online.info/parameters/190		voiced labio-dental fricative				
w	voiced labio-velar approximant consonant		+	w	◌w	http://apics-online.info/parameters/221		voiced labial-velar glide				
x	voiceless velar fricative consonant		+	x	◌x	http://apics-online.info/parameters/199		voiceless velar fricative				
xʷ	labialized voiceless velar fricative consonant		+	xʷ	◌x ◌ʷ	http://apics-online.info/parameters/200		labialized voiceless velar fricative				
y	rounded close front vowel		+	y	◌y	http://apics-online.info/parameters/261		high front rounded vowel				
yː	long rounded close front vowel		+	yː	◌y ◌ː	http://apics-online.info/parameters/284		long high front rounded vowel				
z	voiced alveolar sibilant fricative consonant		+	z	◌z	http://apics-online.info/parameters/194		voiced dental/alveolar sibilant fricative				
æ	unrounded near-open front vowel		+	æ	◌æ	http://apics-online.info/parameters/255		raised low front unrounded vowel				
æː	long unrounded near-open front vowel		+	æː	◌æ ◌ː	http://apics-online.info/parameters/277		long raised low front unrounded vowel				
ç	voiceless palatal sibilant fricative consonant		+	ç	◌c ◌̧	http://apics-online.info/parameters/198		voiceless palatal fricative				
ð	voiced dental fricative consonant		+	ð	◌ð	http://apics-online.info/parameters/192		voiced dental fricative				
