BIPA_GRAPHEME	CLTS_NAME	GENERATED	EXPLICIT	GRAPHEME	SYMBOLS	URL	LATEX	FEATURES	SOUND	IMAGE	COUNT	NOTE
ḭ̃ə̰̃	from nasalized creaky unrounded close front to nasalized creaky unrounded mid central diphthong	+	+	ḭ̃ə̰̃	◌i ◌̰ ◌̃ ◌ə ◌̰ ◌̃			laryngealized diphtong high higher mid front central unrounded lowering backing nasalizing				
ɔ̰	creaky rounded open-mid back vowel		+	ɔ̰	◌ɔ ◌̰			laryngealized lower mid back rounded				
tʼʲ	palatalized voiceless alveolar ejective stop consonant	+	+	tʲʼ	◌t ◌ʼ ◌ʲ			ejective stop palatalized alveolar				
ḭḛ	from creaky unrounded close front to creaky unrounded close-mid front diphthong	+	+	ḭḛ	◌i ◌̰ ◌e ◌̰			laryngealized diphtong high higher mid front unrounded lowering				
ɟˡ	with-lateral-release voiced palatal stop consonant	+	+	ɟʎ	◌ɟ ◌ˡ			pulmonic stop approximant lateral voiced palatal				
o̰ḛ	from creaky rounded close-mid back to creaky unrounded close-mid front diphthong	+	+	o̰ḛ	◌o ◌̰ ◌e ◌̰			laryngealized diphtong higher mid front back unrounded rounded fronting unrounding				
ʰtʃ	pre-aspirated voiceless post-alveolar sibilant affricate consonant	+	+	ʰt̠ʃ	◌ʰ ◌t ◌ʃ			pulmonic affricate sibilant pre-aspirated voiceless palato-alveolar				
tsʲʰ	palatalized aspirated voiceless alveolar sibilant affricate consonant	+	+	tsʲʰ	◌t ◌s ◌ʲ ◌ʰ			pulmonic affricate sibilant aspirated voiceless palatalized unspecified coronal place				
nˤ	pharyngealized voiced alveolar nasal consonant		+	nˤ	◌n ◌ˤ			pulmonic nasal voiced pharyngealized unspecified coronal place				
l̪̰	creaky voiced dental lateral approximant consonant	+	+	l̪̰	◌l ◌̪ ◌̰			pulmonic approximant lateral voiced laryngealized dental				
ŋ̰	creaky voiced velar nasal consonant	+	+	ŋ̰	◌ŋ ◌̰			pulmonic nasal voiced laryngealized velar				
rʲː	palatalized long voiced alveolar trill consonant	+	+	rrʲ	◌r ◌ʲ ◌ː			pulmonic unspecified rhotic voiced palatalized unspecified coronal place				
ɖⁿ	with-nasal-release voiced retroflex stop consonant	+	+	ɖɳ	◌ɖ ◌ⁿ			pulmonic stop voiced retroflex				
ɖˡ	with-lateral-release voiced retroflex stop consonant	+	+	ɖɭ	◌ɖ ◌ˡ			pulmonic stop approximant lateral voiced retroflex				
dⁿ	with-nasal-release voiced alveolar stop consonant		+	dn	◌d ◌ⁿ			pulmonic stop voiced alveolar				
l̠̥	devoiced voiced post-alveolar lateral approximant consonant	+	+	l̠̥	◌l ◌̠ ◌̥			pulmonic approximant lateral voiceless palato-alveolar				
ã̰ḭ̃	from nasalized creaky unrounded open front to nasalized creaky unrounded close front diphthong	+	+	ã̰ḭ̃	◌a ◌̰ ◌̃ ◌i ◌̰ ◌̃			nasalized laryngealized diphtong high low front central unrounded rising fronting				
kː	long voiceless velar stop consonant		+	kː	◌k ◌ː			pulmonic stop voiceless long velar				
ⁿdʷ	pre-nasalized labialized voiced alveolar stop consonant	+	+	ndʷ	◌ⁿ ◌d ◌ʷ			pulmonic stop prenasalized voiced labialized alveolar				
oɛ	from rounded close-mid back to unrounded open-mid front diphthong	+	+	oɛ	◌o ◌ɛ			diphtong higher mid lower mid front back unrounded rounded lowering fronting unrounding				
eə	from unrounded close-mid front to unrounded mid central diphthong	+	+	eə	◌e ◌ə			diphtong higher mid front central unrounded backing				
nʷ	labialized voiced alveolar nasal consonant	+	+	nʷ	◌n ◌ʷ			pulmonic nasal voiced labialized unspecified coronal place				
ʂʼ	voiceless retroflex ejective sibilant fricative consonant	+	+	ʂʼ	◌ʂ ◌ʼ			ejective fricative sibilant retroflex				
a̰ḭ	from creaky unrounded open front to creaky unrounded close front diphthong	+	+	a̰ḭ	◌a ◌̰ ◌i ◌̰			laryngealized diphtong high low front central unrounded rising fronting				
ᶑ̥	devoiced voiced retroflex implosive consonant	+	+	ᶑ̥	◌ᶑ ◌̥			implosive stop voiceless retroflex				
ḭə̰	from creaky unrounded close front to creaky unrounded mid central diphthong	+	+	ḭə̰	◌i ◌̰ ◌ə ◌̰			laryngealized diphtong high higher mid front central unrounded lowering backing				
ɛ̰̃	nasalized creaky unrounded open-mid front vowel	+	+	ɛ̰̃	◌ɛ ◌̰ ◌̃			nasalized laryngealized lower mid front unrounded				
o̤	breathy rounded close-mid back vowel		+	o̤	◌o ◌̤			breathy voiced higher mid back rounded				
a̰ṵ	from creaky unrounded open front to creaky rounded close back diphthong	+	+	a̰ṵ	◌a ◌̰ ◌u ◌̰			laryngealized diphtong high low central back unrounded rounded rising backing rounding				
kʲʰ	palatalized aspirated voiceless velar stop consonant	+	+	kʰʲ	◌k ◌ʲ ◌ʰ			pulmonic stop aspirated voiceless palatalized velar				
ẽə̃	from nasalized unrounded close-mid front to nasalized unrounded mid central diphthong	+	+	ẽə̃	◌e ◌̃ ◌ə ◌̃			diphtong higher mid front central unrounded backing nasalizing				
ṵə̰	from creaky rounded close back to creaky unrounded mid central diphthong	+	+	ṵə̰	◌u ◌̰ ◌ə ◌̰			laryngealized diphtong high higher mid central back unrounded rounded lowering fronting unrounding				
ə˞	rhotacized unrounded mid central vowel		+	ə˞	◌ə ◌˞			unspecified mid central unrounded rhotacized				
tː	long voiceless alveolar stop consonant		+	tː	◌t ◌ː			pulmonic stop voiceless long alveolar				
ɒ̃ː	long nasalized rounded open back vowel		+	ɒ̃ː	◌ɒ ◌̃ ◌ː			nasalized long low back rounded				
