BIPA_GRAPHEME	CLTS_NAME	GENERATED	EXPLICIT	GRAPHEME	SYMBOLS	URL	LATEX	FEATURES	SOUND	IMAGE	COUNT	NOTE
ʟʷˤ	labialized pharyngealized voiced velar lateral approximant consonant	+	+	ʟʷˤ	◌ʟ ◌ʷ ◌ˤ			-syl +son +cons +cont +lat -nas +voi -sg -cg -ant -cor -lab +hi +lo +back +round -velaric -long				
ʟˀ	glottalized voiced velar lateral approximant consonant	+	+	ʟˀ	◌ʟ ◌ˀ			-syl +son +cons +cont +lat -nas +voi -sg +cg -ant -cor -lab +hi -lo -round -velaric -long				
ʟː	long voiced velar lateral approximant consonant	+	+	ʟː	◌ʟ ◌ː			-syl +son +cons +cont +lat -nas +voi -sg -cg -ant -cor -lab +hi -lo -round -velaric +long				
ʟʲː	palatalized long voiced velar lateral approximant consonant	+	+	ʟːʲ	◌ʟ ◌ʲ ◌ː			-syl +son +cons +cont +lat -nas +voi -sg -cg -ant -cor -lab +hi -lo -back -round -velaric +long				
ʟʷː	labialized long voiced velar lateral approximant consonant	+	+	ʟːʷ	◌ʟ ◌ʷ ◌ː			-syl +son +cons +cont +lat -nas +voi -sg -cg -ant -cor -lab +hi -lo +back +round -velaric +long				
ʟˠː	velarized long voiced velar lateral approximant consonant	+	+	ʟːˠ	◌ʟ ◌ˠ ◌ː			-syl +son +cons +cont +lat -nas +voi -sg -cg -ant -cor -lab +hi -lo +back -round -velaric +long				
ʟˤː	pharyngealized long voiced velar lateral approximant consonant	+	+	ʟːˤ	◌ʟ ◌ˤ ◌ː			-syl +son +cons +cont +lat -nas +voi -sg -cg -ant -cor -lab +hi +lo +back -round -velaric +long				
ʟˤ	pharyngealized voiced velar lateral approximant consonant	+	+	ʟˤ	◌ʟ ◌ˤ			-syl +son +cons +cont +lat -nas +voi -sg -cg -ant -cor -lab +hi +lo +back -round -velaric -long				
ʟˤː	pharyngealized long voiced velar lateral approximant consonant	+	+	ʟˤː	◌ʟ ◌ˤ ◌ː			-syl +son +cons +cont +lat -nas +voi -sg -cg -ant -cor -lab +hi +lo +back -round -velaric +long				
ʟ̃	nasalized voiced velar lateral approximant consonant	+	+	ʟ̃	◌ʟ ◌̃			-syl +son +cons +cont +lat +nas +voi -sg -cg -ant -cor -lab +hi -lo -round -velaric -long				
