ID	NAME	FEATURES	TYPE	GRAPHEME	UNICODE	GENERATED	NOTE
pharyngealized_voiced_bilabial_affricate_consonant	pharyngealized voiced bilabial affricate consonant	consonant_pharyngealization_pharyngealized consonant_phonation_voiced consonant_place_bilabial consonant_manner_affricate	consonant	bβˤ	LATIN SMALL LETTER B / GREEK SMALL LETTER BETA / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_voiced_alveolo-palatal_sibilant_fricative_consonant	pharyngealized voiced alveolo-palatal sibilant fricative consonant	consonant_pharyngealization_pharyngealized consonant_phonation_voiced consonant_place_alveolo-palatal consonant_airstream_sibilant consonant_manner_fricative	consonant	ʑˤ	LATIN SMALL LETTER Z WITH CURL / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_voiced_alveolo-palatal_sibilant_affricate_consonant	pharyngealized voiced alveolo-palatal sibilant affricate consonant	consonant_pharyngealization_pharyngealized consonant_phonation_voiced consonant_place_alveolo-palatal consonant_airstream_sibilant consonant_manner_affricate	consonant	dʑˤ	LATIN SMALL LETTER D / LATIN SMALL LETTER Z WITH CURL / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_voiced_alveolar_trill_consonant	pharyngealized voiced alveolar trill consonant	consonant_pharyngealization_pharyngealized consonant_phonation_voiced consonant_place_alveolar consonant_manner_trill	consonant	rˤ	LATIN SMALL LETTER R / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP		
pharyngealized_voiced_alveolar_tap_consonant	pharyngealized voiced alveolar tap consonant	consonant_pharyngealization_pharyngealized consonant_phonation_voiced consonant_place_alveolar consonant_manner_tap	consonant	ɾˤ	LATIN SMALL LETTER R WITH FISHHOOK / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_voiced_alveolar_stop_consonant	pharyngealized voiced alveolar stop consonant	consonant_pharyngealization_pharyngealized consonant_phonation_voiced consonant_place_alveolar consonant_manner_stop	consonant	dˤ	LATIN SMALL LETTER D / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP		
pharyngealized_voiced_alveolar_sibilant_fricative_consonant	pharyngealized voiced alveolar sibilant fricative consonant	consonant_pharyngealization_pharyngealized consonant_phonation_voiced consonant_place_alveolar consonant_airstream_sibilant consonant_manner_fricative	consonant	zˤ	LATIN SMALL LETTER Z / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_voiced_alveolar_sibilant_affricate_consonant	pharyngealized voiced alveolar sibilant affricate consonant	consonant_pharyngealization_pharyngealized consonant_phonation_voiced consonant_place_alveolar consonant_airstream_sibilant consonant_manner_affricate	consonant	dzˤ	LATIN SMALL LETTER D / LATIN SMALL LETTER Z / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_voiced_alveolar_nasal_consonant	pharyngealized voiced alveolar nasal consonant	consonant_pharyngealization_pharyngealized consonant_phonation_voiced consonant_place_alveolar consonant_manner_nasal	consonant	nˤ	LATIN SMALL LETTER N / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP		
pharyngealized_voiced_alveolar_lateral_tap_consonant	pharyngealized voiced alveolar lateral tap consonant	consonant_pharyngealization_pharyngealized consonant_phonation_voiced consonant_place_alveolar consonant_airstream_lateral consonant_manner_tap	consonant	ɺˤ	LATIN SMALL LETTER TURNED R WITH LONG LEG / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_voiced_alveolar_lateral_fricative_consonant	pharyngealized voiced alveolar lateral fricative consonant	consonant_pharyngealization_pharyngealized consonant_phonation_voiced consonant_place_alveolar consonant_airstream_lateral consonant_manner_fricative	consonant	ɮˤ	LATIN SMALL LETTER LEZH / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_voiced_alveolar_lateral_approximant_consonant	pharyngealized voiced alveolar lateral approximant consonant	consonant_pharyngealization_pharyngealized consonant_phonation_voiced consonant_place_alveolar consonant_airstream_lateral consonant_manner_approximant	consonant	lˤ	LATIN SMALL LETTER L / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_voiced_alveolar_lateral_affricate_consonant	pharyngealized voiced alveolar lateral affricate consonant	consonant_pharyngealization_pharyngealized consonant_phonation_voiced consonant_place_alveolar consonant_airstream_lateral consonant_manner_affricate	consonant	dɮˤ	LATIN SMALL LETTER D / LATIN SMALL LETTER LEZH / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_voiced_alveolar_ejective_stop_consonant	pharyngealized voiced alveolar ejective stop consonant	consonant_pharyngealization_pharyngealized consonant_phonation_voiced consonant_place_alveolar consonant_ejection_ejective consonant_manner_stop	consonant	dʼˤ	LATIN SMALL LETTER D / MODIFIER LETTER APOSTROPHE / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_voiced_alveolar_ejective_sibilant_fricative_consonant	pharyngealized voiced alveolar ejective sibilant fricative consonant	consonant_pharyngealization_pharyngealized consonant_phonation_voiced consonant_place_alveolar consonant_ejection_ejective consonant_airstream_sibilant consonant_manner_fricative	consonant	zʼˤ	LATIN SMALL LETTER Z / MODIFIER LETTER APOSTROPHE / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_voiced_alveolar_ejective_nasal_consonant	pharyngealized voiced alveolar ejective nasal consonant	consonant_pharyngealization_pharyngealized consonant_phonation_voiced consonant_place_alveolar consonant_ejection_ejective consonant_manner_nasal	consonant	nʼˤ	LATIN SMALL LETTER N / MODIFIER LETTER APOSTROPHE / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_voiced_alveolar_ejective_lateral_approximant_consonant	pharyngealized voiced alveolar ejective lateral approximant consonant	consonant_pharyngealization_pharyngealized consonant_phonation_voiced consonant_place_alveolar consonant_ejection_ejective consonant_airstream_lateral consonant_manner_approximant	consonant	lʼˤ	LATIN SMALL LETTER L / MODIFIER LETTER APOSTROPHE / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_voiced_alveolar_approximant_consonant	pharyngealized voiced alveolar approximant consonant	consonant_pharyngealization_pharyngealized consonant_phonation_voiced consonant_place_alveolar consonant_manner_approximant	consonant	ɹˤ	LATIN SMALL LETTER TURNED R / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_unrounded_open-mid_front_vowel	pharyngealized unrounded open-mid front vowel	vowel_pharyngealization_pharyngealized vowel_roundedness_unrounded vowel_height_open-mid vowel_centrality_front	vowel	ɛˤ	LATIN SMALL LETTER OPEN E / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_unrounded_open-mid_central_vowel	pharyngealized unrounded open-mid central vowel	vowel_pharyngealization_pharyngealized vowel_roundedness_unrounded vowel_height_open-mid vowel_centrality_central	vowel	ɜˤ	LATIN SMALL LETTER REVERSED OPEN E / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_unrounded_open-mid_back_vowel	pharyngealized unrounded open-mid back vowel	vowel_pharyngealization_pharyngealized vowel_roundedness_unrounded vowel_height_open-mid vowel_centrality_back	vowel	ʌˤ	LATIN SMALL LETTER TURNED V / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_unrounded_open_front_vowel	pharyngealized unrounded open front vowel	vowel_pharyngealization_pharyngealized vowel_roundedness_unrounded vowel_height_open vowel_centrality_front	vowel	aˤ	LATIN SMALL LETTER A / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_unrounded_open_back_vowel	pharyngealized unrounded open back vowel	vowel_pharyngealization_pharyngealized vowel_roundedness_unrounded vowel_height_open vowel_centrality_back	vowel	ɑˤ	LATIN SMALL LETTER ALPHA / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_unrounded_near-open_front_vowel	pharyngealized unrounded near-open front vowel	vowel_pharyngealization_pharyngealized vowel_roundedness_unrounded vowel_height_near-open vowel_centrality_front	vowel	æˤ	LATIN SMALL LETTER AE / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_unrounded_near-open_central_vowel	pharyngealized unrounded near-open central vowel	vowel_pharyngealization_pharyngealized vowel_roundedness_unrounded vowel_height_near-open vowel_centrality_central	vowel	ɐˤ	LATIN SMALL LETTER TURNED A / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_unrounded_near-close_near-front_vowel	pharyngealized unrounded near-close near-front vowel	vowel_pharyngealization_pharyngealized vowel_roundedness_unrounded vowel_height_near-close vowel_centrality_near-front	vowel	ɪˤ	LATIN LETTER SMALL CAPITAL I / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_unrounded_mid_front_vowel	pharyngealized unrounded mid front vowel	vowel_pharyngealization_pharyngealized vowel_roundedness_unrounded vowel_height_mid vowel_centrality_front	vowel	e̞ˤ	LATIN SMALL LETTER E / COMBINING DOWN TACK BELOW / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_unrounded_mid_central_vowel	pharyngealized unrounded mid central vowel	vowel_pharyngealization_pharyngealized vowel_roundedness_unrounded vowel_height_mid vowel_centrality_central	vowel	əˤ	LATIN SMALL LETTER SCHWA / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_unrounded_close-mid_front_vowel	pharyngealized unrounded close-mid front vowel	vowel_pharyngealization_pharyngealized vowel_roundedness_unrounded vowel_height_close-mid vowel_centrality_front	vowel	eˤ	LATIN SMALL LETTER E / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_unrounded_close-mid_central_vowel	pharyngealized unrounded close-mid central vowel	vowel_pharyngealization_pharyngealized vowel_roundedness_unrounded vowel_height_close-mid vowel_centrality_central	vowel	ɘˤ	LATIN SMALL LETTER REVERSED E / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_unrounded_close-mid_back_vowel	pharyngealized unrounded close-mid back vowel	vowel_pharyngealization_pharyngealized vowel_roundedness_unrounded vowel_height_close-mid vowel_centrality_back	vowel	ɤˤ	LATIN SMALL LETTER RAMS HORN / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_unrounded_close_front_vowel	pharyngealized unrounded close front vowel	vowel_pharyngealization_pharyngealized vowel_roundedness_unrounded vowel_height_close vowel_centrality_front	vowel	iˤ	LATIN SMALL LETTER I / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_unrounded_close_central_vowel	pharyngealized unrounded close central vowel	vowel_pharyngealization_pharyngealized vowel_roundedness_unrounded vowel_height_close vowel_centrality_central	vowel	ɨˤ	LATIN SMALL LETTER I WITH STROKE / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_unrounded_close_back_vowel	pharyngealized unrounded close back vowel	vowel_pharyngealization_pharyngealized vowel_roundedness_unrounded vowel_height_close vowel_centrality_back	vowel	ɯˤ	LATIN SMALL LETTER TURNED M / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_rounded_open-mid_front_vowel	pharyngealized rounded open-mid front vowel	vowel_pharyngealization_pharyngealized vowel_roundedness_rounded vowel_height_open-mid vowel_centrality_front	vowel	œˤ	LATIN SMALL LIGATURE OE / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_rounded_open-mid_central_vowel	pharyngealized rounded open-mid central vowel	vowel_pharyngealization_pharyngealized vowel_roundedness_rounded vowel_height_open-mid vowel_centrality_central	vowel	ɞˤ	LATIN SMALL LETTER CLOSED REVERSED OPEN E / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_rounded_open-mid_back_vowel	pharyngealized rounded open-mid back vowel	vowel_pharyngealization_pharyngealized vowel_roundedness_rounded vowel_height_open-mid vowel_centrality_back	vowel	ɔˤ	LATIN SMALL LETTER OPEN O / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_rounded_open_front_vowel	pharyngealized rounded open front vowel	vowel_pharyngealization_pharyngealized vowel_roundedness_rounded vowel_height_open vowel_centrality_front	vowel	ɶˤ	LATIN LETTER SMALL CAPITAL OE / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_rounded_open_back_vowel	pharyngealized rounded open back vowel	vowel_pharyngealization_pharyngealized vowel_roundedness_rounded vowel_height_open vowel_centrality_back	vowel	ɒˤ	LATIN SMALL LETTER TURNED ALPHA / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_rounded_near-close_near-front_vowel	pharyngealized rounded near-close near-front vowel	vowel_pharyngealization_pharyngealized vowel_roundedness_rounded vowel_height_near-close vowel_centrality_near-front	vowel	ʏˤ	LATIN LETTER SMALL CAPITAL Y / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_rounded_near-close_near-back_vowel	pharyngealized rounded near-close near-back vowel	vowel_pharyngealization_pharyngealized vowel_roundedness_rounded vowel_height_near-close vowel_centrality_near-back	vowel	ʊˤ	LATIN SMALL LETTER UPSILON / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_rounded_mid_front_vowel	pharyngealized rounded mid front vowel	vowel_pharyngealization_pharyngealized vowel_roundedness_rounded vowel_height_mid vowel_centrality_front	vowel	ø̞ˤ	LATIN SMALL LETTER O WITH STROKE / COMBINING DOWN TACK BELOW / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_rounded_mid_back_vowel	pharyngealized rounded mid back vowel	vowel_pharyngealization_pharyngealized vowel_roundedness_rounded vowel_height_mid vowel_centrality_back	vowel	o̞ˤ	LATIN SMALL LETTER O / COMBINING DOWN TACK BELOW / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_rounded_close-mid_front_vowel	pharyngealized rounded close-mid front vowel	vowel_pharyngealization_pharyngealized vowel_roundedness_rounded vowel_height_close-mid vowel_centrality_front	vowel	øˤ	LATIN SMALL LETTER O WITH STROKE / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_rounded_close-mid_central_vowel	pharyngealized rounded close-mid central vowel	vowel_pharyngealization_pharyngealized vowel_roundedness_rounded vowel_height_close-mid vowel_centrality_central	vowel	ɵˤ	LATIN SMALL LETTER BARRED O / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_rounded_close-mid_back_vowel	pharyngealized rounded close-mid back vowel	vowel_pharyngealization_pharyngealized vowel_roundedness_rounded vowel_height_close-mid vowel_centrality_back	vowel	oˤ	LATIN SMALL LETTER O / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP		
pharyngealized_rounded_close_front_vowel	pharyngealized rounded close front vowel	vowel_pharyngealization_pharyngealized vowel_roundedness_rounded vowel_height_close vowel_centrality_front	vowel	yˤ	LATIN SMALL LETTER Y / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_rounded_close_central_vowel	pharyngealized rounded close central vowel	vowel_pharyngealization_pharyngealized vowel_roundedness_rounded vowel_height_close vowel_centrality_central	vowel	ʉˤ	LATIN SMALL LETTER U BAR / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_rounded_close_back_vowel	pharyngealized rounded close back vowel	vowel_pharyngealization_pharyngealized vowel_roundedness_rounded vowel_height_close vowel_centrality_back	vowel	uˤ	LATIN SMALL LETTER U / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_nasalized_unrounded_open-mid_front_vowel	pharyngealized nasalized unrounded open-mid front vowel	vowel_pharyngealization_pharyngealized vowel_nasalization_nasalized vowel_roundedness_unrounded vowel_height_open-mid vowel_centrality_front	vowel	ɛ̃ˤ	LATIN SMALL LETTER OPEN E / COMBINING TILDE / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_nasalized_unrounded_open-mid_central_vowel	pharyngealized nasalized unrounded open-mid central vowel	vowel_pharyngealization_pharyngealized vowel_nasalization_nasalized vowel_roundedness_unrounded vowel_height_open-mid vowel_centrality_central	vowel	ɜ̃ˤ	LATIN SMALL LETTER REVERSED OPEN E / COMBINING TILDE / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_nasalized_unrounded_open-mid_back_vowel	pharyngealized nasalized unrounded open-mid back vowel	vowel_pharyngealization_pharyngealized vowel_nasalization_nasalized vowel_roundedness_unrounded vowel_height_open-mid vowel_centrality_back	vowel	ʌ̃ˤ	LATIN SMALL LETTER TURNED V / COMBINING TILDE / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_nasalized_unrounded_open_front_vowel	pharyngealized nasalized unrounded open front vowel	vowel_pharyngealization_pharyngealized vowel_nasalization_nasalized vowel_roundedness_unrounded vowel_height_open vowel_centrality_front	vowel	ãˤ	LATIN SMALL LETTER A / COMBINING TILDE / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_nasalized_unrounded_open_back_vowel	pharyngealized nasalized unrounded open back vowel	vowel_pharyngealization_pharyngealized vowel_nasalization_nasalized vowel_roundedness_unrounded vowel_height_open vowel_centrality_back	vowel	ɑ̃ˤ	LATIN SMALL LETTER ALPHA / COMBINING TILDE / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_nasalized_unrounded_near-open_front_vowel	pharyngealized nasalized unrounded near-open front vowel	vowel_pharyngealization_pharyngealized vowel_nasalization_nasalized vowel_roundedness_unrounded vowel_height_near-open vowel_centrality_front	vowel	æ̃ˤ	LATIN SMALL LETTER AE / COMBINING TILDE / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_nasalized_unrounded_near-open_central_vowel	pharyngealized nasalized unrounded near-open central vowel	vowel_pharyngealization_pharyngealized vowel_nasalization_nasalized vowel_roundedness_unrounded vowel_height_near-open vowel_centrality_central	vowel	ɐ̃ˤ	LATIN SMALL LETTER TURNED A / COMBINING TILDE / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_nasalized_unrounded_near-close_near-front_vowel	pharyngealized nasalized unrounded near-close near-front vowel	vowel_pharyngealization_pharyngealized vowel_nasalization_nasalized vowel_roundedness_unrounded vowel_height_near-close vowel_centrality_near-front	vowel	ɪ̃ˤ	LATIN LETTER SMALL CAPITAL I / COMBINING TILDE / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_nasalized_unrounded_mid_central_vowel	pharyngealized nasalized unrounded mid central vowel	vowel_pharyngealization_pharyngealized vowel_nasalization_nasalized vowel_roundedness_unrounded vowel_height_mid vowel_centrality_central	vowel	ə̃ˤ	LATIN SMALL LETTER SCHWA / COMBINING TILDE / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_nasalized_unrounded_close-mid_front_vowel	pharyngealized nasalized unrounded close-mid front vowel	vowel_pharyngealization_pharyngealized vowel_nasalization_nasalized vowel_roundedness_unrounded vowel_height_close-mid vowel_centrality_front	vowel	ẽˤ	LATIN SMALL LETTER E / COMBINING TILDE / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_nasalized_unrounded_close-mid_central_vowel	pharyngealized nasalized unrounded close-mid central vowel	vowel_pharyngealization_pharyngealized vowel_nasalization_nasalized vowel_roundedness_unrounded vowel_height_close-mid vowel_centrality_central	vowel	ɘ̃ˤ	LATIN SMALL LETTER REVERSED E / COMBINING TILDE / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_nasalized_unrounded_close-mid_back_vowel	pharyngealized nasalized unrounded close-mid back vowel	vowel_pharyngealization_pharyngealized vowel_nasalization_nasalized vowel_roundedness_unrounded vowel_height_close-mid vowel_centrality_back	vowel	ɤ̃ˤ	LATIN SMALL LETTER RAMS HORN / COMBINING TILDE / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_nasalized_unrounded_close_front_vowel	pharyngealized nasalized unrounded close front vowel	vowel_pharyngealization_pharyngealized vowel_nasalization_nasalized vowel_roundedness_unrounded vowel_height_close vowel_centrality_front	vowel	ĩˤ	LATIN SMALL LETTER I / COMBINING TILDE / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_nasalized_unrounded_close_central_vowel	pharyngealized nasalized unrounded close central vowel	vowel_pharyngealization_pharyngealized vowel_nasalization_nasalized vowel_roundedness_unrounded vowel_height_close vowel_centrality_central	vowel	ɨ̃ˤ	LATIN SMALL LETTER I WITH STROKE / COMBINING TILDE / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_nasalized_unrounded_close_back_vowel	pharyngealized nasalized unrounded close back vowel	vowel_pharyngealization_pharyngealized vowel_nasalization_nasalized vowel_roundedness_unrounded vowel_height_close vowel_centrality_back	vowel	ɯ̃ˤ	LATIN SMALL LETTER TURNED M / COMBINING TILDE / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_nasalized_rounded_open-mid_front_vowel	pharyngealized nasalized rounded open-mid front vowel	vowel_pharyngealization_pharyngealized vowel_nasalization_nasalized vowel_roundedness_rounded vowel_height_open-mid vowel_centrality_front	vowel	œ̃ˤ	LATIN SMALL LIGATURE OE / COMBINING TILDE / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_nasalized_rounded_open-mid_central_vowel	pharyngealized nasalized rounded open-mid central vowel	vowel_pharyngealization_pharyngealized vowel_nasalization_nasalized vowel_roundedness_rounded vowel_height_open-mid vowel_centrality_central	vowel	ɞ̃ˤ	LATIN SMALL LETTER CLOSED REVERSED OPEN E / COMBINING TILDE / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_nasalized_rounded_open-mid_back_vowel	pharyngealized nasalized rounded open-mid back vowel	vowel_pharyngealization_pharyngealized vowel_nasalization_nasalized vowel_roundedness_rounded vowel_height_open-mid vowel_centrality_back	vowel	ɔ̃ˤ	LATIN SMALL LETTER OPEN O / COMBINING TILDE / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_nasalized_rounded_open_front_vowel	pharyngealized nasalized rounded open front vowel	vowel_pharyngealization_pharyngealized vowel_nasalization_nasalized vowel_roundedness_rounded vowel_height_open vowel_centrality_front	vowel	ɶ̃ˤ	LATIN LETTER SMALL CAPITAL OE / COMBINING TILDE / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_nasalized_rounded_open_back_vowel	pharyngealized nasalized rounded open back vowel	vowel_pharyngealization_pharyngealized vowel_nasalization_nasalized vowel_roundedness_rounded vowel_height_open vowel_centrality_back	vowel	ɒ̃ˤ	LATIN SMALL LETTER TURNED ALPHA / COMBINING TILDE / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_nasalized_rounded_near-close_near-front_vowel	pharyngealized nasalized rounded near-close near-front vowel	vowel_pharyngealization_pharyngealized vowel_nasalization_nasalized vowel_roundedness_rounded vowel_height_near-close vowel_centrality_near-front	vowel	ʏ̃ˤ	LATIN LETTER SMALL CAPITAL Y / COMBINING TILDE / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_nasalized_rounded_near-close_near-back_vowel	pharyngealized nasalized rounded near-close near-back vowel	vowel_pharyngealization_pharyngealized vowel_nasalization_nasalized vowel_roundedness_rounded vowel_height_near-close vowel_centrality_near-back	vowel	ʊ̃ˤ	LATIN SMALL LETTER UPSILON / COMBINING TILDE / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_nasalized_rounded_mid_back_vowel	pharyngealized nasalized rounded mid back vowel	vowel_pharyngealization_pharyngealized vowel_nasalization_nasalized vowel_roundedness_rounded vowel_height_mid vowel_centrality_back	vowel	õ̞ˤ	LATIN SMALL LETTER O / COMBINING DOWN TACK BELOW / COMBINING TILDE / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_nasalized_rounded_close-mid_front_vowel	pharyngealized nasalized rounded close-mid front vowel	vowel_pharyngealization_pharyngealized vowel_nasalization_nasalized vowel_roundedness_rounded vowel_height_close-mid vowel_centrality_front	vowel	ø̃ˤ	LATIN SMALL LETTER O WITH STROKE / COMBINING TILDE / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_nasalized_rounded_close-mid_central_vowel	pharyngealized nasalized rounded close-mid central vowel	vowel_pharyngealization_pharyngealized vowel_nasalization_nasalized vowel_roundedness_rounded vowel_height_close-mid vowel_centrality_central	vowel	ɵ̃ˤ	LATIN SMALL LETTER BARRED O / COMBINING TILDE / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_nasalized_rounded_close-mid_back_vowel	pharyngealized nasalized rounded close-mid back vowel	vowel_pharyngealization_pharyngealized vowel_nasalization_nasalized vowel_roundedness_rounded vowel_height_close-mid vowel_centrality_back	vowel	õˤ	LATIN SMALL LETTER O / COMBINING TILDE / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_nasalized_rounded_close_front_vowel	pharyngealized nasalized rounded close front vowel	vowel_pharyngealization_pharyngealized vowel_nasalization_nasalized vowel_roundedness_rounded vowel_height_close vowel_centrality_front	vowel	ỹˤ	LATIN SMALL LETTER Y / COMBINING TILDE / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_nasalized_rounded_close_central_vowel	pharyngealized nasalized rounded close central vowel	vowel_pharyngealization_pharyngealized vowel_nasalization_nasalized vowel_roundedness_rounded vowel_height_close vowel_centrality_central	vowel	ʉ̃ˤ	LATIN SMALL LETTER U BAR / COMBINING TILDE / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_nasalized_rounded_close_back_vowel	pharyngealized nasalized rounded close back vowel	vowel_pharyngealization_pharyngealized vowel_nasalization_nasalized vowel_roundedness_rounded vowel_height_close vowel_centrality_back	vowel	ũˤ	LATIN SMALL LETTER U / COMBINING TILDE / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_nasalized_breathy_unrounded_open_front_vowel	pharyngealized nasalized breathy unrounded open front vowel	vowel_pharyngealization_pharyngealized vowel_nasalization_nasalized vowel_breathiness_breathy vowel_roundedness_unrounded vowel_height_open vowel_centrality_front	vowel	ã̤ˤ	LATIN SMALL LETTER A / COMBINING DIAERESIS BELOW / COMBINING TILDE / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_nasalized_breathy_rounded_close-mid_back_vowel	pharyngealized nasalized breathy rounded close-mid back vowel	vowel_pharyngealization_pharyngealized vowel_nasalization_nasalized vowel_breathiness_breathy vowel_roundedness_rounded vowel_height_close-mid vowel_centrality_back	vowel	õ̤ˤ	LATIN SMALL LETTER O / COMBINING DIAERESIS BELOW / COMBINING TILDE / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
pharyngealized_nasalized_breathy_rounded_close_back_vowel	pharyngealized nasalized breathy rounded close back vowel	vowel_pharyngealization_pharyngealized vowel_nasalization_nasalized vowel_breathiness_breathy vowel_roundedness_rounded vowel_height_close vowel_centrality_back	vowel	ṳ̃ˤ	LATIN SMALL LETTER U / COMBINING DIAERESIS BELOW / COMBINING TILDE / MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	+	
