GRAPHEME	TYPE	FEATURE	VALUE	ALIAS	TYPOGRAPHY	NOTE
◌̄	vowel	duration	long			
◌̄	vowel	duration	long	+		
◌̆	vowel	duration	short			
ⁱ	vowel	duration	extra-short			
◌̯	vowel	syllabicity	non-syllabic			
