BIPA	GRAPHEME	COUNT	SYMBOLS
ʈʂʰ	ʈʂʰ	1	◌ʈ ◌ʂ ◌ʰ
ʈʰ	ʈʰ	2	◌ʈ ◌ʰ
ʊ	ʊ	2	◌ʊ
ʊa	ʊa	1	◌ʊ ◌a
ʌ	ʌ	1	◌ʌ
ʎ	ʎ	11	◌ʎ
ʐ	ʐ	1	◌ʐ
ʑ	ʑ	1	◌ʑ
ʒ	ʒ	34	◌ʒ
ʔ	ʔ	24	◌ʔ
ʕ	ʕ	15	◌ʕ
ʕ̞	ʕ̞	1	◌ʕ ◌̞
ʜ	ʜ	1	◌ʜ
ʝ	ʝ	1	◌ʝ
ʟ	ʟ	1	◌ʟ
ʡ	ʡ	2	◌ʡ
β	β	6	◌β
θ	θ	4	◌θ
χ	χ	9	◌χ
χʷ	χʷ	1	◌χ ◌ʷ
