BIPA	NON_IPA	GRAPHEME	FEATURES	SYMBOLS
dʷ	dW	dʷ	conso:stop:alveolar:voiced:labialized	◌d ◌ʷ
dʼ	d'	dʼ	conso:ejective:alveolar:voiced:plain	◌d ◌’
dʼ	d’	dʼ	conso:ejective:alveolar:voiced:plain	◌d ◌’
dˠ	dÄ	dˠ	conso:stop:alveolar:voiced:velarized	◌d ◌ˠ
dˤ	dÖ	dˤ	conso:stop:alveolar:voiced:pharyngealized	◌d ◌ˤ
dˤ	d³	dˤ	conso:stop:alveolar:voiced:pharyngealized	◌d ◌ˤ
dˤ	d³?	dˤ	conso:stop:alveolar:voiced:pharyngealized	◌d ◌ˤ
ȡ	dæ	d̂	conso:stop:alveolar:voiced:lenis	◌ȡ
d̥	d8	d̥	conso:stop:alveolar:devoiced:plain	◌d ◌̥
d̪	d5	d̪	conso:stop:dental:voiced:plain	◌d ◌̪
dz̪	d5z5	d̪z̪	conso:affricate:dental:voiced:plain	◌d ◌z ◌̪
dz̪ʲ	d5z5j	d̪z̪ʲ	conso:affricate:dental:voiced:palatalized	◌d ◌z ◌̪ ◌ʲ
dz̪ʷ	d5z5w	d̪z̪ʷ	conso:affricate:dental:voiced:labialized	◌d ◌z ◌̪ ◌ʷ
dð	d5D	d̪ð	conso:affricate:interdental:voiced:plain	◌d ◌ð
d̪ʰ	d5H	d̪ʰ	conso:stop:dental:voiced:aspirated	◌d ◌̪ ◌ʰ
d̪ʲ	d5j	d̪ʲ	conso:stop:dental:voiced:palatalized	◌d ◌̪ ◌ʲ
d̪ː	d5:	d̪ː	conso:stop:dental:voiced_long:plain	◌d ◌̪ ◌ː
d̪ˤ	d5Ö	d̪ˤ	conso:stop:dental:voiced:pharyngealized	◌d ◌̪ ◌ˤ
d̪ˤ	d5³	d̪ˤ	conso:stop:dental:voiced:pharyngealized	◌d ◌̪ ◌ˤ
d̪ˤː	d5Ö:	d̪ˤː	conso:stop:dental:voiced_long:pharyngealized	◌d ◌̪ ◌ˤ ◌ː
d̻	d6	d̻	conso:stop:laminal_alveolar:voiced:plain	◌d ◌̻
e	e	e	vowel:higher_mid:front_unrounded:plain:plain	◌e
e	Q~e	e	vowel:higher_mid:front_unrounded:plain:plain	◌e
ei	ei	ei	vowel:higher_mid_to_high:front_unrounded:plain:plain	◌e ◌i
ei	ej	ej	vowel:higher_mid_to_glide:front_unrounded_to_palatal:plain:plain	◌e ◌i
eu	eu	eu	vowel:higher_mid_to_high:front_unrounded_to_back_rounded:plain:plain	◌e ◌u
eə	e«	eə	vowel:higher_mid_to_mid:front_unrounded_to_central:plain:plain	◌e ◌ə
eɪ	eI	eɪ	vowel:higher_mid_to_lower_high:front_unrounded:plain:plain	◌e ◌ɪ
eˀ	e/	eʔ	vowel:higher_mid:front_unrounded:glottalized:plain	◌e ◌ˀ
eː	e:	eː	vowel:higher_mid:front_unrounded:plain:long	◌e ◌ː
eː	ee	eː	vowel:higher_mid:front_unrounded:plain:long	◌e ◌ː
eːː	e::	eːː	vowel:higher_mid:front_unrounded:plain:extra_long	◌e ◌ː ◌ː
eˤ	e³	eˤ	vowel:higher_mid:front_unrounded:pharyngealized:plain	◌e ◌ˤ
e̝	e3	e̝	vowel:raised_higher_mid:front_unrounded:plain:plain	◌e ◌̝
e̝ː	e3:	e̝ː	vowel:raised_higher_mid:front_unrounded:plain:long	◌e ◌̝ ◌ː
e̞	e2	e̞	vowel:higher_mid:front_unrounded:RTR:plain	◌e ◌̞
e̞	e1	e̞	vowel:lowered_higher_mid:front_unrounded:plain:plain	◌e ◌̞
e̞	e4	e̞	vowel:lowered_higher_mid:front_unrounded:plain:plain	◌e ◌̞
e̤	e-	e̤	vowel:higher_mid:front_unrounded:plain:breathy	◌e ◌̤
e̤	eÐ	e̤	vowel:higher_mid:front_unrounded:plain:breathy	◌e ◌̤
e̤ː	e-e-	e̤ː	vowel:higher_mid:front_unrounded:plain:breathy_long	◌e ◌̤ ◌ː
e̥	e8	e̥	vowel:higher_mid:front_unrounded:plain:voiceless	◌e ◌̥
e̯	e9	e̯	conso:mid_approximant:palatal:voiced:plain	◌e ◌̯
e̯a	e9a	e̯a	vowel:higher_mid_glide_to_low:front_unrounded_to_central:plain:plain	◌e ◌̯ ◌a
e̯o	e9o	e̯o	vowel:higher_mid_glide_to_higher_mid:front_unrounded_to_back_rounded:plain:plain	◌e ◌̯ ◌o
f	f	f	conso:fricative:labiodental:voiceless:plain	◌f
fʲ	fj	fʲ	conso:fricative:labiodental:voiceless:palatalized	◌f ◌ʲ
fʲ	fJ	fʲ	conso:fricative:labiodental:voiceless:palatalized	◌f ◌ʲ
fʷ	fW	fʷ	conso:fricative:labiodental:voiceless:labialized	◌f ◌ʷ
fʼ	f'	fʼ	conso:fricative:labiodental:voiceless:glottalized	◌f ◌ʼ
fʼ	f’	fʼ	conso:fricative:labiodental:voiceless:glottalized	◌f ◌ʼ
fː	f:	fː	conso:fricative:labiodental:voiceless_long:plain	◌f ◌ː
fː	ff	fː	conso:fricative:labiodental:voiceless_long:plain	◌f ◌ː
fˡ	fl	fˡ	conso:fricative:labiodental:voiceless:lateral	◌f ◌ˡ
fˤ	f³	fˤ	conso:fricative:labiodental:voiceless:pharyngealized	◌f ◌ˤ
h	h	h	conso:fricative:glottal:voiceless:plain	◌h
hʲ	hJ	hʲ	conso:fricative:glottal:voiceless:palatalized	◌h ◌ʲ
hʷ	hW	hʷ	conso:fricative:glottal:voiceless:labialized	◌h ◌ʷ
hʷː	hw:	hʷː	conso:fricative:glottal:voiceless_long:labialized	◌h ◌ʷ ◌ː
hˤ	h³	hˤ	conso:fricative:glottal:voiceless:pharyngealized	◌h ◌ˤ
h̃	h)	h̃	conso:fricative:glottal:voiceless:nasalized	◌h ◌̃
i	i	i	vowel:high:front_unrounded:plain:plain	◌i
ia	ia	ia	vowel:high_to_low:front_unrounded_to_central:plain:plain	◌i ◌a
ie	ie	ie	vowel:high_to_higher_mid:front_unrounded:plain:plain	◌i ◌e
iə	i«	iə	vowel:high_to_mid:front_unrounded_to_central:plain:plain	◌i ◌ə
iɛ	iE	iɛ	vowel:high_to_lower_mid:front_unrounded:plain:plain	◌i ◌ɛ
iˀ	i/	iʔ	vowel:high:front_unrounded:glottalized:plain	◌i ◌ˀ
iː	i:	iː	vowel:high:front_unrounded:plain:long	◌i ◌ː
iː	ii	iː	vowel:high:front_unrounded:plain:long	◌i ◌ː
iːː	i::	iːː	vowel:high:front_unrounded:plain:extra_long	◌i ◌ː ◌ː
iˤ	i³	iˤ	vowel:high:front_unrounded:pharyngealized:plain	◌i ◌ˤ
i̝	i3	i̝	vowel:raised_high:front_unrounded:plain:plain	◌i ◌̝
i̝ː	i3:	i̝ː	vowel:raised_high:front_unrounded:plain:long	◌i ◌̝ ◌ː
i̞	i2	i̞	vowel:high:front_unrounded:RTR:plain	◌i ◌̞
i̞	>i	i̞	vowel:lowered_high:front_unrounded:plain:plain	◌i ◌̞
i̞	i1	i̞	vowel:lowered_high:front_unrounded:plain:plain	◌i ◌̞
i̞	i4	i̞	vowel:lowered_high:front_unrounded:plain:plain	◌i ◌̞
i̞	i¢	i̞	vowel:lowered_high:front_unrounded:plain:plain	◌i ◌̞
i̟	i+	i̟	vowel:high:advanced_front_unrounded:plain:plain	◌i ◌̟
i̤	i-	i̤	vowel:high:front_unrounded:plain:breathy	◌i ◌̤
i̤	iÐ	i̤	vowel:high:front_unrounded:plain:breathy	◌i ◌̤
i̤e̤	i-e-	i̤e̤	vowel:high_to_higher_mid:front_unrounded:plain:breathy	◌i ◌̤ ◌e ◌̤
i̤ː	i-i-	i̤ː	vowel:high:front_unrounded:plain:breathy_long	◌i ◌̤ ◌ː
i̥	i8	i̥	vowel:high:front_unrounded:plain:voiceless	◌i ◌̥
i̥	i¥	i̥	vowel:high:front_unrounded:plain:voiceless	◌i ◌̥
i̯e	i9e	i̯e	vowel:high_glide_to_higher_mid:front_unrounded:plain:plain	◌i ◌̯ ◌e
i̯o	i9o	i̯o	vowel:high_glide_to_higher_mid:front_unrounded_to_back_rounded:plain:plain	◌i ◌̯ ◌o
j	j	j	conso:approximant:palatal:voiced:plain	◌j
ie	je	je	vowel:glide_to_higher_mid:palatal_to_front_unrounded:plain:plain	◌i ◌e
ieː	je:	jeː	vowel:glide_to_higher_mid:palatal_to_front_unrounded:plain:long	◌i ◌e ◌ː
jʰ	jH	jʰ	conso:approximant:palatal:voiced:aspirated	◌j ◌ʰ
jʷ	jW	jʷ	conso:approximant:palatal:voiced:labialized	◌j ◌ʷ
jʼ	j'	jʼ	conso:approximant:palatal:voiced:glottalized	◌j ◌’
jʼ	j/	jʼ	conso:approximant:palatal:voiced:glottalized	◌j ◌’
jʼ	j’	jʼ	conso:approximant:palatal:voiced:glottalized	◌j ◌’
jː	j:	jː	conso:approximant:palatal:voiced_long:plain	◌j ◌ː
j̃	j)	j̃	conso:approximant:palatal:voiced:nasalized	◌j ◌̃
j̊	j*	j̥	conso:approximant:palatal:voiceless:plain	◌j ◌̊
iẽ	je)	jẽ	vowel:glide_to_higher_mid:palatal_to_front_unrounded:nasalized:plain	◌i ◌e ◌̃
k	k	k	conso:stop:velar:voiceless:plain	◌k
kxʰ	kxh	kxʰ	conso:affricate:velar:voiceless:aspirated	◌k ◌x ◌ʰ
kxʼ	kx'	kxʼ	conso:affricate:velar:voiceless:glottalized	◌k ◌x ◌’
kxʼ	kx’	kxʼ	conso:affricate:velar:voiceless:glottalized	◌k ◌x ◌’
kʰ	kH	kʰ	conso:stop:velar:voiceless:aspirated	◌k ◌ʰ
kʲʰ	kJH	kʰʲ	conso:stop:velar:voiceless:aspirated_palatalized	◌k ◌ʲ ◌ʰ
kʷʰ	kHW	kʰʷ	conso:stop:velar:voiceless:aspirated_labialized	◌k ◌ʷ ◌ʰ
kʷʰ	kWH	kʰʷ	conso:stop:velar:voiceless:aspirated_labialized	◌k ◌ʷ ◌ʰ
kʲ	kJ	kʲ	conso:stop:velar:voiceless:palatalized	◌k ◌ʲ
kʷ	kW	kʷ	conso:stop:velar:voiceless:labialized	◌k ◌ʷ
kʷʰ	kwú	kʷɦ	conso:stop:velar:voiceless:labialized_voiced_aspirated	◌k ◌ʷ ◌ʰ
kʼʷ	kw'	kʷʼ	conso:stop:velar:voiceless:glottalized_labialized	◌k ◌ʼ ◌ʷ
kʼʷ	kw’	kʷʼ	conso:stop:velar:voiceless:glottalized_labialized	◌k ◌ʼ ◌ʷ
kʷː	kw:	kʷː	conso:stop:velar:voiceless_long:labialized	◌k ◌ʷ ◌ː
kʼ	k'	kʼ	conso:ejective:velar:voiceless:plain	◌k ◌ʼ
kʼ	k’	kʼ	conso:ejective:velar:voiceless:plain	◌k ◌ʼ
kʼʲ	k’j	kʼʲ	conso:ejective:velar:voiceless:palatalized	◌k ◌’ ◌ʲ
kʼʲ	k'j	kʼʲ	conso:ejective:velar:voiceless:palatalized	◌k ◌’ ◌ʲ
kʼʷ	k’w	kʼʷ	conso:ejective:velar:voiceless:labialized	◌k ◌ʼ ◌ʷ
kʼʷ	k'w	kʼʷ	conso:ejective:velar:voiceless:labialized	◌k ◌ʼ ◌ʷ
kː	k:	kː	conso:stop:velar:voiceless_long:plain	◌k ◌ː
kː	kk	kː	conso:stop:velar:voiceless_long:plain	◌k ◌ː
kˤ	k³	kˤ	conso:stop:velar:voiceless:pharyngealized	◌k ◌ˤ
kp	kƒp	k͡p	conso:stop:labiovelar:voiceless:plain	◌k ◌p
kp	kp	k͡p	conso:stop:labiovelar:voiceless:plain	◌k ◌p
kpʲ	kƒpj	k͡pʲ	conso:stop:labiovelar:voiceless:palatalized	◌k ◌p ◌ʲ
kpʷ	kƒpw	k͡pʷ	conso:stop:labiovelar:voiceless:labialized	◌k ◌p ◌ʷ
kⁿ	kN	k	conso:stop:velar:voiceless:postnasalized	◌k ◌ⁿ
l	l	l	conso:lateral_approximant:lateral:voiced:plain	◌l
lʰ	lH	lʰ	conso:lateral_approximant:lateral:voiced:aspirated	◌l ◌ʰ
lʲ	lJ	lʲ	conso:lateral_approximant:lateral:voiced:palatalized	◌l ◌ʲ
lʷ	lW	lʷ	conso:lateral_approximant:lateral:voiced:labialized	◌l ◌ʷ
lʼ	l'	lʼ	conso:lateral_approximant:lateral:voiced:glottalized	◌l ◌’
lʼ	l’	lʼ	conso:lateral_approximant:lateral:voiced:glottalized	◌l ◌’
lː	l:	lː	conso:lateral_approximant:lateral:voiced_long:plain	◌l ◌ː
lː	ll	lː	conso:lateral_approximant:lateral:voiced_long:plain	◌l ◌ː
lˠ	É	lˠ	conso:lateral_approximant:lateral:voiced:velarized	◌l ◌ˠ
lˠ	lÄ	lˠ	conso:lateral_approximant:lateral:voiced:velarized	◌l ◌ˠ
lʷˠ	Éw	lˠʷ	conso:lateral_approximant:lateral:voiced:labialized_velarized	◌l ◌ʷ ◌ˠ
lˤ	lÖ	lˤ	conso:lateral_approximant:lateral:voiced:pharyngealized	◌l ◌ˤ
l̃	l)	l̃	conso:lateral_approximant:lateral:voiced:nasalized	◌l ◌̃
l̟	l+	l̟	conso:lateral_approximant:advanced_lateral:voiced:plain	◌l ◌̟
l̟ʲ	l+j	l̟ʲ	conso:lateral_approximant:advanced_lateral:voiced:palatalized	◌l ◌̟ ◌ʲ
l̟ʲ	l+J	l̟ʲ	conso:lateral_approximant:advanced_lateral:voiced:palatalized	◌l ◌̟ ◌ʲ
lʱ	l-	l̤	conso:lateral_approximant:lateral:breathy:plain	◌l ◌ʱ
l̥	l8	l̥	conso:lateral_approximant:lateral:voiceless:plain	◌l ◌̥
l̥ʰ	l8H	l̥ʰ	conso:lateral_approximant:lateral:voiceless:aspirated	◌l ◌̥ ◌ʰ
l̩	l`	l̩	conso:lateral_approximant:lateral:voiced:syllabic	◌l ◌̩
l̪	l5	l̪	conso:lateral_approximant:dental:voiced:plain	◌l ◌̪
l̪ʰ	l5h	l̪ʰ	conso:lateral_approximant:dental:voiced:aspirated	◌l ◌̪ ◌ʰ
l̪ʲ	l5j	l̪ʲ	conso:lateral_approximant:dental:voiced:palatalized	◌l ◌̪ ◌ʲ
l̪ʼ	l5'	l̪ʼ	conso:lateral_approximant:dental:voiced:glottalized	◌l ◌̪ ◌’
l̪ʼ	l5’	l̪ʼ	conso:lateral_approximant:dental:voiced:glottalized	◌l ◌̪ ◌’
l̪ː	l5:	l̪ː	conso:lateral_approximant:dental:voiced_long:plain	◌l ◌̪ ◌ː
l̪ˤ	l5Ö	l̪ˤ	conso:lateral_approximant:dental:voiced:pharyngealized	◌l ◌̪ ◌ˤ
l̪ˤ	l5³	l̪ˤ	conso:lateral_approximant:dental:voiced:pharyngealized	◌l ◌̪ ◌ˤ
l̪ˤː	l5Ö:	l̪ˤː	conso:lateral_approximant:dental:voiced_long:pharyngealized	◌l ◌̪ ◌ˤ ◌ː
m	m	m	conso:nasal:bilabial:voiced:plain	◌m
ⁿb̥	mb8	mb̥	conso:stop:bilabial:devoiced:prenasalized	◌ⁿ ◌b ◌̥
mʰ	mH	mʰ	conso:nasal:bilabial:voiced:aspirated	◌m ◌ʰ
mʲ	mJ	mʲ	conso:nasal:bilabial:voiced:palatalized	◌m ◌ʲ
mʷ	mW	mʷ	conso:nasal:bilabial:voiced:labialized	◌m ◌ʷ
mʼ	m'	mʼ	conso:nasal:bilabial:voiced:glottalized	◌m ◌’
mʼ	m/	mʼ	conso:nasal:bilabial:voiced:glottalized	◌m ◌’
mʼ	m’	mʼ	conso:nasal:bilabial:voiced:glottalized	◌m ◌’
mː	m:	mː	conso:nasal:bilabial:voiced_long:plain	◌m ◌ː
mː	mm	mː	conso:nasal:bilabial:voiced_long:plain	◌m ◌ː
mˠ	mì	mˠ	conso:nasal:bilabial:voiced:velarized	◌m ◌ˠ
mˡ	ml	mˡ	conso:nasal:bilabial:voiced:lateral	◌m ◌ˡ
mˤ	m³	mˤ	conso:nasal:bilabial:voiced:pharyngealized	◌m ◌ˤ
mʱ	m-	m̤	conso:nasal:bilabial:breathy:plain	◌m ◌ʱ
m̥	m8	m̥	conso:nasal:bilabial:voiceless:plain	◌m ◌̥
m̥ʰ	m8H	m̥ʰ	conso:nasal:bilabial:voiceless:aspirated	◌m ◌̥ ◌ʰ
m̩	m`	m̩	conso:nasal:bilabial:voiced:syllabic	◌m ◌̩
n	n	n	conso:nasal:alveolar:voiced:plain	◌n
ⁿd̥	nd8	nd̥	conso:stop:alveolar:devoiced:prenasalized	◌ⁿ ◌d ◌̥
ⁿǀ	n–	nǀ	conso:click:dental:voiceless:prenasalized	◌ⁿ ◌ǀ
ⁿǁ	n„	nǁ	conso:click:lateral:voiceless:prenasalized	◌ⁿ ◌ǁ
ⁿǂ	nœ	nǂ	conso:click:palatoalveolar:voiceless:prenasalized	◌ⁿ ◌ǂ
ⁿǃ	n—	nǃ	conso:click:alveolar:voiceless:prenasalized	◌ⁿ ◌ǃ
ⁿgǀ	ng–	nɡǀ	conso:click:dental:voiced:prenasalized	◌ⁿ ◌g ◌ǀ
ⁿgǁ	ng„	nɡǁ	conso:click:lateral:voiced:prenasalized	◌ⁿ ◌g ◌ǁ
ⁿgǂ	ngœ	nɡǂ	conso:click:palatoalveolar:voiced:prenasalized	◌ⁿ ◌g ◌ǂ
ⁿgǃ	ng—	nɡǃ	conso:click:alveolar:voiced:prenasalized	◌ⁿ ◌g ◌ǃ
nʰ	nH	nʰ	conso:nasal:alveolar:voiced:aspirated	◌n ◌ʰ
nʲ	nJ	nʲ	conso:nasal:alveolar:voiced:palatalized	◌n ◌ʲ
nʲ	ny	nʲ	conso:nasal:alveolar:voiced:palatalized	◌n ◌ʲ
nʷ	nW	nʷ	conso:nasal:alveolar:voiced:labialized	◌n ◌ʷ
nː	n:	nː	conso:nasal:alveolar:voiced_long:plain	◌n ◌ː
nː	nn	nː	conso:nasal:alveolar:voiced_long:plain	◌n ◌ː
nˤ	nÖ	nˤ	conso:nasal:alveolar:voiced:pharyngealized	◌n ◌ˤ
nˤ	n³	nˤ	conso:nasal:alveolar:voiced:pharyngealized	◌n ◌ˤ
nˤː	nÖ:	nˤː	conso:nasal:alveolar:voiced_long:pharyngealized	◌n ◌ˤ ◌ː
ȵ	næ	n̂	conso:nasal:alveolar:voiced:lax	◌ȵ
n̞	n2	n̞	conso:nasal:retracted_alveolar:voiced:plain	◌n ◌̞
n̟	n+	n̟	conso:nasal:advanced_alveolar:voiced:plain	◌n ◌̟
n̟ʲ	n+’	n̟ʲ	conso:nasal:advanced_alveolar:voiced:palatalized	◌n ◌̟ ◌ʲ
n̟ʲ	n+J	n̟ʲ	conso:nasal:advanced_alveolar:voiced:palatalized	◌n ◌̟ ◌ʲ
nʱ	n-	n̤	conso:nasal:alveolar:breathy:plain	◌n ◌ʱ
n̥	n8	n̥	conso:nasal:alveolar:voiceless:plain	◌n ◌̥
n̩	n`	n̩	conso:nasal:alveolar:voiced:syllabic	◌n ◌̩
n̪	n5	n̪	conso:nasal:dental:voiced:plain	◌n ◌̪
n̪ʰ	n5h	n̪ʰ	conso:nasal:dental:voiced:aspirated	◌n ◌̪ ◌ʰ
n̪ʲ	n5j	n̪ʲ	conso:nasal:dental:voiced:palatalized	◌n ◌̪ ◌ʲ
n̪ʼ	n5'	n̪ʼ	conso:nasal:dental:voiced:glottalized	◌n ◌̪ ◌’
n̪ʼ	n5’	n̪ʼ	conso:nasal:dental:voiced:glottalized	◌n ◌̪ ◌’
n̪ː	n5:	n̪ː	conso:nasal:dental:voiced_long:plain	◌n ◌̪ ◌ː
n̻	n6	n̻	conso:nasal:laminal_alveolar:voiced:plain	◌n ◌̻
nʼ	n'	n’	conso:nasal:alveolar:voiced:glottalized	◌n ◌’
nʼ	n/	n’	conso:nasal:alveolar:voiced:glottalized	◌n ◌’
nʼ	n’	n’	conso:nasal:alveolar:voiced:glottalized	◌n ◌’
o	o	o	vowel:higher_mid:back_rounded:plain:plain	◌o
oi	oi	oi	vowel:higher_mid_to_high:back_rounded_to_front:plain:plain	◌o ◌i
oi	oj	oj	vowel:higher_mid_to_glide:back_rounded_to_palatal:plain:plain	◌o ◌i
ou	ou	ou	vowel:higher_mid_to_high:back_rounded:plain:plain	◌o ◌u
oə	o«	oə	vowel:higher_mid_to_mid:back_rounded_to_central_unrounded:plain:plain	◌o ◌ə
oʊ	oU	oʊ	vowel:higher_mid_to_lower_high:back_rounded:plain:plain	◌o ◌ʊ
oˀ	o/	oʔ	vowel:higher_mid:back_rounded:glottalized:plain	◌o ◌ˀ
oː	o:	oː	vowel:higher_mid:back_rounded:plain:long	◌o ◌ː
oː	oo	oː	vowel:higher_mid:back_rounded:plain:long	◌o ◌ː
oːː	o::	oːː	vowel:higher_mid:back_rounded:plain:extra_long	◌o ◌ː ◌ː
oˤ	o³	oˤ	vowel:higher_mid:back_rounded:pharyngealized:plain	◌o ◌ˤ
o̝	o3	o̝	vowel:raised_higher_mid:back_rounded:plain:plain	◌o ◌̝
o̝ː	o3:	o̝ː	vowel:raised_higher_mid:back_rounded:plain:long	◌o ◌̝ ◌ː
o̞	o2	o̞	vowel:higher_mid:back_rounded:RTR:plain	◌o ◌̞
o̞	>o	o̞	vowel:lowered_higher_mid:back_rounded:plain:plain	◌o ◌̞
o̞	o1	o̞	vowel:lowered_higher_mid:back_rounded:plain:plain	◌o ◌̞
o̞	o4	o̞	vowel:lowered_higher_mid:back_rounded:plain:plain	◌o ◌̞
o̤	o-	o̤	vowel:higher_mid:back_rounded:plain:breathy	◌o ◌̤
o̤	oÐ	o̤	vowel:higher_mid:back_rounded:plain:breathy	◌o ◌̤
o̤ˀ	oÐ/	o̤ʔ	vowel:higher_mid:back_rounded:glottalized:breathy	◌o ◌̤ ◌ˀ
o̤ː	o-o-	o̤ː	vowel:higher_mid:back_rounded:plain:breathy_long	◌o ◌̤ ◌ː
o̤ˤ	oÐ³	o̤ˤ	vowel:higher_mid:back_rounded:pharyngealized:breathy	◌o ◌̤ ◌ˤ
o̥	o8	o̥	vowel:higher_mid:back_rounded:plain:voiceless	◌o ◌̥
o̯	o9	o̯	conso:mid_approximant:labiovelar:voiced:plain	◌o ◌̯
o̯a	o9a	o̯a	vowel:higher_mid_glide_to_low:back_rounded_to_central_unrounded:plain:plain	◌o ◌̯ ◌a
o̯u	o9u	o̯u	vowel:higher_mid_glide_to_high:back_rounded:plain:plain	◌o ◌̯ ◌u
p	p	p	conso:stop:bilabial:voiceless:plain	◌p
pf	pf	pf	conso:affricate:labiodental:voiceless:plain	◌p ◌f
pfʰ	pfH	pfʰ	conso:affricate:labiodental:voiceless:aspirated	◌p ◌f ◌ʰ
pʰ	pú	pɦ	conso:stop:bilabial:voiceless:voiced_aspirated	◌p ◌ʰ
pɸ	p¸	pɸ	conso:affricate:bilabial:voiceless:plain	◌p ◌ɸ
pʰ	pH	pʰ	conso:stop:bilabial:voiceless:aspirated	◌p ◌ʰ
pʷʰ	phw	pʰʷ	conso:stop:bilabial:voiceless:aspirated_labialized	◌p ◌ʷ ◌ʰ
pʷʰ	pHW	pʰʷ	conso:stop:bilabial:voiceless:aspirated_labialized	◌p ◌ʷ ◌ʰ
pʲ	pJ	pʲ	conso:stop:bilabial:voiceless:palatalized	◌p ◌ʲ
pʰʲ	pJH	pʲʰ	conso:stop:bilabial:voiceless:aspirated_palatalized	◌p ◌ʰ ◌ʲ
pʷ	pW	pʷ	conso:stop:bilabial:voiceless:labialized	◌p ◌ʷ
pʼʷ	pw'	pʷʼ	conso:stop:bilabial:voiceless:glottalized_labialized	◌p ◌’ ◌ʷ
pʼʷ	pw’	pʷʼ	conso:stop:bilabial:voiceless:glottalized_labialized	◌p ◌’ ◌ʷ
pʼ	p'	pʼ	conso:ejective:bilabial:voiceless:plain	◌p ◌ʼ
pʼ	p’	pʼ	conso:ejective:bilabial:voiceless:plain	◌p ◌ʼ
pʼˤ	p’³	pʼˤ	conso:ejective:bilabial:voiceless:pharyngealized	◌p ◌’ ◌ˤ
pʼˤ	p'³	pʼˤ	conso:ejective:bilabial:voiceless:pharyngealized	◌p ◌’ ◌ˤ
pː	p:	pː	conso:stop:bilabial:voiceless_long:plain	◌p ◌ː
pː	pp	pː	conso:stop:bilabial:voiceless_long:plain	◌p ◌ː
pˠ	pì	pˠ	conso:stop:bilabial:voiceless:velarized	◌p ◌ˠ
pˡ	pl	pˡ	conso:stop:bilabial:voiceless:lateral	◌p ◌ˡ
pˤ	pÖ	pˤ	conso:stop:bilabial:voiceless:pharyngealized	◌p ◌ˤ
pˤ	p³	pˤ	conso:stop:bilabial:voiceless:pharyngealized	◌p ◌ˤ
pk	pƒk	p͡k	conso:stop:bilabial_to_velar:voiceless:plain	◌p ◌k
pkʰ	pƒkh	p͡kʰ	conso:stop:labiovelar:voiceless:aspirated	◌p ◌k ◌ʰ
pt	pƒt	p͡t	conso:stop:bilabial_to_alveolar:voiceless:plain	◌p ◌t
pⁿ	pm	p	conso:stop:bilabial:voiceless:postnasalized	◌p ◌ⁿ
q	q	q	conso:stop:uvular:voiceless:plain	◌q
qʰ	qH	qʰ	conso:stop:uvular:voiceless:aspirated	◌q ◌ʰ
qʷʰ	qhw	qʰʷ	conso:stop:uvular:voiceless:aspirated_labialized	◌q ◌ʷ ◌ʰ
qʲ	qj	qʲ	conso:stop:uvular:voiceless:palatalized	◌q ◌ʲ
qʷ	qw	qʷ	conso:stop:uvular:voiceless:labialized	◌q ◌ʷ
qʼʷ	qw'	qʷʼ	conso:stop:uvular:voiceless:glottalized_labialized	◌q ◌ʼ ◌ʷ
qʼʷ	qw’	qʷʼ	conso:stop:uvular:voiceless:glottalized_labialized	◌q ◌ʼ ◌ʷ
qʷː	qw:	qʷː	conso:stop:uvular:voiceless_long:labialized	◌q ◌ʷ ◌ː
qʼ	q'	qʼ	conso:ejective:uvular:voiceless:plain	◌q ◌ʼ
qʼ	q’	qʼ	conso:ejective:uvular:voiceless:plain	◌q ◌ʼ
qʼʲ	q’j	qʼʲ	conso:ejective:uvular:voiceless:palatalized	◌q ◌’ ◌ʲ
qʼʲ	q'j	qʼʲ	conso:ejective:uvular:voiceless:palatalized	◌q ◌’ ◌ʲ
qʼʷ	q’w	qʼʷ	conso:ejective:uvular:voiceless:labialized	◌q ◌ʼ ◌ʷ
qʼʷ	q'w	qʼʷ	conso:ejective:uvular:voiceless:labialized	◌q ◌ʼ ◌ʷ
qʼˤ	q’³	qʼˤ	conso:ejective:uvular:voiceless:pharyngealized	◌q ◌’ ◌ˤ
qʼˤ	q'³	qʼˤ	conso:ejective:uvular:voiceless:pharyngealized	◌q ◌’ ◌ˤ
qʼʷˤ	q’³w	qʼˤʷ	conso:ejective:uvular:voiceless:pharyngealized_labialized	◌q ◌’ ◌ʷ ◌ˤ
qʼʷˤ	q'³w	qʼˤʷ	conso:ejective:uvular:voiceless:pharyngealized_labialized	◌q ◌’ ◌ʷ ◌ˤ
qː	q:	qː	conso:stop:uvular:voiceless_long:plain	◌q ◌ː
qˤ	q³	qˤ	conso:stop:uvular:voiceless:pharyngealized	◌q ◌ˤ
qʷˤ	q³w	qˤʷ	conso:stop:uvular:voiceless:pharyngealized_labialized	◌q ◌ʷ ◌ˤ
qʼˤ	q³'	qˤʼ	conso:stop:uvular:voiceless:pharyngealized_glottalized	◌q ◌’ ◌ˤ
qʼˤ	q³’	qˤʼ	conso:stop:uvular:voiceless:pharyngealized_glottalized	◌q ◌’ ◌ˤ
qχ	qX	qχ	conso:affricate:uvular:voiceless:plain	◌q ◌χ
r	r	r	conso:trill:alveolar:voiced:plain	◌r
rʰ	rH	rʰ	conso:trill:alveolar:voiced:aspirated	◌r ◌ʰ
rʲ	rJ	rʲ	conso:trill:alveolar:voiced:palatalized	◌r ◌ʲ
