BIPA	NON_IPA	GRAPHEME	FEATURES	SYMBOLS
<NA>	nƒNw	nŋw	conso:nasal:alveolar_to_velar:voiced:labialized	
<NA>	n%	n̏	conso:nasal:alveolar:voiced:heavy	
<NA>	n2s2	n̞s̞	conso:fricative:retracted_alveolar:voiceless:prenasalized	
<NA>	n8s	n̥s	conso:fricative:alveolar:voiceless:voiceless_prenasalized	
<NA>	n5t5	n̪t̪	conso:stop:dental:voiceless:prenasalized	
<NA>	n5t5'	n̪t̪ʼ	conso:ejective:dental:voiceless:prenasalized	
<NA>	n5t5’	n̪t̪ʼ	conso:ejective:dental:voiceless:prenasalized	
<NA>	n5z5	n̪z̪	conso:fricative:dental:voiced:prenasalized	
<NA>	o*	omf	vowel:higher_mid:back_rounded:muffled:plain	
<NA>	o/o	oʔo	vowel:higher_mid:back_rounded:interrupted:plain	
<NA>	p+	p*	conso:stop:bilabial:voiceless:lax	
<NA>	p<	p<	conso:click:bilabial:voiceless:pulmonic_ingressive	
<NA>	pƒs	ps	conso:affricate:bilabial_to_alveolar:voiceless:plain	
<NA>	ps	ps	conso:affricate:bilabial_to_alveolar:voiceless:plain	
<NA>	pv	pv	conso:affricate:labiodental:voiceless_to_voiced:plain	
<NA>	pSh	pʃʰ	conso:affricate:bilabial_to_postalveolar:voiceless:aspirated	
<NA>	pS'	pʃʼ	conso:affricate:bilabial_to_postalveolar:voiceless:glottalized	
<NA>	pS’	pʃʼ	conso:affricate:bilabial_to_postalveolar:voiceless:glottalized	
<NA>	p$	p̀	conso:stop:bilabial:voiceless:tense	
<NA>	pƒts	p͡ts	conso:stop_to_affricate:bilabial_to_alveolar:voiceless:plain	
<NA>	qå	qɰ	conso:approximant:uvular:voiced:plain	
<NA>	rƒÄw	r͡ɣw	conso:trill_to_affricate:alveolar_to_velar:voiced:labialized	
<NA>	sç	sɥ	conso:fricative:alveolar:voiceless:labiopalatalized	
<NA>	s$	s̀	conso:fricative:alveolar:voiceless:tense	
<NA>	s5v	s̪v	conso:fricative:dental_to_labiodental:voiceless_to_voiced:plain	
<NA>	sƒkw	s͡kʷ	conso:fricative_to_stop:alveolar_to_velar:voiceless:labialized	
<NA>	sƒwkw	s͡kʷ	conso:fricative_to_stop:alveolar_to_velar:voiceless:labialized	
<NA>	tr	tr	conso:stop:alveolar:voiceless:rhotic	
<NA>	tsx	tsx	conso:affricate_to_fricative:alveolar_to_velar:voiceless:plain	
<NA>	ts’kx’	tsʼkxʼ	conso:affricate_to_affricate:alveolar_to_velar:voiceless:glottalized	
<NA>	ts'kx'	tsʼkxʼ	conso:affricate_to_affricate:alveolar_to_velar:voiceless:glottalized	
<NA>	ts$	ts̀	conso:affricate:alveolar:voiceless:tense	
<NA>	tsƒkw	ts͡kʷ	conso:affricate_to_stop:alveolar_to_velar:voiceless:labialized	
<NA>	tx	tx	conso:affricate:alveolar_to_velar:voiceless:plain	
<NA>	tC	tç	conso:affricate:alveolar_to_palatal:voiceless:plain	
<NA>	tCh	tçʰ	conso:affricate:alveolar_to_palatal:voiceless:aspirated	
<NA>	tþç	tɕɥ	conso:affricate:alveolar_to_alveolopalatal:voiceless:labiopalatalized	
<NA>	t¸h	tɸʰ	conso:affricate:alveolar_to_bilabial:voiceless:aspirated	
<NA>	tS$	tʃ̀	conso:affricate:postalveolar:voiceless:tense	
<NA>	tSƒk	tʃ͡k	conso:affricate_to_stop:postalveolar_to_velar:voiceless:plain	
<NA>	tƒkw	tʃ͡kʷ	conso:affricate_to_stop:postalveolar_to_velar:voiceless:labialized	
<NA>	tSƒkw	tʃ͡kʷ	conso:affricate_to_stop:postalveolar_to_velar:voiceless:labialized	
<NA>	t’kx’	tʼkxʼ	conso:ejective_to_affricate:alveolar_to_velar:voiceless:glottalized	
<NA>	t'kx'	tʼkxʼ	conso:ejective_to_affricate:alveolar_to_velar:voiceless:glottalized	
<NA>	t$	t̀	conso:stop:alveolar:voiceless:tense	
<NA>	t5s5ú	t̪s̪ɦ	conso:affricate:dental:voiceless:voiced_aspirated	
<NA>	t5S	t̪ʃ	conso:affricate:dental_to_postalveolar:voiceless:plain	
<NA>	t$5	t̪̀	conso:stop:dental:voiceless:tense	
<NA>	t5$	t̪̀	conso:stop:dental:voiceless:tense	
<NA>	t5ƒc	t̪͡c	conso:stop:dental_to_palatal:voiceless:plain	
<NA>	t5ƒk	t̪͡k	conso:stop:dental_to_velar:voiceless:plain	
<NA>	t6þ	t̻ɕ	conso:affricate:laminal_alveolar_to_alveolopalatal:voiceless:plain	
<NA>	t6þh	t̻ɕʰ	conso:affricate:laminal_alveolar_to_alveolopalatal:voiceless:aspirated	
<NA>	t6þ'	t̻ɕʼ	conso:affricate:laminal_alveolar_to_alveolopalatal:voiceless:glottalized	
<NA>	t6þ’	t̻ɕʼ	conso:affricate:laminal_alveolar_to_alveolopalatal:voiceless:glottalized	
<NA>	t6S6	t̻ʃ̻	conso:affricate:laminal_postalveolar:voiceless:plain	
<NA>	uw	uw	vowel:high_to_glide:back_rounded_to_labiovelar:plain:plain	
<NA>	u/u	uʔu	vowel:high:back_rounded:interrupted:plain	
<NA>	vR	vɾ	conso:flap:labiodental:voiced:plain	
<NA>	v&	v̌	conso:trill:labiodental:voiced:plain	
<NA>	w+	w*	conso:approximant:labiovelar:voiced:lax	
<NA>	x$	x̀	conso:fricative:velar:voiceless:tense	
<NA>	x$w	x̀ʷ	conso:fricative:velar:voiceless:labialized_tense	
