GRAPHEME	ROUNDEDNESS	HEIGHT	CENTRALITY	ALIAS	EXTRA	NOTE
i	unrounded	close	front			i ɪ y ʏ
e	unrounded	mid	front			e ø
E	unrounded	open	front			a æ ɛ œ
3	unrounded	mid	central			ɨ ə ɜ ʉ ɵ ʚ
a	unrounded	near-open	central			ɐ
u	unrounded	open	back			ɯ u
o	unrounded	mid	back			ɤ ʌ ɑ o ɔ
